pct,Experiment,mixture,tax_name,proportion,expected
0.0184067,E.coli - S.flexneri,0.1/99.9,Escherichia coli,1.84067,0.1
0.046526,E.coli - S.flexneri,1.0/99.0,Escherichia coli,4.6526,1
0.253807,E.coli - S.flexneri,10.0/90.0,Escherichia coli,25.3807,10
0.748438,E.coli - S.flexneri,50.0/50.0,Escherichia coli,74.8438,50
0.955614,E.coli - S.flexneri,90.0/10.0,Escherichia coli,95.5614,90
0.989018,E.coli - S.flexneri,99.0/1.0,Escherichia coli,98.9018,99
0.992354,E.coli - S.flexneri,99.9/0.1,Escherichia coli,99.2354,99.9
0.95923,E.coli - S.flexneri,0.1/99.9,Shigella flexneri,95.923,99.9
0.931744,E.coli - S.flexneri,1.0/99.0,Shigella flexneri,93.1744,99
0.72752,E.coli - S.flexneri,10.0/90.0,Shigella flexneri,72.752,90
0.240327,E.coli - S.flexneri,50.0/50.0,Shigella flexneri,24.0327,50
0.0373741,E.coli - S.flexneri,90.0/10.0,Shigella flexneri,3.73741,10
0.00401854,E.coli - S.flexneri,99.0/1.0,Shigella flexneri,0.401854,1
0.000611593,E.coli - S.flexneri,99.9/0.1,Shigella flexneri,0.0611593,0.1
0.000154278,E.coli - S.saprophyticus,0.1/99.9,Escherichia coli,0.0154278,0.1
0.0130676,E.coli - S.saprophyticus,1.0/99.0,Escherichia coli,1.30676,1
0.132831,E.coli - S.saprophyticus,10.0/90.0,Escherichia coli,13.2831,10
0.559155,E.coli - S.saprophyticus,50.0/50.0,Escherichia coli,55.9155,50
0.910128,E.coli - S.saprophyticus,90.0/10.0,Escherichia coli,91.0128,90
0.986081,E.coli - S.saprophyticus,99.0/1.0,Escherichia coli,98.6081,99
0.992101,E.coli - S.saprophyticus,99.9/0.1,Escherichia coli,99.2101,99.9
0.976198,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus saprophyticus,97.6198,99.9
0.963748,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus saprophyticus,96.3748,99
0.845448,E.coli - S.saprophyticus,10.0/90.0,Staphylococcus saprophyticus,84.5448,90
0.426528,E.coli - S.saprophyticus,50.0/50.0,Staphylococcus saprophyticus,42.6528,50
0.0811771,E.coli - S.saprophyticus,90.0/10.0,Staphylococcus saprophyticus,8.11771,10
0.00649291,E.coli - S.saprophyticus,99.0/1.0,Staphylococcus saprophyticus,0.649291,1
0.000587145,E.coli - S.saprophyticus,99.9/0.1,Staphylococcus saprophyticus,0.0587145,0.1
0.000927222,S.saprophyticus - S.pyogenes,0.1/99.9,Staphylococcus saprophyticus,0.0927222,0.1
0.00779652,S.saprophyticus - S.pyogenes,1.0/99.0,Staphylococcus saprophyticus,0.779652,1
0.0699676,S.saprophyticus - S.pyogenes,10.0/90.0,Staphylococcus saprophyticus,6.99676,10
0.387782,S.saprophyticus - S.pyogenes,50.0/50.0,Staphylococcus saprophyticus,38.7782,50
0.819249,S.saprophyticus - S.pyogenes,90.0/10.0,Staphylococcus saprophyticus,81.9249,90
0.963761,S.saprophyticus - S.pyogenes,99.0/1.0,Staphylococcus saprophyticus,96.3761,99
0.975302,S.saprophyticus - S.pyogenes,99.9/0.1,Staphylococcus saprophyticus,97.5302,99.9
0.989684,S.saprophyticus - S.pyogenes,0.1/99.9,Streptococcus pyogenes,98.9684,99.9
0.982593,S.saprophyticus - S.pyogenes,1.0/99.0,Streptococcus pyogenes,98.2593,99
0.919437,S.saprophyticus - S.pyogenes,10.0/90.0,Streptococcus pyogenes,91.9437,90
0.596972,S.saprophyticus - S.pyogenes,50.0/50.0,Streptococcus pyogenes,59.6972,50
0.158511,S.saprophyticus - S.pyogenes,90.0/10.0,Streptococcus pyogenes,15.8511,10
0.0127149,S.saprophyticus - S.pyogenes,99.0/1.0,Streptococcus pyogenes,1.27149,1
0.00123722,S.saprophyticus - S.pyogenes,99.9/0.1,Streptococcus pyogenes,0.123722,0.1
