pct,Experiment,mixture,tax_name,tool,reads
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Acetohalobium arabaticum,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Acholeplasma laidlawii,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Aerococcus urinae,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Anaerococcus hydrogenalis,CLARK,1
9.38E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus cereus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus coahuilensis,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus megaterium,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus methylotrophicus,CLARK,1
6.88E-05,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. B14905,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. NRRL B-14911,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. SG-1,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus subtilis,CLARK,1
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus thuringiensis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bigelowiella natans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Burkholderia pseudomallei,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Caminibacter mediatlanticus,CLARK,1
7.30E-06,E.coli - S.saprophyticus,0.1/99.9,Campylobacter coli,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Campylobacter jejuni,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Candida dubliniensis,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Carnobacterium maltaromaticum,CLARK,1
1.15E-05,E.coli - S.saprophyticus,0.1/99.9,Carnobacterium sp. AT7,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Chlamydomonas reinhardtii,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Clostridium botulinum,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Clostridium perfringens,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Cupriavidus taiwanensis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfosporosinus orientis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfotomaculum nigrificans,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfuromonas acetoxidans,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Ehrlichia canis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Enterobacteria phage P1,CLARK,1
