abundance,pct,reads,sample,sample,tax_name,tool
0.962523,0.905403859,498404,E. coli - S. sonnei,0.1/99.9,Shigella flexneri,centrifuge
0.0158057,0.010634413,5854,E. coli - S. sonnei,0.1/99.9,Salmonella enterica,centrifuge
0.00950808,0.055644468,30631,E. coli - S. sonnei,0.1/99.9,Escherichia coli,centrifuge
0.00372694,5.99E-05,33,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage SfI,centrifuge
0.00306161,6.18E-05,34,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage Sf101,centrifuge
0.00290798,0.000250692,138,E. coli - S. sonnei,0.1/99.9,Shigella phage SfII,centrifuge
0.00153077,0.010912354,6007,E. coli - S. sonnei,0.1/99.9,Shigella boydii,centrifuge
0.000642587,0.005368072,2955,E. coli - S. sonnei,0.1/99.9,Shigella dysenteriae,centrifuge
4.83E-05,0.000919203,506,E. coli - S. sonnei,0.1/99.9,Escherichia albertii,centrifuge
4.68E-05,0.000103547,57,E. coli - S. sonnei,0.1/99.9,Erwinia sp. Ejp617,centrifuge
2.28E-05,0.000735726,405,E. coli - S. sonnei,0.1/99.9,Escherichia fergusonii,centrifuge
1.79E-05,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Candidatus Baumannia cicadellinicola,centrifuge
1.37E-05,0.000581314,320,E. coli - S. sonnei,0.1/99.9,synthetic construct,centrifuge
1.31E-05,0.000159861,88,E. coli - S. sonnei,0.1/99.9,Yersinia pestis,centrifuge
1.18E-05,6.72E-05,37,E. coli - S. sonnei,0.1/99.9,Enterobacteriaceae bacterium strain FGI 57,centrifuge
7.74E-06,0.000194377,107,E. coli - S. sonnei,0.1/99.9,Enterobacter hormaechei,centrifuge
6.97E-06,0.000895587,493,E. coli - S. sonnei,0.1/99.9,Klebsiella pneumoniae,centrifuge
6.79E-06,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methylophaga frappieri,centrifuge
5.47E-06,2.91E-05,16,E. coli - S. sonnei,0.1/99.9,Neisseria meningitidis,centrifuge
5.34E-06,4.90E-05,27,E. coli - S. sonnei,0.1/99.9,Legionella pneumophila,centrifuge
5.12E-06,2.36E-05,13,E. coli - S. sonnei,0.1/99.9,Pectobacterium carotovorum,centrifuge
4.95E-06,4.54E-05,25,E. coli - S. sonnei,0.1/99.9,Enterobacter lignolyticus,centrifuge
4.10E-06,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Streptococcus pneumoniae,centrifuge
4.06E-06,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Cronobacter turicensis,centrifuge
4.06E-06,0.000103547,57,E. coli - S. sonnei,0.1/99.9,Citrobacter amalonaticus,centrifuge
3.77E-06,2.36E-05,13,E. coli - S. sonnei,0.1/99.9,Enterobacter ludwigii,centrifuge
3.69E-06,3.81E-05,21,E. coli - S. sonnei,0.1/99.9,Yersinia enterocolitica,centrifuge
3.66E-06,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Pasteurella multocida,centrifuge
3.58E-06,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Cronobacter dublinensis,centrifuge
3.15E-06,3.09E-05,17,E. coli - S. sonnei,0.1/99.9,Salmonella bongori,centrifuge
3.03E-06,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Corynebacterium glutamicum,centrifuge
2.79E-06,0.00039602,218,E. coli - S. sonnei,0.1/99.9,Klebsiella oxytoca,centrifuge
2.71E-06,4.18E-05,23,E. coli - S. sonnei,0.1/99.9,Klebsiella variicola,centrifuge
2.12E-06,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Aeromonas schubertii,centrifuge
2.07E-06,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Candidatus Sodalis pierantonius,centrifuge
1.97E-06,3.63E-05,20,E. coli - S. sonnei,0.1/99.9,Citrobacter koseri,centrifuge
1.92E-06,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pantoea vagans,centrifuge
1.83E-06,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Klebsiella sp. LTGPAF-6F,centrifuge
1.82E-06,3.63E-05,20,E. coli - S. sonnei,0.1/99.9,Enterobacter sp. FY-07,centrifuge
1.58E-06,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Enterococcus faecium,centrifuge
1.46E-06,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Conexibacter woesei,centrifuge
1.35E-06,1.45E-05,8,E. coli - S. sonnei,0.1/99.9,Pseudomonas putida,centrifuge
1.20E-06,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Pseudomonas stutzeri,centrifuge
1.15E-06,0.000261591,144,E. coli - S. sonnei,0.1/99.9,Citrobacter freundii,centrifuge
1.04E-06,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pectobacterium parmentieri,centrifuge
9.36E-07,4.72E-05,26,E. coli - S. sonnei,0.1/99.9,Klebsiella michiganensis,centrifuge
9.25E-07,7.45E-05,41,E. coli - S. sonnei,0.1/99.9,Enterobacter cloacae,centrifuge
5.40E-07,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Vibrio coralliilyticus,centrifuge
1.73E-08,0.000174394,96,E. coli - S. sonnei,0.1/99.9,Homo sapiens,centrifuge
2.22E-13,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage mEp460,centrifuge
5.38E-15,2.54E-05,14,E. coli - S. sonnei,0.1/99.9,Pluralibacter gergoviae,centrifuge
3.61E-15,3.27E-05,18,E. coli - S. sonnei,0.1/99.9,Kluyvera intermedia,centrifuge
