name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	619958	4	2	0.0
Shewanella	22	genus	0	5	0	0.0
Myxococcales	29	order	0	1	0	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Pirellula staleyi	125	species	6196199	2	0	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	1	0	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Brucella	234	genus	0	1	0	0.0
Francisella	262	genus	0	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Pseudomonas	286	genus	0	7	0	0.0
Pseudomonas aeruginosa	287	species	22457305	3	3	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13365495	5	2	0.0
Pseudomonas fluorescens	294	species	14826544	7	6	0.0
Pseudomonas mendocina	300	species	5293211	2	1	9.05745e-06
Pseudomonas putida	303	species	6888188	4	4	0.0
Pseudomonas stutzeri	316	species	7755802	6	4	0.0
Pseudomonas syringae	317	species	6129101	5	1	0.0
Ralstonia pickettii	329	species	6378979	1	0	0.0
Xanthomonas	338	genus	0	2	0	0.0
Azotobacter vinelandii	354	species	5351632	2	0	0.0
Sinorhizobium fredii	380	species	6891900	3	0	0.0
Sinorhizobium meliloti	382	species	6962835	5	1	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacterium extorquens	408	species	6163878	1	1	0.0
Legionella pneumophila	446	species	15688009	3	1	2.82066e-17
Moraxellaceae	468	family	0	1	0	0.0
Moraxella catarrhalis	480	species	2846413	1	0	0.0
Neisseria meningitidis	487	species	8508873	2	2	0.0
Alcaligenaceae	506	family	0	3	0	0.0
Alcaligenes faecalis	511	species	4248684	2	0	0.0
Ochrobactrum anthropi	529	species	5053471	2	1	0.0
Beijerinckia indica	533	species	4418616	2	2	0.0
Enterobacteriaceae	543	family	0	501	274	0.0
Citrobacter	544	genus	0	339	0	0.0
Citrobacter koseri	545	species	4735357	17816	39	0.000143137
Citrobacter freundii	546	species	16193243	1053	55	1.34853e-05
Enterobacter	547	genus	0	278	7	0.0
[Enterobacter] aerogenes	548	species	10750562	17706	29	0
Pantoea agglomerans	549	species	9924054	19	3	1.58397e-16
Enterobacter cloacae	550	species	10083180	383	29	1.48553e-37
Erwinia	551	genus	0	20	0	0.0
Erwinia amylovora	552	species	3869718	19	1	1.2717e-61
Pantoea ananatis	553	species	4842757	407	45	3.96267e-05
Pectobacterium carotovorum	554	species	4852842	37	17	9.87956e-06
Escherichia	561	genus	0	846	0	0.0
Escherichia coli	562	species	12319210	1521376	1233789	0.982346
Shimwellia blattae	563	species	4158725	95	10	5.7689e-06
Escherichia fergusonii	564	species	4643861	37611	1186	0.000605765
Hafnia	568	genus	0	8	0	0.0
Hafnia alvei	569	species	6928293	50	5	7.09899e-58
Klebsiella	570	genus	0	806	0	0.0
Klebsiella oxytoca	571	species	16779606	7358	810	1.40026e-05
Klebsiella pneumoniae	573	species	15713353	21337	147	1.6246e-05
Morganella	581	genus	0	5	0	0.0
Morganella morganii	582	species	3853791	58	8	1.86611e-05
Proteus	583	genus	0	4	0	0.0
Proteus mirabilis	584	species	5337360	640	1	2.66136e-13
Proteus vulgaris	585	species	3794983	600	0	6.32435e-06
Providencia stuartii	588	species	6521015	20	18	0.0
Salmonella	590	genus	0	112	0	0.0
Serratia	613	genus	0	39	0	0.0
Serratia liquefaciens	614	species	7946985	33	1	4.70744e-17
Serratia marcescens	615	species	8465231	94	6	1.27543e-56
Shigella	620	genus	0	38640	0	0.0
Shigella boydii	621	species	4698475	83704	1862	0.000624567
Shigella dysenteriae	622	species	4560911	65520	1970	0.000645804
Shigella flexneri	623	species	4763519	83880	1510	0.00155167
Shigella sonnei	624	species	6798914	90508	975	0.000427425
Xenorhabdus	626	genus	0	7	0	0.0
Xenorhabdus nematophila	628	species	4586662	6	0	0.0
Yersinia	629	genus	0	2308	0	0.0
Yersinia enterocolitica	630	species	14308813	300	26	4.04739e-06
Yersinia intermedia	631	species	4859749	6	0	0.0
Yersinia pestis	632	species	7124135	3296	65	0.000159491
Yersinia pseudotuberculosis	633	species	9565781	3185	3	3.05817e-05
Edwardsiella	635	genus	0	21	0	0.0
Edwardsiella tarda	636	species	3717889	36	6	2.31338e-62
Vibrionaceae	641	family	0	2	0	0.0
Aeromonas	642	genus	0	7	0	0.0
Aeromonas hydrophila	644	species	7739252	24	3	3.01533e-18
Aeromonas salmonicida	645	species	5040536	14	2	1.71238e-16
Aeromonas media	651	species	4788430	24	4	0.0
Aeromonas schubertii	652	species	4400034	2	2	0.0
Aeromonas veronii	654	species	7214925	5	0	0.0
Vibrio	662	genus	0	5	0	0.0
Vibrio alginolyticus	663	species	8138835	5	0	0.0
Vibrio cholerae	666	species	6170861	36	24	3.88466e-06
Aliivibrio fischeri	668	species	4273718	1	0	0.0
Vibrio harveyi	669	species	11920371	1	0	0.0
Vibrio parahaemolyticus	670	species	10344823	4	3	0.0
Vibrio vulnificus	672	species	10215744	6	4	0.0
Grimontia hollisae	673	species	3998273	6	0	2.62859e-69
Vibrio mimicus	674	species	8922704	4	0	0.0
Vibrio fluvialis	676	species	4827724	2	0	0.0
Vibrio campbellii	680	species	12090206	6	2	0.0
Vibrio natriegens	691	species	10692018	1	0	0.0
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	8	3	6.63216e-62
Actinobacillus	713	genus	0	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	3	2	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	1	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus	724	genus	0	1	0	0.0
Haemophilus influenzae	727	species	2672708	9	3	0.0
Haemophilus parainfluenzae	729	species	2086875	1	0	1.14868e-05
[Haemophilus] ducreyi	730	species	10121291	3	1	0.0
Aggregatibacter aphrophilus	732	species	3520359	2	0	0
[Haemophilus] parasuis	738	species	4546750	4	0	0.0
Pasteurella multocida	747	species	2546987	6	5	0
Gallibacterium anatis	750	species	2694139	2	0	0.0
Anaplasma marginale	770	species	1200061	1	0	0.0
Coxiella burnetii	777	species	2076694	1	0	0.0
Ehrlichia ruminantium	779	species	2264626	1	0	0.0
Rickettsia	780	genus	0	1	0	0.0
Syntrophomonas wolfei	863	species	2936195	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	2	0	0.0
Desulfovibrio vulgaris	881	species	3802302	2	0	0.0
Desulfococcus multivorans	897	species	4455399	1	0	0.0
Acidaminococcus fermentans	905	species	2329769	1	0	0.0
Megasphaera elsdenii	907	species	2504349	1	0	0.0
Halothiobacillus neapolitanus	927	species	2582886	1	0	0.0
Wolbachia	953	genus	0	2	0	0.0
Bdellovibrio bacteriovorus	959	species	3652240	2	0	4.44844e-69
Herbaspirillum seropedicae	964	species	8221139	3	2	0.0
Selenomonas ruminantium	971	species	3631933	1	0	0.0
Cellulophaga lytica	979	species	3795066	1	1	0.0
Saprospira grandis	1008	species	4400185	1	1	0.0
Allochromatium vinosum	1049	species	3669074	2	1	0.0
Halorhodospira halophila	1053	species	2678452	1	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	1	1	0.0
Chlorobium phaeovibrioides	1094	species	1966858	1	0	0.0
Pelodictyon luteolum	1100	species	2364842	1	0	0.0
Nitrosococcus	1227	genus	0	2	0	0.0
Gammaproteobacteria	1236	class	0	1	1	0.0
Streptococcus salivarius	1304	species	3636237	1	1	0.0
Streptococcus pyogenes	1314	species	4096430	49	42	0.000117036
Streptococcus dysgalactiae	1334	species	2149105	6	1	1.71338e-18
Enterococcus faecalis	1351	species	3401628	2	1	0.0
Enterococcus hirae	1354	species	2908247	1	1	0.0
Lactococcus lactis	1358	species	2704731	2	0	0.0
Atopobium parvulum	1382	species	1543805	1	0	0.0
Bacillus	1386	genus	0	1	1	0.0
Bacillus cereus	1396	species	9676532	4	4	0.0
Bacillus coagulans	1398	species	4327944	1	1	0.0
Bacillus megaterium	1404	species	5334474	1	1	0.0
Paenibacillus polymyxa	1406	species	6883167	2	1	0.0
Bacillus pumilus	1408	species	20721195	1	1	0.0
Bacillus subtilis	1423	species	7550081	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	1	1	0.0
Clostridium botulinum	1491	species	4637504	4	1	0.0
Clostridium pasteurianum	1501	species	7159922	1	1	0.0
Clostridium beijerinckii	1520	species	6161692	1	1	0.0
Clostridium ljungdahlii	1538	species	4630065	1	0	0.0
Lactobacillus buchneri	1581	species	2575738	1	1	0.0
Listeria monocytogenes	1639	species	5926303	1	1	0.0
Erysipelothrix rhusiopathiae	1648	species	2398466	1	1	0.0
Corynebacteriaceae	1653	family	0	1	0	0.0
Cellulomonas flavigena	1711	species	4123179	1	0	0.0
Corynebacterium pseudotuberculosis	1719	species	6595197	2	2	0.0
Peptoclostridium acidaminophilum	1731	species	3055036	1	0	0.0
Thermodesulfobacterium commune	1741	species	1764045	1	1	0.0
Mycobacterium leprae	1769	species	3268137	1	0	0.0
Mycobacterium phlei	1771	species	5349645	1	1	0.0
Streptomyces	1883	genus	0	1	0	0.0
Streptomyces albus	1888	species	15352626	1	1	0.0
Nocardiopsis dassonvillei	2014	species	6543312	2	2	0.0
Mycoplasma arginini	2094	species	678592	1	0	0.0
Mycoplasma hominis	2098	species	925558	1	0	0.0
Mycoplasma arthritidis	2111	species	820453	1	0	0.0
Ureaplasma urealyticum	2130	species	874478	1	0	0.0
Marinobacter	2742	genus	0	1	0	0.0
Halomonas	2745	genus	0	1	0	0.0
Homo	9605	genus	0	1	0	0.0
Homo sapiens	9606	species	3238442024	445	350	6.66447e-07
Myoviridae	10662	family	153908	1	0	0.0
Escherichia virus Mu	10677	species	36717	23	0	1.70763e-31
Escherichia virus P1	10678	species	94800	71	0	1.67193e-26
Escherichia virus P2	10679	species	33593	1	0	0.0
Siphoviridae	10699	family	47340	1	0	0.0
Escherichia virus Lambda	10710	species	48502	62	0	1.47506e-19
Enterobacteria phage 933W	10730	leaf	61670	96	0	1.19786e-18
Escherichia virus HK022	10742	species	40751	1	0	0.0
Podoviridae	10744	family	65210	9	0	0.0
Sphingomonas	13687	genus	0	1	0	0.0
Burkholderia gladioli	28095	species	8975879	1	0	0.0
