name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	2	0	0.0
Planctomycetales	112	order	0	1	0	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Isosphaera pallida	128	species	5529304	2	0	0.0
Treponema	157	genus	0	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Leptospira biflexa	172	species	3953768	2	2	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	1	1	0.0
Campylobacter coli	195	species	5104439	1	1	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter lari	201	species	1576113	2	2	0.0
Helicobacter pylori	210	species	2044699	4	2	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	1	0	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Francisella tularensis	263	species	2777166	1	1	0.0
Thermus	270	genus	0	1	0	0.0
Burkholderia cepacia	292	species	13365495	2	2	0.0
Pseudomonas fluorescens	294	species	14826544	4	2	0.0
Pseudomonas putida	303	species	6888188	1	1	0.0
Burkholderia glumae	337	species	7333967	1	1	0.0
Xanthomonas citri	346	species	17318955	1	1	0.0
Agrobacterium	357	genus	0	1	0	0.0
Rhizobium	379	genus	0	1	0	0.0
Sinorhizobium fredii	380	species	6891900	2	0	0.0
Legionella pneumophila	446	species	15688009	1	1	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Acinetobacter baumannii	470	species	11595472	4	4	0.0
Neisseria gonorrhoeae	485	species	4967431	2	0	0.0
Neisseria lactamica	486	species	2220606	2	0	1.60101e-65
Neisseria meningitidis	487	species	8508873	15	0	5.3291e-67
Enterobacter cloacae	550	species	10083180	2	1	0.0
Escherichia coli	562	species	12319210	6	4	0
Klebsiella oxytoca	571	species	16779606	1	0	0.0
Klebsiella pneumoniae	573	species	15713353	6	4	0.0
Xenorhabdus nematophila	628	species	4586662	1	1	0.0
Yersinia pestis	632	species	7124135	2	2	0.0
Edwardsiella tarda	636	species	3717889	1	0	0.0
Aliivibrio fischeri	668	species	4273718	1	1	0.0
Vibrio parahaemolyticus	670	species	10344823	2	0	0.0
Vibrio natriegens	691	species	10692018	1	0	0.0
Haemophilus influenzae	727	species	2672708	3	3	0.0
[Haemophilus] ducreyi	730	species	10121291	1	1	0.0
Pasteurella multocida	747	species	2546987	3	1	0.0
Gallibacterium anatis	750	species	2694139	7	7	0.0
Ehrlichia ruminantium	779	species	2264626	1	1	0.0
Rickettsia canadensis	788	species	1155000	1	1	0.0
Bartonella quintana	803	species	1584515	1	0	0.0
Bacteroides thetaiotaomicron	818	species	6390542	1	1	0.0
Sebaldella termitidis	826	species	4486650	2	1	0.0
Campylobacter ureolyticus	827	species	1641887	2	1	0.0
Fibrobacter succinogenes	833	species	7685639	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	2	2	0.0
Desulfococcus multivorans	897	species	4455399	1	0	0.0
Megasphaera elsdenii	907	species	2504349	1	0	0.0
Nitrobacter hamburgensis	912	species	5011522	1	1	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	3	1	0.0
Starkeya novella	921	species	4765023	1	0	0.0
Ehrlichia canis	944	species	1315030	1	1	0.0
Bdellovibrio bacteriovorus	959	species	3652240	3	3	0.0
Herbaspirillum seropedicae	964	species	8221139	1	0	0.0
Flavobacterium johnsoniae	986	species	5603295	1	1	0.0
Flavobacterium columnare	996	species	6492116	6	6	0.0
Marivirga tractuosa	1006	species	4516490	1	0	0.0
Saprospira grandis	1008	species	4400185	1	1	0.0
Weeksella virosa	1014	species	2272954	1	0	0.0
Trichormus azollae	1164	species	5486145	1	1	0.0
Trichodesmium erythraeum	1206	species	7750108	2	1	0.0
Prochlorococcus marinus	1219	species	1879471	8	7	0.0
Leuconostoc mesenteroides	1245	species	1966146	5	4	0.0
Oenococcus oeni	1247	species	1780517	6	0	0.0
Pediococcus acidilactici	1254	species	2131361	1	0	2.72884e-65
Pediococcus pentosaceus	1255	species	1817384	1	0	0.0
Finegoldia magna	1260	species	1986740	2	0	0.0
Ruminococcus albus	1264	species	4482087	2	0	0.0
Staphylococcus	1279	genus	0	311	248	0.0
Staphylococcus aureus	1280	species	7252422	16149	9247	0.00245443
Staphylococcus carnosus	1281	species	2605765	328	77	3.48082e-31
Staphylococcus epidermidis	1282	species	3296362	4123	1934	0.000254495
Staphylococcus haemolyticus	1283	species	2629003	1011	121	1.69351e-16
Staphylococcus hyicus	1284	species	2472129	22	13	1.22957e-39
Staphylococcus simulans	1286	species	2647552	379	61	3.50402e-06
Staphylococcus xylosus	1288	species	8411206	6841	3524	1.85495e-05
Staphylococcus warneri	1292	species	2560716	1723	293	4.13304e-05
Staphylococcus schleiferi	1295	species	12494798	586	139	5.71752e-27
Streptococcus	1301	genus	0	253	227	0.0
Streptococcus gordonii	1302	species	3335036	400	5	9.91528e-38
Streptococcus oralis	1303	species	1958690	14	0	0.0
Streptococcus salivarius	1304	species	3636237	99	38	5.52738e-46
Streptococcus sanguinis	1305	species	2388435	29	0	4.57707e-44
Streptococcus suis	1307	species	2683756	488	55	1.19998e-05
Streptococcus thermophilus	1308	species	3463400	67	10	4.83034e-45
Streptococcus mutans	1309	species	2017559	36	5	0.0
Streptococcus agalactiae	1311	species	5721038	7496	379	7.07802e-06
Streptococcus pneumoniae	1313	species	2272871	309	42	7.08005e-06
Streptococcus pyogenes	1314	species	4096430	1020790	920076	0.614006
Streptococcus parasanguinis	1318	species	2162630	18	6	1.31311e-44
Streptococcus anginosus	1328	species	2557124	218	29	3.14651e-06
Streptococcus dysgalactiae	1334	species	2149105	80383	3944	0.000634107
Streptococcus equi	1336	species	2140495	888	129	3.76248e-06
Streptococcus intermedius	1338	species	1963517	261	18	8.68974e-41
Streptococcus iniae	1346	species	2086959	296	18	5.27482e-39
Streptococcus parauberis	1348	species	2143887	128	18	3.75292e-06
Streptococcus uberis	1349	species	1852352	948	8	1.14642e-25
Enterococcus	1350	genus	0	2	0	0.0
Enterococcus faecalis	1351	species	3401628	6	4	0.0
Enterococcus faecium	1352	species	5898717	21	1	0.0
Enterococcus gallinarum	1353	species	3821349	8	0	0.0
Enterococcus hirae	1354	species	2908247	13	10	2.76504e-06
Lactococcus lactis	1358	species	2704731	57	31	1.1218e-16
Lactococcus garvieae	1363	species	1957049	15	4	8.07693e-59
Lactococcus piscium	1364	species	2503066	9	2	3.37599e-66
Planococcus	1372	genus	0	1	0	0.0
Aerococcus urinae	1376	species	2027618	6	2	5.46183e-65
Aerococcus viridans	1377	species	2199877	19	1	0.0
Bacillus	1386	genus	0	7	0	0.0
Bacillus amyloliquefaciens	1390	species	5608910	10	3	0.0
Bacillus anthracis	1392	species	17446789	24	19	0.0
Brevibacillus brevis	1393	species	6296436	1	0	0.0
Bacillus cereus	1396	species	9676532	26	13	0.0
Bacillus coagulans	1398	species	4327944	67	63	0.0
Bacillus megaterium	1404	species	5334474	4	1	0.0
Bacillus mycoides	1405	species	11312355	6	3	7.10849e-07
Paenibacillus polymyxa	1406	species	6883167	8	4	6.95759e-68
Bacillus pumilus	1408	species	20721195	15	12	0.0
Bacillus sp.	1409	species	4233615	1	0	0.0
Bacillus cellulosilyticus	1413	species	4681672	6	3	0.0
Lysinibacillus sphaericus	1421	species	14371778	2	1	0.0
Bacillus subtilis	1423	species	7550081	17	13	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	44	24	1.43714e-06
Amphibacillus xylanus	1449	species	2569486	3	1	0.0
Paenibacillus larvae	1464	species	4056006	1	1	0.0
Brevibacillus laterosporus	1465	species	5153859	2	0	0.0
Bacillus methanolicus	1471	species	3425208	3	1	0.0
Sporosarcina psychrophila	1476	species	4674191	6	0	2.83238e-07
Bacillus simplex	1478	species	5521719	3	1	5.72213e-73
