name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	1	1	0.0
Azorhizobium caulinodans	7	species	5369772	11	6	0.0
Buchnera aphidicola	9	species	619958	33	20	0.0
Cellulomonas gilvus	11	species	3526441	4	4	2.1217e-06
Shewanella	22	genus	0	6	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	1.89346e-266
Myxococcales	29	order	0	2	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	2	0	0.0
Archangium gephyra	48	species	12489432	2	0	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Runella slithyformis	106	species	6919729	1	1	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	2	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Pirellula staleyi	125	species	6196199	4	2	0.0
Spirochaetales	136	order	0	1	0	0.0
Treponema pallidum	160	species	1138607	1	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Azospirillum brasilense	192	species	13978806	6	1	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Campylobacter	194	genus	0	2	0	0.0
Campylobacter jejuni	197	species	6156435	2	2	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Helicobacter pylori	210	species	2044699	1	0	0.0
Helicobacter felis	214	species	1672681	1	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Brucella	234	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	3	1	0.0
Paracoccus denitrificans	266	species	5236194	1	0	8.87606e-269
Thermus	270	genus	0	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	5	0	0.0
Comamonas testosteroni	285	species	5695231	2	2	0.0
Pseudomonas	286	genus	0	24	0	0.0
Pseudomonas aeruginosa	287	species	22457305	10	8	5.07759e-255
Pseudoalteromonas atlantica	288	species	5187005	4	0	0.0
Burkholderia cepacia	292	species	13365495	33	24	0.0
Pseudomonas fluorescens	294	species	14826544	20	8	4.22819e-245
Pseudomonas fragi	296	species	5101809	2	1	0.0
Pseudomonas mendocina	300	species	5293211	4	0	2.25997e-217
Pseudomonas putida	303	species	6888188	25	8	0.0
Ralstonia solanacearum	305	species	11186335	3	1	0.0
Pseudomonas stutzeri	316	species	7755802	22	18	1.34941e-06
Pseudomonas syringae	317	species	6129101	9	2	0.0
Ralstonia pickettii	329	species	6378979	2	2	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Burkholderia glumae	337	species	7333967	3	1	0.0
Xanthomonas	338	genus	0	4	0	0.0
Xanthomonas campestris	339	species	7063896	3	3	0.0
Xanthomonas citri	346	species	17318955	2	1	0.0
Xanthomonas oryzae	347	species	17545599	1	1	0.0
Azotobacter chroococcum	353	species	5192286	1	1	0.0
Azotobacter vinelandii	354	species	5351632	2	0	2.97904e-243
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Sinorhizobium fredii	380	species	6891900	9	0	0.0
Sinorhizobium meliloti	382	species	6962835	4	2	0.0
Rhizobium leguminosarum	384	species	7369497	1	0	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Methylomonas	416	genus	0	3	0	0.0
Methylomonas methanica	421	species	5051681	2	0	0.0
Acetobacter pasteurianus	438	species	3216979	1	1	0.0
Gluconobacter oxydans	442	species	3306867	1	1	0.0
Legionella pneumophila	446	species	15688009	6	2	0.0
Legionella hackeliae	449	species	3570857	1	0	0.0
Legionella longbeachae	450	species	4149158	5	1	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	3	1	0.0
Acinetobacter baumannii	470	species	11595472	7	5	0.0
Moraxella	475	genus	0	2	0	0.0
Moraxella catarrhalis	480	species	2846413	11	3	0.0
Neisseriaceae	481	family	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	5	0	1.61e-267
Neisseria lactamica	486	species	2220606	2	0	0.0
Neisseria meningitidis	487	species	8508873	12	6	2.24479e-280
Neisseria elongata	495	species	2256647	2	0	1.13084e-248
Psychrobacter	497	genus	0	2	0	0.0
Thermomicrobium roseum	500	species	2920744	1	1	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Alcaligenes faecalis	511	species	4248684	1	1	0.0
Bordetella	517	genus	0	1	0	0.0
Acidiphilium cryptum	524	species	3963080	2	1	0.0
Ochrobactrum anthropi	529	species	5053471	3	1	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Chromobacterium	535	genus	0	2	0	0.0
Enterobacteriaceae	543	family	0	1865	1038	0.0
Citrobacter	544	genus	0	1112	0	0.0
Citrobacter koseri	545	species	4735357	61042	108	0.000154354
Citrobacter freundii	546	species	16193243	3613	224	8.09203e-06
Enterobacter	547	genus	0	1048	20	0.0
[Enterobacter] aerogenes	548	species	10750562	60506	128	3.76767e-16
Pantoea agglomerans	549	species	9924054	92	5	5.85333e-203
Enterobacter cloacae	550	species	10083180	1508	94	2.31632e-06
Erwinia	551	genus	0	68	0	0.0
Erwinia amylovora	552	species	3869718	44	3	1.33274e-202
Pantoea ananatis	553	species	4842757	1134	79	2.00971e-05
Pectobacterium carotovorum	554	species	4852842	104	40	6.1673e-06
Escherichia	561	genus	0	2843	0	0.0
Escherichia coli	562	species	12319210	5270676	4293700	0.973598
Shimwellia blattae	563	species	4158725	318	37	7.46014e-110
Escherichia fergusonii	564	species	4643861	128377	4162	0.000592736
Hafnia	568	genus	0	41	0	0.0
Hafnia alvei	569	species	6928293	147	18	1.17128e-206
Klebsiella	570	genus	0	2926	1	0.0
Klebsiella oxytoca	571	species	16779606	24621	2790	1.07382e-05
Klebsiella pneumoniae	573	species	15713353	73214	608	2.72228e-05
Morganella	581	genus	0	29	0	0.0
Morganella morganii	582	species	3853791	236	40	9.37491e-06
Proteus	583	genus	0	25	0	0.0
Proteus mirabilis	584	species	5337360	1961	1	0
Proteus vulgaris	585	species	3794983	1855	1	3.94768e-06
Providencia	586	genus	0	7	0	0.0
Providencia stuartii	588	species	6521015	47	37	1.14738e-06
Salmonella	590	genus	0	367	0	0.0
Serratia	613	genus	0	195	1	0.0
Serratia liquefaciens	614	species	7946985	105	9	7.72865e-195
Serratia marcescens	615	species	8465231	320	21	2.85261e-14
Shigella	620	genus	0	132388	0	0.0
