pct,Experiment,mixture,tax_name,tool
0.000369463,E. coli - S. sonnei,0.1/99.9,Actinobacillus minor,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Aeromonas veronii,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Aggregatibacter actinomycetemcomitans,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Alcanivorax dieselolei,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Aliivibrio salmonicida,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Allochromatium vinosum,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Alteromonas mediterranea,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Anaplasma phagocytophilum,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Bibersteinia trehalosi,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Brucella melitensis,clark
0.00221678,E. coli - S. sonnei,0.1/99.9,Buchnera aphidicola,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Burkholderia graminis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Burkholderia pseudomallei,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Candidatus Pantoea carbekii,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Carnobacterium maltaromaticum,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Chelativorans sp. BNC1,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Chloroflexus aggregans,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Chromohalobacter salexigens,clark
0.00554195,E. coli - S. sonnei,0.1/99.9,Citrobacter freundii,clark
0.0118228,E. coli - S. sonnei,0.1/99.9,Citrobacter koseri,clark
0.00960604,E. coli - S. sonnei,0.1/99.9,Citrobacter rodentium,clark
0.00480302,E. coli - S. sonnei,0.1/99.9,Citrobacter youngae,clark
0.00295571,E. coli - S. sonnei,0.1/99.9,Clostridiales bacterium 1_7_47FAA,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Corynebacterium diphtheriae,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Corynebacterium glutamicum,clark
0.0099755,E. coli - S. sonnei,0.1/99.9,Cronobacter sakazakii,clark
0.00443356,E. coli - S. sonnei,0.1/99.9,Cronobacter turicensis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Cyanothece sp. ATCC 51142,clark
0.00554195,E. coli - S. sonnei,0.1/99.9,Desulfotalea psychrophila,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Dickeya dadantii,clark
0.00221678,E. coli - S. sonnei,0.1/99.9,Dickeya zeae,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Edwardsiella ictaluri,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Edwardsiella tarda,clark
0.00369463,E. coli - S. sonnei,0.1/99.9,Enterobacter aerogenes,clark
0.00517248,E. coli - S. sonnei,0.1/99.9,Enterobacter asburiae,clark
0.0203205,E. coli - S. sonnei,0.1/99.9,Enterobacter cloacae,clark
0.0107144,E. coli - S. sonnei,0.1/99.9,Enterobacter lignolyticus,clark
0.00517248,E. coli - S. sonnei,0.1/99.9,Enterobacter sp. 638,clark
0.00517248,E. coli - S. sonnei,0.1/99.9,Enterobacter sp. R4-368,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage phiP27,clark
0.0114534,E. coli - S. sonnei,0.1/99.9,Enterobacteriaceae bacterium strain FGI 57,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Enterococcus faecium,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Erwinia amylovora,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Erwinia billingiae,clark
0.0243846,E. coli - S. sonnei,0.1/99.9,Erwinia pyrifoliae,clark
0.00886712,E. coli - S. sonnei,0.1/99.9,Erwinia sp. Ejp617,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Erwinia tasmaniensis,clark
1.84067,E. coli - S. sonnei,0.1/99.9,Escherichia coli,clark
0.045444,E. coli - S. sonnei,0.1/99.9,Escherichia fergusonii,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Ferrimonas balearica,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Gardnerella vaginalis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Geobacillus thermoglucosidasius,clark
0.00110839,E. coli - S. sonnei,0.1/99.9,Glaciecola sp. 4H-3-7+YE-5,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Haemophilus influenzae,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Hahella chejuensis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Halothiobacillus neapolitanus,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Idiomarina baltica,clark
0.00295571,E. coli - S. sonnei,0.1/99.9,Klebsiella oxytoca,clark
0.015148,E. coli - S. sonnei,0.1/99.9,Klebsiella pneumoniae,clark
0.00369463,E. coli - S. sonnei,0.1/99.9,Klebsiella variicola,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Lactobacillus acidophilus,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Lactobacillus brevis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Lactobacillus coleohominis,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Legionella longbeachae,clark
0.00554195,E. coli - S. sonnei,0.1/99.9,Legionella pneumophila,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Mannheimia haemolytica,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Methylomicrobium alcaliphilum,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Monomastix sp. OKE-1,clark
0.00147785,E. coli - S. sonnei,0.1/99.9,Morganella morganii,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Neisseria elongata,clark
0.00258624,E. coli - S. sonnei,0.1/99.9,Neisseria meningitidis,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Nitratifractor salsuginis,clark
0.00258624,E. coli - S. sonnei,0.1/99.9,Pantoea ananatis,clark
0.00221678,E. coli - S. sonnei,0.1/99.9,Pantoea sp. At-9b,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Pantoea vagans,clark
0.000738926,E. coli - S. sonnei,0.1/99.9,Pectobacterium atrosepticum,clark
0.0070198,E. coli - S. sonnei,0.1/99.9,Pectobacterium carotovorum,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Pectobacterium sp. SCC3193,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Pectobacterium wasabiae,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Photobacterium angustum,clark
0.00406409,E. coli - S. sonnei,0.1/99.9,Photobacterium profundum,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Photorhabdus asymbiotica,clark
0.000369463,E. coli - S. sonnei,0.1/99.9,Photorhabdus luminescens,clark
