pct,reads,Experiment,mixture,tax_id,tax_name
0.116234651,164920,E. coli - S. sonnei,0.1/99.9,623,Shigella flexneri
0.006251524,8870,E. coli - S. sonnei,0.1/99.9,622,Shigella dysenteriae
0.004686881,6650,E. coli - S. sonnei,0.1/99.9,621,Shigella boydii
0.00058216,826,E. coli - S. sonnei,0.1/99.9,624,Shigella sonnei
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1813821,Shigella sp. PAMC 28760
0.029729627,42182,E. coli - S. sonnei,0.1/99.9,562,Escherichia coli
0.001251714,1776,E. coli - S. sonnei,0.1/99.9,208962,Escherichia albertii
0.000316453,449,E. coli - S. sonnei,0.1/99.9,564,Escherichia fergusonii
0.000102195,145,E. coli - S. sonnei,0.1/99.9,1499973,Escherichia marmotae
0.001480773,2101,E. coli - S. sonnei,0.1/99.9,28901,Salmonella enterica
3.59E-05,51,E. coli - S. sonnei,0.1/99.9,54736,Salmonella bongori
9.87E-06,14,E. coli - S. sonnei,0.1/99.9,2500542,Salmonella sp. SSDFZ54
8.88E-05,126,E. coli - S. sonnei,0.1/99.9,546,Citrobacter freundii
6.41E-05,91,E. coli - S. sonnei,0.1/99.9,67827,Citrobacter werkmanii
2.75E-05,39,E. coli - S. sonnei,0.1/99.9,1639133,Citrobacter portucalensis
1.13E-05,16,E. coli - S. sonnei,0.1/99.9,133448,Citrobacter youngae
8.46E-06,12,E. coli - S. sonnei,0.1/99.9,2066049,Citrobacter freundii complex sp. CFNIH2
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,2077147,Citrobacter freundii complex sp. CFNIH3
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,57706,Citrobacter braakii
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,2077149,Citrobacter freundii complex sp. CFNIH9
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2077148,Citrobacter freundii complex sp. CFNIH4
7.96E-05,113,E. coli - S. sonnei,0.1/99.9,67825,Citrobacter rodentium
4.37E-05,62,E. coli - S. sonnei,0.1/99.9,35703,Citrobacter amalonaticus
2.96E-05,42,E. coli - S. sonnei,0.1/99.9,2562449,Citrobacter sp. SNU WT2
2.40E-05,34,E. coli - S. sonnei,0.1/99.9,67824,Citrobacter farmeri
2.33E-05,33,E. coli - S. sonnei,0.1/99.9,545,Citrobacter koseri
2.11E-05,30,E. coli - S. sonnei,0.1/99.9,2546350,Citrobacter sp. LY-1
1.27E-05,18,E. coli - S. sonnei,0.1/99.9,1563222,Citrobacter pasteurii
7.05E-06,10,E. coli - S. sonnei,0.1/99.9,1702170,Citrobacter sp. FDAARGOS_156
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,1703250,Citrobacter sp. CRE-46
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,1920110,Citrobacter sp. CFNIH10
0.000423581,601,E. coli - S. sonnei,0.1/99.9,573,Klebsiella pneumoniae
