pct,reads,sample,tax_id,tax_name
0.26189778,7271518,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1063,Rhodobacter sphaeroides
0.158247204,4393689,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1282,Staphylococcus epidermidis
0.145168015,4030549,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1309,Streptococcus mutans
0.056152128,1559048,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,562,Escherichia coli
0.022389278,621632,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1280,Staphylococcus aureus
0.017158503,476401,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,287,Pseudomonas aeruginosa
0.012282098,341009,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1520,Clostridium beijerinckii
0.012161082,337649,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1396,Bacillus cereus
0.004159055,115475,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,210,Helicobacter pylori
0.004018409,111570,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1747,Cutibacterium acnes
0.002208018,61305,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,487,Neisseria meningitidis
0.002068092,57420,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1639,Listeria monocytogenes
0.001703097,47286,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,470,Acinetobacter baumannii
0.001316383,36549,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1596,Lactobacillus gasseri
0.000844561,23449,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,622,Shigella dysenteriae
0.000608218,16887,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,28035,Staphylococcus lugdunensis
0.000564457,15672,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,621,Shigella boydii
0.000467896,12991,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,821,Bacteroides vulgatus
0.000357828,9935,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,208962,Escherichia albertii
0.000337983,9384,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,623,Shigella flexneri
0.000334453,9286,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1351,Enterococcus faecalis
0.000300345,8339,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1311,Streptococcus agalactiae
0.000292097,8110,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1299,Deinococcus radiodurans
0.000246464,6843,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,28901,Salmonella enterica
0.000219163,6085,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1111760,Streptococcus troglodytae
0.000177491,4928,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1313,Streptococcus pneumoniae
0.000149866,4161,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1286,Staphylococcus simulans
0.000108591,3015,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,573,Klebsiella pneumoniae
9.83E-05,2730,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,564,Escherichia fergusonii
8.89E-05,2468,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1428,Bacillus thuringiensis
6.51E-05,1808,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1392,Bacillus anthracis
6.19E-05,1719,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,624,Shigella sonnei
5.67E-05,1575,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,29385,Staphylococcus saprophyticus
5.12E-05,1422,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1283,Staphylococcus haemolyticus
4.82E-05,1337,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,2420310,Streptococcus sp. FDAARGOS_522
4.71E-05,1307,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1978467,Pseudomonas sp. AK6U
3.89E-05,1079,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,550,Enterobacter cloacae
3.05E-05,846,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,548,Klebsiella aerogenes
3.00E-05,833,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,67825,Citrobacter rodentium
2.75E-05,763,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,61645,Enterobacter asburiae
2.73E-05,757,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1314,Streptococcus pyogenes
2.70E-05,750,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,985762,Staphylococcus agnetis
2.68E-05,744,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1719,Corynebacterium pseudotuberculosis
2.37E-05,659,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,2420309,Streptococcus sp. FDAARGOS_521
2.37E-05,657,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1499973,Escherichia marmotae
2.28E-05,633,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,52773,Schaalia meyeri
2.23E-05,620,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1290,Staphylococcus hominis
2.23E-05,619,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,546,Citrobacter freundii
2.11E-05,586,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,693444,Enterobacteriaceae bacterium strain FGI 57
1.91E-05,529,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1338,Streptococcus intermedius
1.71E-05,475,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,35703,Citrobacter amalonaticus
1.67E-05,464,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,160057,Klebsiella sp. KCL-2
1.60E-05,445,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1334193,[Enterobacter] lignolyticus
1.55E-05,429,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,106654,Acinetobacter nosocomialis
1.51E-05,418,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,46127,Staphylococcus felis
1.45E-05,403,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,303,Pseudomonas putida
1.41E-05,392,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1914861,Enterobacter sp. SA187
1.35E-05,375,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,61646,Lelliottia amnigena
1.35E-05,374,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,563,Shimwellia blattae
1.34E-05,373,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,1134687,Klebsiella michiganensis
1.34E-05,372,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,158822,Cedecea neteri
1.33E-05,368,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,294,Pseudomonas fluorescens
1.31E-05,363,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,587753,Pseudomonas chlororaphis
1.29E-05,357,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,2026189,Bacillus albus
1.28E-05,356,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,54736,Salmonella bongori
1.23E-05,341,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,283734,Staphylococcus pseudintermedius
1.22E-05,340,IonXpress_029_PR-CARTMAN-77_staggered.fasta.report,61648,Kluyvera intermedia
