abundance,pct,reads,sample,Donor,week,tax_name
0.0103878,0.924954244,4947571,GW_wk1.fa,Donor 1,week 1,Homo sapiens
0.91736,0.059875416,320273,GW_wk1.fa,Donor 1,week 1,synthetic construct
0,0.005568154,29784,GW_wk1.fa,Donor 1,week 1,Taylorella equigenitalis
0.0206347,0.001987291,10630,GW_wk1.fa,Donor 1,week 1,Lactococcus lactis
0.0117546,0.001259864,6739,GW_wk1.fa,Donor 1,week 1,Streptococcus thermophilus
0.00271556,0.000535802,2866,GW_wk1.fa,Donor 1,week 1,Bacillus cereus
0.00638565,0.000465695,2491,GW_wk1.fa,Donor 1,week 1,Propionibacterium acnes
8.09E-05,0.000307535,1645,GW_wk1.fa,Donor 1,week 1,Corynebacterium pseudotuberculosis
0.000529653,0.000137409,735,GW_wk1.fa,Donor 1,week 1,Ralstonia pickettii
0.00032544,0.000112732,603,GW_wk1.fa,Donor 1,week 1,Weissella cibaria
8.73E-05,0.000106562,570,GW_wk1.fa,Donor 1,week 1,Ralstonia insidiosa
0.000669676,9.76E-05,522,GW_wk1.fa,Donor 1,week 1,Micrococcus luteus
2.66E-05,9.42E-05,504,GW_wk1.fa,Donor 1,week 1,Pseudomonas fluorescens
2.33E-05,8.32E-05,445,GW_wk1.fa,Donor 1,week 1,Leptothrix cholodnii
0.00020822,7.53E-05,403,GW_wk1.fa,Donor 1,week 1,Staphylococcus epidermidis
8.94E-05,6.94E-05,371,GW_wk1.fa,Donor 1,week 1,Veillonella parvula
0.00100418,6.39E-05,342,GW_wk1.fa,Donor 1,week 1,Lactobacillus helveticus
5.59E-06,5.14E-05,275,GW_wk1.fa,Donor 1,week 1,Variovorax paradoxus
0,4.73E-05,253,GW_wk1.fa,Donor 1,week 1,Methylibium petroleiphilum
1.80E-05,4.54E-05,243,GW_wk1.fa,Donor 1,week 1,Mitsuaria sp. 7
0.000299268,4.32E-05,231,GW_wk1.fa,Donor 1,week 1,Escherichia coli
0,4.19E-05,224,GW_wk1.fa,Donor 1,week 1,Rhodanobacter denitrificans
7.74E-05,4.09E-05,219,GW_wk1.fa,Donor 1,week 1,Bacillus thuringiensis
2.50E-18,4.04E-05,216,GW_wk1.fa,Donor 1,week 1,Roseateles depolymerans
1.18E-05,3.98E-05,213,GW_wk1.fa,Donor 1,week 1,[Polyangium] brachysporum
2.60E-05,3.74E-05,200,GW_wk1.fa,Donor 1,week 1,Blastomonas sp. RAC04
0,3.66E-05,196,GW_wk1.fa,Donor 1,week 1,Acidovorax sp. KKS102
5.12E-05,3.59E-05,192,GW_wk1.fa,Donor 1,week 1,Ralstonia mannitolilytica
0,3.53E-05,189,GW_wk1.fa,Donor 1,week 1,Ralstonia solanacearum
2.30E-05,3.48E-05,186,GW_wk1.fa,Donor 1,week 1,Paucibacter sp. KCTC 42545
5.18E-19,3.44E-05,184,GW_wk1.fa,Donor 1,week 1,Ramlibacter tataouinensis
0,3.25E-05,174,GW_wk1.fa,Donor 1,week 1,Rubrivivax gelatinosus
0,3.22E-05,172,GW_wk1.fa,Donor 1,week 1,Pseudomonas putida
5.25E-05,3.16E-05,169,GW_wk1.fa,Donor 1,week 1,Rhodococcus sp. B7740
