name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	1	0.0
Shewanella putrefaciens	24	species	4749735	1	1	0.0
Myxococcus fulvus	33	species	10026214	1	1	0.0
Archangium gephyra	48	species	12489432	2	2	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Cyclobacterium marinum	104	species	6221273	1	1	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Azospirillum brasilense	192	species	13978806	4	3	0.0
Azospirillum lipoferum	193	species	7223069	2	1	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Helicobacter pylori	210	species	2044699	1	1	0.0
Paracoccus denitrificans	266	species	5236194	2	2	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Thermus thermophilus	274	species	2214494	6	6	0.0
Xanthobacter autotrophicus	280	species	5625098	2	1	0.0
Comamonas testosteroni	285	species	5695231	7	5	0.0
Pseudomonas	286	genus	0	25	22	0.0
Pseudomonas aeruginosa	287	species	22457305	52	28	8.84283e-06
Burkholderia cepacia	292	species	13365495	7	0	0.0
Pseudomonas fluorescens	294	species	14826544	68	55	4.39113e-06
Pseudomonas mendocina	300	species	5293211	18	11	0.0
Pseudomonas putida	303	species	6888188	148	105	4.2307e-05
Ralstonia solanacearum	305	species	11186335	13	8	0.0
Pseudomonas stutzeri	316	species	7755802	28	16	0
Pseudomonas syringae	317	species	6129101	9	7	0.0
Ralstonia pickettii	329	species	6378979	66	60	8.06934e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	18	6	0.0
Burkholderia glumae	337	species	7333967	4	0	0.0
Xanthomonas campestris	339	species	7063896	1	1	0.0
Xanthomonas citri	346	species	17318955	8	2	0.0
Xanthomonas oryzae	347	species	17545599	2	0	0.0
Azotobacter chroococcum	353	species	5192286	11	9	0.0
Azotobacter vinelandii	354	species	5351632	4	2	0.0
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	3	1	0.0
Bradyrhizobium japonicum	375	species	9215796	7	0	0.0
Bradyrhizobium sp.	376	species	7547693	5	2	0.0
Rhizobium	379	genus	0	4	2	0.0
Sinorhizobium fredii	380	species	6891900	2	1	0.0
Mesorhizobium loti	381	species	7539018	1	1	0.0
Sinorhizobium meliloti	382	species	6962835	1	1	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Rhizobium tropici	398	species	6686334	1	0	0.0
Methylobacterium extorquens	408	species	6163878	1	1	8.43423e-06
Acetobacter pasteurianus	438	species	3216979	1	1	0.0
Legionella pneumophila	446	species	15688009	1	1	0.0
Acinetobacter	469	genus	0	3	0	0.0
Acinetobacter baumannii	470	species	11595472	93	44	5.66929e-06
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria meningitidis	487	species	8508873	3	3	0.0
Kingella kingae	504	species	2140065	2	2	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Bordetella bronchiseptica	518	species	6491145	5	1	0.0
Bordetella pertussis	520	species	48698463	4	0	0.0
Bordetella avium	521	species	3732255	1	1	0.0
Acidiphilium cryptum	524	species	3963080	5	0	0.0
Ochrobactrum anthropi	529	species	5053471	1	1	0.0
Chromobacterium violaceum	536	species	4751080	1	1	0.0
Enterobacteriaceae	543	family	0	1	1	0.0
Citrobacter koseri	545	species	4735357	1	0	0.0
Enterobacter	547	genus	0	2	0	0.0
Enterobacter cloacae	550	species	10083180	6	0	1.19068e-13
Pantoea ananatis	553	species	4842757	2	0	0.0
Escherichia coli	562	species	12319210	80	10	1.84999e-05
Shimwellia blattae	563	species	4158725	1	0	0.0
