name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	2	0.0
Buchnera aphidicola	9	species	619958	7	5	0.0
Cellulomonas gilvus	11	species	3526441	3	3	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Shewanella putrefaciens	24	species	4749735	5	3	0.0
Myxococcus fulvus	33	species	10026214	4	2	0.0
Myxococcus xanthus	34	species	9139763	3	1	0.0
Stigmatella aurantiaca	41	species	10260756	2	2	0.0
Archangium gephyra	48	species	12489432	4	4	0.0
Chondromyces crocatus	52	species	11388132	4	4	0.0
Sorangium cellulosum	56	species	13907952	5	5	0.0
Cyclobacterium marinum	104	species	6221273	4	4	0.0
Runella slithyformis	106	species	6919729	2	2	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Planctopirus limnophila	120	species	5460085	2	1	0.0
Pirellula staleyi	125	species	6196199	2	1	0.0
Spirochaeta thermophila	154	species	2516433	2	1	0.0
Treponema	157	genus	0	2	0	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Leptospira interrogans	173	species	5395453	6	6	0.0
Leptospira borgpetersenii	174	species	3948532	3	3	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	9	5	0.0
Azospirillum lipoferum	193	species	7223069	9	2	0.0
Campylobacter coli	195	species	5104439	2	1	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter jejuni	197	species	6156435	4	3	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter lari	201	species	1576113	5	1	0.0
Helicobacter pylori	210	species	2044699	5	4	0.0
Achromobacter	222	genus	0	1	0	0.0
Brucella	234	genus	0	2	1	0.0
Francisella tularensis	263	species	2777166	2	2	0.0
Paracoccus denitrificans	266	species	5236194	17	12	0.0
Thermus aquaticus	271	species	2338641	2	2	0.0
Thermus thermophilus	274	species	2214494	4	3	0.0
Xanthobacter autotrophicus	280	species	5625098	6	2	0.0
Comamonas testosteroni	285	species	5695231	38	21	1.89367e-05
Pseudomonas	286	genus	0	15	5	0.0
Pseudomonas aeruginosa	287	species	22457305	66	31	6.73385e-06
Pseudoalteromonas atlantica	288	species	5187005	2	2	0.0
Burkholderia cepacia	292	species	13365495	50	14	6.94368e-18
Pseudomonas fluorescens	294	species	14826544	298	259	8.71316e-05
Pseudomonas fragi	296	species	5101809	5	1	0.0
Pseudomonas mendocina	300	species	5293211	86	71	0.0
Pseudomonas putida	303	species	6888188	87	54	1.18194e-05
Ralstonia solanacearum	305	species	11186335	24	18	0.0
Pseudomonas stutzeri	316	species	7755802	78	51	1.01435e-05
Pseudomonas syringae	317	species	6129101	19	9	0.0
Ralstonia pickettii	329	species	6378979	57	50	1.94592e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	97	83	1.38925e-05
Burkholderia glumae	337	species	7333967	14	5	0.0
Xanthomonas	338	genus	0	3	1	0.0
Xanthomonas campestris	339	species	7063896	12	9	0.0
Xanthomonas translucens	343	species	4638247	16	7	0.0
Xanthomonas citri	346	species	17318955	21	1	0.0
Xanthomonas oryzae	347	species	17545599	8	2	0.0
Azotobacter chroococcum	353	species	5192286	16	8	0.0
Azotobacter vinelandii	354	species	5351632	18	9	0.0
Rhizobiales	356	order	0	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	15	4	1.65256e-21
Agrobacterium vitis	373	species	6320946	2	1	0.0
Bradyrhizobium	374	genus	0	3	0	0.0
Bradyrhizobium japonicum	375	species	9215796	17	11	0.0
Bradyrhizobium sp.	376	species	7547693	14	8	0.0
Rhizobium	379	genus	0	5	0	0.0
Sinorhizobium fredii	380	species	6891900	3	2	0.0
Mesorhizobium loti	381	species	7539018	15	6	0.0
Sinorhizobium meliloti	382	species	6962835	2	1	0.0
Rhizobium leguminosarum	384	species	7369497	11	7	0.0
Rhizobium phaseoli	396	species	87841097	5	3	0.0
Rhizobium tropici	398	species	6686334	2	1	0.0
Neorhizobium galegae	399	species	6434105	3	2	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Methylobacterium	407	genus	0	2	0	0.0
Methylobacterium extorquens	408	species	6163878	72	62	6.54493e-05
Methylococcus capsulatus	414	species	3304561	4	4	0.0
Acetobacter pasteurianus	438	species	3216979	2	2	0.0
Legionella pneumophila	446	species	15688009	5	4	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Tatlockia micdadei	451	species	3310028	2	2	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	19	7	0
Neisseriaceae	481	family	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	2	0	0.0
Neisseria lactamica	486	species	2220606	2	2	0.0
Neisseria meningitidis	487	species	8508873	6	3	0.0
Neisseria elongata	495	species	2256647	3	2	0.0
Kingella kingae	504	species	2140065	2	2	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Alcaligenes faecalis	511	species	4248684	2	1	0.0
Bordetella	517	genus	0	2	0	0.0
Bordetella bronchiseptica	518	species	6491145	9	5	0.0
Bordetella parapertussis	519	species	4815611	4	1	0.0
Bordetella pertussis	520	species	48698463	1	0	0.0
Bordetella avium	521	species	3732255	1	1	0.0
Acidiphilium cryptum	524	species	3963080	5	1	0.0
Ochrobactrum anthropi	529	species	5053471	2	1	0.0
Chromobacterium violaceum	536	species	4751080	8	2	0.0
Enterobacteriaceae	543	family	0	5	0	0.0
Citrobacter koseri	545	species	4735357	2	2	0.0
Citrobacter freundii	546	species	16193243	4	4	0.0
Pantoea agglomerans	549	species	9924054	4	4	0.0
Enterobacter cloacae	550	species	10083180	18	6	0
Erwinia	551	genus	0	1	0	0.0
Pantoea ananatis	553	species	4842757	2	1	0.0
Pectobacterium carotovorum	554	species	4852842	1	1	0.0
Escherichia coli	562	species	12319210	217	43	5.59799e-05
Escherichia fergusonii	564	species	4643861	7	0	2.37934e-52
Hafnia alvei	569	species	6928293	1	1	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella oxytoca	571	species	16779606	66	53	1.10965e-05
Klebsiella pneumoniae	573	species	15713353	19	14	5.92472e-06
Morganella morganii	582	species	3853791	1	1	0.0
Proteus mirabilis	584	species	5337360	4	0	0.0
Proteus vulgaris	585	species	3794983	4	0	0.0
Providencia	586	genus	0	1	0	0.0
Providencia stuartii	588	species	6521015	1	1	4.75883e-06
Serratia	613	genus	0	1	0	0.0
Serratia liquefaciens	614	species	7946985	4	4	0.0
Serratia marcescens	615	species	8465231	13	7	7.33173e-06
Shigella	620	genus	0	8	0	0.0
Shigella boydii	621	species	4698475	48	0	1.83674e-15
Shigella dysenteriae	622	species	4560911	18	0	9.39582e-16
Shigella flexneri	623	species	4763519	41	0	1.15697e-17
Shigella sonnei	624	species	6798914	39	1	4.8788e-13
Yersinia enterocolitica	630	species	14308813	6	6	0.0
Yersinia intermedia	631	species	4859749	1	1	0.0
Edwardsiella tarda	636	species	3717889	2	0	0.0
Aeromonas hydrophila	644	species	7739252	43	35	0.0
Aeromonas salmonicida	645	species	5040536	4	3	0.0
Aeromonas media	651	species	4788430	11	6	6.48071e-06
Aeromonas schubertii	652	species	4400034	3	3	0.0
Aeromonas veronii	654	species	7214925	12	6	0.0
Vibrio alginolyticus	663	species	8138835	2	1	0.0
Vibrio cholerae	666	species	6170861	5	5	0.0
Aliivibrio fischeri	668	species	4273718	2	2	0.0
Vibrio harveyi	669	species	11920371	1	0	0.0
Vibrio parahaemolyticus	670	species	10344823	1	1	0.0
Vibrio mimicus	674	species	8922704	1	1	0.0
Vibrio fluvialis	676	species	4827724	4	4	0.0
Vibrio campbellii	680	species	12090206	2	1	0.0
Vibrio natriegens	691	species	10692018	4	3	0.0
Plesiomonas shigelloides	703	species	3405979	2	0	0.0
