abundance,pct,reads,sample,Patient,Day,tax_name
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Myxococcus fulvus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Brachyspira hyodysenteriae
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Leptospira interrogans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Leptospira borgpetersenii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Azospirillum brasilense
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Campylobacter concisus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Campylobacter lari
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Helicobacter pylori
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Helicobacter felis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Comamonas testosteroni
0.000168534,1.23E-06,4,pt1_day1.bam-centrifuge_report,Patient1,1,Pseudomonas aeruginosa
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pseudomonas putida
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Xanthomonas campestris
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Xanthomonas citri
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Mesorhizobium loti
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Legionella longbeachae
0,1.54E-06,5,pt1_day1.bam-centrifuge_report,Patient1,1,Neisseria lactamica
0,3.08E-06,10,pt1_day1.bam-centrifuge_report,Patient1,1,Neisseria meningitidis
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Neisseria elongata
0,2.77E-06,9,pt1_day1.bam-centrifuge_report,Patient1,1,Klebsiella arogenes
0.00030723,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Escherichia coli
0,1.54E-06,5,pt1_day1.bam-centrifuge_report,Patient1,1,Klebsiella pneumoniae
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Providencia stuartii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Vibrio harveyi
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Actinobacillus pleuropneumoniae
0,1.23E-05,40,pt1_day1.bam-centrifuge_report,Patient1,1,Haemophilus influenzae
0,1.41E-05,46,pt1_day1.bam-centrifuge_report,Patient1,1,Haemophilus parainfluenzae
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Histophilus somni
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,[Haemophilus] parasuis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Coxiella burnetii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Rickettsia akari
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacteroides fragilis
0,1.23E-06,4,pt1_day1.bam-centrifuge_report,Patient1,1,Fusobacterium nucleatum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Syntrophomonas wolfei
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flavobacterium johnsoniae
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flavobacterium columnare
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flexibacter litoralis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Marivirga tractuosa
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Rhodobacter capsulatus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Trichodesmium erythraeum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Prochlorococcus marinus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pediococcus pentosaceus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Ruminococcus albus
0.000260936,3.08E-06,10,pt1_day1.bam-centrifuge_report,Patient1,1,Staphylococcus aureus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Staphylococcus carnosus
