name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	3	3	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	1	0	0.0
Myxococcus xanthus	34	species	9139763	1	1	0.0
Stigmatella aurantiaca	41	species	10260756	3	2	0.0
Archangium gephyra	48	species	12489432	2	1	0.0
Sorangium cellulosum	56	species	13907952	5	4	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Isosphaera pallida	128	species	5529304	7	0	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Azospirillum brasilense	192	species	13978806	1	1	0.0
Azospirillum lipoferum	193	species	7223069	2	2	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter pylori	210	species	2044699	3	3	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Brucella	234	genus	0	2	1	0.0
Paracoccus denitrificans	266	species	5236194	3	1	0.0
Meiothermus ruber	277	species	3097457	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	4	2	0.0
Comamonas testosteroni	285	species	5695231	2	2	0.0
Pseudomonas	286	genus	0	56	0	0.0
Pseudomonas aeruginosa	287	species	22457305	9	1	1.42642e-29
Burkholderia cepacia	292	species	13365495	2	0	0.0
Pseudomonas fluorescens	294	species	14826544	6	1	0.0
Pseudomonas fragi	296	species	5101809	1	0	0.0
Pseudomonas mendocina	300	species	5293211	1	1	0.0
Pseudomonas putida	303	species	6888188	58	4	4.48283e-17
Pseudomonas syringae	317	species	6129101	1	0	0.0
Ralstonia pickettii	329	species	6378979	2	2	0.0
Xanthomonas	338	genus	0	1	0	0.0
Xanthomonas citri	346	species	17318955	3	0	0.0
Rhizobiales	356	order	0	5	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	1	0.0
Agrobacterium vitis	373	species	6320946	4	2	0.0
Rhizobium leguminosarum	384	species	7369497	7	5	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
