name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	1	1	0.0
Isosphaera pallida	128	species	5529304	5	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Azospirillum lipoferum	193	species	7223069	1	1	0.0
Campylobacter jejuni	197	species	6156435	2	1	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter mustelae	217	species	1578097	1	1	0.0
Francisella tularensis	263	species	2777166	1	1	0.0
Pseudomonas	286	genus	0	9	0	0.0
Pseudomonas aeruginosa	287	species	22457305	3	1	0.0
Pseudomonas fluorescens	294	species	14826544	2	2	0.0
Pseudomonas putida	303	species	6888188	4	0	7.92952e-14
Ralstonia solanacearum	305	species	11186335	1	1	0.0
Pseudomonas stutzeri	316	species	7755802	2	0	0.0
Xanthomonas	338	genus	0	2	0	0.0
Rhizobiales	356	order	0	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Moraxellaceae	468	family	0	2	0	0.0
Acinetobacter	469	genus	0	7	0	0.0
Acinetobacter baumannii	470	species	11595472	2	2	0.0
Moraxella catarrhalis	480	species	2846413	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria lactamica	486	species	2220606	2	1	0.0
Bordetella bronchiseptica	518	species	6491145	1	1	0.0
Enterobacteriaceae	543	family	0	9	0	0.0
Hafnia alvei	569	species	6928293	1	1	0.0
Klebsiella oxytoca	571	species	16779606	1	0	0.0
Klebsiella pneumoniae	573	species	15713353	3	1	0.0
Proteus	583	genus	0	3	0	0.0
Proteus mirabilis	584	species	5337360	1	0	0.0
Vibrio vulnificus	672	species	10215744	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	1	0.0
Haemophilus influenzae	727	species	2672708	1	1	0.0
Pasteurella multocida	747	species	2546987	1	1	0.0
Orientia tsutsugamushi	784	species	2068019	2	1	0.0
Bacteroides fragilis	817	species	7824806	1	1	0.0
Porphyromonas gingivalis	837	species	2343668	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	2	2	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	0	0.0
Megasphaera elsdenii	907	species	2504349	1	1	0.0
Starkeya novella	921	species	4765023	1	0	0.0
Flavobacterium columnare	996	species	6492116	1	1	0.0
