name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Myxococcus fulvus	33	species	10026214	6	1	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Isosphaera pallida	128	species	5529304	7	0	0.0
Leptospira borgpetersenii	174	species	3948532	2	2	0.0
Helicobacter pylori	210	species	2044699	1	1	0.0
Paracoccus denitrificans	266	species	5236194	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	3	0	0.0
Pseudomonas	286	genus	0	2	0	0.0
Burkholderia cepacia	292	species	13365495	2	2	0.0
Pseudomonas fluorescens	294	species	14826544	4	4	0.000563941
Pseudomonas putida	303	species	6888188	4	1	1.03528e-13
Ralstonia solanacearum	305	species	11186335	2	2	0.0
Pseudomonas stutzeri	316	species	7755802	1	1	0.0
Pseudomonas syringae	317	species	6129101	1	0	0.0
Ralstonia pickettii	329	species	6378979	1	1	0.0
Burkholderia glumae	337	species	7333967	2	0	0.0
Xanthomonas campestris	339	species	7063896	9	8	0.00467028
Xanthomonas translucens	343	species	4638247	1	1	0.0
Mesorhizobium loti	381	species	7539018	1	1	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Moraxellaceae	468	family	0	3	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	3	0	2.99117e-16
Neisseriaceae	481	family	0	1	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	8508873	2	2	0.0
Bordetella bronchiseptica	518	species	6491145	1	0	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella pertussis	520	species	48698463	1	0	0.0
Bordetella avium	521	species	3732255	2	0	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Enterobacteriaceae	543	family	0	3	0	0.0
Citrobacter koseri	545	species	4735357	1	1	0.0
Pectobacterium carotovorum	554	species	4852842	1	1	0.0
Klebsiella pneumoniae	573	species	15713353	8	1	0
Proteus mirabilis	584	species	5337360	3	3	0.0
Providencia stuartii	588	species	6521015	1	0	0.0
Vibrio vulnificus	672	species	10215744	2	2	0.0
Vibrio fluvialis	676	species	4827724	1	1	0.0
Vibrio natriegens	691	species	10692018	2	0	0.0
Bartonella quintana	803	species	1584515	1	0	0.0
Bacteroides vulgatus	821	species	5163189	2	2	0.0
Fusobacterium nucleatum	851	species	2948417	1	1	0.0
Starkeya novella	921	species	4765023	1	0	0.0
Ehrlichia chaffeensis	945	species	1174554	1	1	0.0
Bdellovibrio bacteriovorus	959	species	3652240	1	1	0.0
