name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Cyclobacterium marinum	104	species	6221273	1	1	0.0
Isosphaera pallida	128	species	5529304	6	0	0.0
Borrelia hermsii	140	species	1156143	1	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	2	2	0.0
Azospirillum brasilense	192	species	13978806	2	0	0.0
Campylobacter jejuni	197	species	6156435	6	2	0
Campylobacter concisus	199	species	1969727	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	1	1	0.0
Pseudomonas	286	genus	0	2	0	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	1	0.0
Burkholderia cepacia	292	species	13365495	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	1	0	0.0
Pseudomonas putida	303	species	6888188	2	2	0.0
Xanthomonas translucens	343	species	4638247	1	1	0.0
Xanthomonas citri	346	species	17318955	2	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Legionella pneumophila	446	species	15688009	2	2	0.0
Acinetobacter	469	genus	0	2	0	0.0
Acinetobacter baumannii	470	species	11595472	2	0	1.71724e-39
Neisseria lactamica	486	species	2220606	2	1	0.0
Neisseria meningitidis	487	species	8508873	2	0	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Enterobacteriaceae	543	family	0	3	1	0.0
Citrobacter koseri	545	species	4735357	1	0	0.0
Citrobacter freundii	546	species	16193243	1	0	0.0
Enterobacter	547	genus	0	34	26	0.0
[Enterobacter] aerogenes	548	species	10750562	2	1	0.0
Enterobacter cloacae	550	species	10083180	1220	157	0.0113808
Escherichia coli	562	species	12319210	3	1	0.0
Shimwellia blattae	563	species	4158725	1	0	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella oxytoca	571	species	16779606	2	1	4.48898e-36
Klebsiella pneumoniae	573	species	15713353	19	13	0.00125843
Proteus	583	genus	0	2	0	0.0
Serratia liquefaciens	614	species	7946985	1	0	0.0
Serratia marcescens	615	species	8465231	1	1	0.0
Yersinia pseudotuberculosis	633	species	9565781	1	0	0.0
Aeromonas hydrophila	644	species	7739252	1	1	0.0
Aeromonas media	651	species	4788430	2	1	0.0
Vibrio natriegens	691	species	10692018	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	1	0.0
Pasteurella multocida	747	species	2546987	1	1	0.0
Gallibacterium anatis	750	species	2694139	1	0	0.0
Orientia tsutsugamushi	784	species	2068019	1	1	0.0
Bacteroides fragilis	817	species	7824806	1	1	0.0
Parabacteroides distasonis	823	species	4811379	1	1	0.0
Sebaldella termitidis	826	species	4486650	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	2	2	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	2	0	0.0
Pedobacter heparinus	984	species	5167383	1	1	0.0
Solitalea canadensis	995	species	5202069	2	1	0.0
Flavobacterium columnare	996	species	6492116	1	1	0.0
Flexibacter litoralis	999	species	4919337	3	3	0.0
Rhodomicrobium vannielii	1069	species	4014469	2	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	1	1	0.0
Microcystis aeruginosa	1126	species	4810004	1	1	0.0
Trichodesmium erythraeum	1206	species	7750108	1	1	0.0
Prochlorococcus marinus	1219	species	1879471	2	1	0.0
Nitrosococcus oceani	1229	species	3522111	1	0	0.0
Nitrosospira multiformis	1231	species	3234309	1	0	0.0
Piscirickettsia salmonis	1238	species	10317144	1	1	0.0
Finegoldia magna	1260	species	1986740	2	2	0.0
Staphylococcus	1279	genus	0	1	0	0.0
Staphylococcus aureus	1280	species	7252422	10	3	0.000736506
Staphylococcus epidermidis	1282	species	3296362	4	1	0.0
Staphylococcus haemolyticus	1283	species	2629003	1	0	0.0
Staphylococcus simulans	1286	species	2647552	118	117	0.0294928
Staphylococcus xylosus	1288	species	8411206	1	0	0.0
Streptococcus agalactiae	1311	species	5721038	1	1	0.0
Streptococcus pneumoniae	1313	species	2272871	1	0	1.05894e-18
Streptococcus anginosus	1328	species	2557124	1	0	0.0
Enterococcus faecalis	1351	species	3401628	1	1	0.000966696
Enterococcus hirae	1354	species	2908247	1	0	0.0
Bacillus anthracis	1392	species	17446789	1	0	0.0
Bacillus cereus	1396	species	9676532	4	2	0.0
Bacillus megaterium	1404	species	5334474	2	1	0.0
Bacillus mycoides	1405	species	11312355	1	0	0.0
Paenibacillus polymyxa	1406	species	6883167	1	1	0.0
Bacillus pumilus	1408	species	20721195	2	2	0.0
Bacillus subtilis	1423	species	7550081	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	3	2	0.0
Bacillus simplex	1478	species	5521719	1	1	0.0
Bacillus smithii	1479	species	3381292	1	1	0.0
Clostridium botulinum	1491	species	4637504	2	1	0.0
Clostridium butyricum	1492	species	13843423	1	1	0.0
Clostridium cellulovorans	1493	species	5262222	1	0	0.0
Clostridioides difficile	1496	species	6297836	1	1	0.0
Clostridium pasteurianum	1501	species	7159922	1	1	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	2	2	0.0
Clostridium beijerinckii	1520	species	6161692	3	2	0.0
Clostridium kluyveri	1534	species	3989551	1	1	0.0
Halobacillus halophilus	1570	species	4170008	1	1	0.0
Leifsonia xyli	1575	species	2955779	1	1	0.0
Lactobacillus paracasei	1597	species	4200086	1	1	0.0
Lactobacillus reuteri	1598	species	2811237	1	0	0.0
Lactobacillus sakei	1599	species	1884661	2	2	0.0
Trueperella pyogenes	1661	species	3453353	1	1	0.0
