name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	8	2	0.0
Buchnera aphidicola	9	species	619958	75	42	0.0
Cellulomonas gilvus	11	species	3526441	7	4	0.0
Dictyoglomus	13	genus	0	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	3	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Shewanella	22	genus	0	111	0	0.0
Shewanella putrefaciens	24	species	4749735	29	0	3.37609e-190
Myxococcales	29	order	0	3	0	0.0
Myxococcus	32	genus	0	4	0	0.0
Myxococcus fulvus	33	species	10026214	12	6	0.0
Myxococcus xanthus	34	species	9139763	9	3	0.0
Stigmatella aurantiaca	41	species	10260756	5	0	0.0
Archangium gephyra	48	species	12489432	7	2	0.0
Chondromyces crocatus	52	species	11388132	5	3	0.0
Sorangium cellulosum	56	species	13907952	11	5	0.0
Lysobacter	68	genus	0	1	0	0.0
Caulobacter	75	genus	0	2	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Gallionella	96	genus	0	1	0	0.0
Planctomycetales	112	order	0	2	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	11	4	0.0
Planctopirus limnophila	120	species	5460085	10	0	0.0
Pirellula staleyi	125	species	6196199	4	1	0.0
Isosphaera pallida	128	species	5529304	12	2	0.0
Spirochaetales	136	order	0	8	0	0.0
Spirochaetaceae	137	family	0	15	0	0.0
Borrelia	138	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	4	3	0.0
Treponema	157	genus	0	2	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Treponema pallidum	160	species	1138607	2	1	0.0
Treponema succinifaciens	167	species	2897425	3	0	0.0
Leptospira interrogans	173	species	5395453	2	1	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum brasilense	192	species	13978806	15	1	0.0
Azospirillum lipoferum	193	species	7223069	8	6	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	1	0	0.0
Campylobacter fetus	196	species	1876301	2	0	0.0
Campylobacter jejuni	197	species	6156435	15	5	0.0
Campylobacter concisus	199	species	1969727	2	0	0.0
Campylobacter curvus	200	species	1971270	2	0	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter	209	genus	0	1	0	0.0
Achromobacter	222	genus	0	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	3	1	0.0
Brucella	234	genus	0	2	1	0.0
Francisella	262	genus	0	6	0	0.0
Francisella tularensis	263	species	2777166	15	11	0.0
Thermus	270	genus	0	2	0	0.0
Thermus thermophilus	274	species	2214494	3	3	0.0
Xanthobacter autotrophicus	280	species	5625098	10	4	0.0
Comamonas testosteroni	285	species	5695231	6	1	0.0
Pseudomonas	286	genus	0	331	1	0.0
Pseudomonas aeruginosa	287	species	22457305	136	37	1.93799e-05
Pseudoalteromonas atlantica	288	species	5187005	5	1	0.0
Burkholderia cepacia	292	species	13365495	17	6	0.0
Pseudomonas fluorescens	294	species	14826544	43	21	0
Pseudomonas fragi	296	species	5101809	3	1	0.0
Pseudomonas mendocina	300	species	5293211	11	5	0.0
Pseudomonas putida	303	species	6888188	245	23	0
Ralstonia solanacearum	305	species	11186335	11	4	0.0
Pseudomonas stutzeri	316	species	7755802	53	31	0.0
Pseudomonas syringae	317	species	6129101	33	6	0.0
Ralstonia pickettii	329	species	6378979	11	6	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	4	2	0.0
Burkholderia glumae	337	species	7333967	2	0	0.0
Xanthomonas	338	genus	0	13	2	0.0
Xanthomonas campestris	339	species	7063896	8	2	0.0
Xanthomonas translucens	343	species	4638247	7	6	0.0
Xanthomonas citri	346	species	17318955	4	2	0.0
Xanthomonas oryzae	347	species	17545599	4	2	0.0
Azotobacter chroococcum	353	species	5192286	8	5	0.0
Azotobacter vinelandii	354	species	5351632	7	2	0.0
Rhizobiales	356	order	0	21	0	0.0
Agrobacterium tumefaciens	358	species	9211775	6	3	0.0
Agrobacterium vitis	373	species	6320946	7	7	0.0
Bradyrhizobium	374	genus	0	3	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	12	11	0.0
Sinorhizobium fredii	380	species	6891900	23	0	0.0
Mesorhizobium loti	381	species	7539018	2	1	0.0
Sinorhizobium meliloti	382	species	6962835	20	20	0.0
Rhizobium leguminosarum	384	species	7369497	12	6	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	5	2	0.0
Methylobacillus flagellatus	405	species	2971517	5	0	1.95163e-288
Methylobacterium	407	genus	0	3	0	0.0
Methylobacterium extorquens	408	species	6163878	8	5	0.0
Methylococcus capsulatus	414	species	3304561	10	1	0.0
Methylomonas methanica	421	species	5051681	15	8	0.0
Acetobacter pasteurianus	438	species	3216979	2	2	0.0
Gluconobacter oxydans	442	species	3306867	25	23	0.0
Legionella	445	genus	0	2	0	0.0
Legionella pneumophila	446	species	15688009	15	8	0.0
Legionella hackeliae	449	species	3570857	4	3	0.0
Legionella longbeachae	450	species	4149158	7	0	0.0
Tatlockia micdadei	451	species	3310028	4	0	0.0
Moraxellaceae	468	family	0	132	0	0.0
Acinetobacter	469	genus	0	256	0	0.0
Acinetobacter baumannii	470	species	11595472	20	9	7.4778e-06
Moraxella catarrhalis	480	species	2846413	31	10	0.0
