name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	1	1	0.0
Azorhizobium caulinodans	7	species	5369772	8	3	0.0
Buchnera aphidicola	9	species	619958	8	2	0.0
Cellulomonas gilvus	11	species	3526441	2	2	0.0
Pelobacter	18	genus	0	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Shewanella	22	genus	0	13	0	0.0
Shewanella putrefaciens	24	species	4749735	2	0	0
Myxococcus fulvus	33	species	10026214	1	1	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	2	2	0.0
Polyangiaceae	49	family	0	1	0	0.0
Sorangium cellulosum	56	species	13907952	4	3	0.0
Lysobacter	68	genus	0	1	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Rubinisphaera brasiliensis	119	species	6006602	4	1	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Isosphaera pallida	128	species	5529304	22	6	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Treponema pallidum	160	species	1138607	1	1	0.0
Treponema succinifaciens	167	species	2897425	1	1	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Leptospira borgpetersenii	174	species	3948532	1	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum brasilense	192	species	13978806	6	2	0
Azospirillum lipoferum	193	species	7223069	11	5	0.0
Campylobacter	194	genus	0	3	1	0.0
Campylobacter coli	195	species	5104439	3	0	0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	3	2	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	4	4	0.0
Helicobacter pylori	210	species	2044699	3	3	0.0
Helicobacter cinaedi	213	species	2170766	4	2	0.0
Achromobacter	222	genus	0	4	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	1	0.0
Francisella	262	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	1	0	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	7	2	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Thermus thermophilus	274	species	2214494	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	4	2	0.0
Comamonas	283	genus	0	9	0	0.0
Comamonas testosteroni	285	species	5695231	428	253	3.19003e-05
Pseudomonas	286	genus	0	1053	345	0.0
Pseudomonas aeruginosa	287	species	22457305	788272	773225	0.323041
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13365495	37	11	0.0
Pseudomonas fluorescens	294	species	14826544	2315	227	8.06042e-58
Pseudomonas fragi	296	species	5101809	8	2	0.0
Pseudomonas mendocina	300	species	5293211	733	36	0
Pseudomonas putida	303	species	6888188	598	269	0.000133148
Ralstonia solanacearum	305	species	11186335	311	218	2.64751e-06
Pseudomonas stutzeri	316	species	7755802	802	79	9.02684e-05
Pseudomonas syringae	317	species	6129101	114	54	0
Ralstonia pickettii	329	species	6378979	21	2	0
Pseudomonas pseudoalcaligenes	330	species	4691662	187	68	1.42655e-05
Burkholderia glumae	337	species	7333967	3	1	0.0
Xanthomonas	338	genus	0	8	0	0.0
Xanthomonas campestris	339	species	7063896	85	33	0
Xanthomonas translucens	343	species	4638247	7	3	0
Xanthomonas citri	346	species	17318955	8	1	0.0
Xanthomonas oryzae	347	species	17545599	3	0	0.0
Azotobacter	352	genus	0	6	0	0.0
Azotobacter chroococcum	353	species	5192286	654	16	1.13488e-11
Azotobacter vinelandii	354	species	5351632	249	45	0
Rhizobiales	356	order	0	5	0	0.0
Agrobacterium tumefaciens	358	species	9211775	2	0	0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Bradyrhizobium	374	genus	0	2	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	0	1	0	0.0
Sinorhizobium fredii	380	species	6891900	2	0	0.0
Mesorhizobium loti	381	species	7539018	3	2	0.0
Rhizobium leguminosarum	384	species	7369497	6	5	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	4	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium extorquens	408	species	6163878	4	4	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	3304561	2	2	0.0
Methylomonas	416	genus	0	1	0	0.0
Acetobacter pasteurianus	438	species	3216979	4	4	0.0
Legionella pneumophila	446	species	15688009	2	2	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Moraxellaceae	468	family	0	10	0	0.0
Acinetobacter	469	genus	0	7	0	0.0
Acinetobacter baumannii	470	species	11595472	6	5	0
Moraxella catarrhalis	480	species	2846413	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	5	3	0.0
Neisseria lactamica	486	species	2220606	9	1	0.0
Neisseria meningitidis	487	species	8508873	12	5	0.0
Psychrobacter	497	genus	0	1	0	0.0
Thermomicrobium roseum	500	species	2920744	2	1	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenaceae	506	family	0	2	0	0.0
Alcaligenes faecalis	511	species	4248684	112	64	3.11138e-05
Bordetella	517	genus	0	20	0	0.0
Bordetella bronchiseptica	518	species	6491145	10	0	0.0
Bordetella parapertussis	519	species	4815611	6	0	0.0
Bordetella pertussis	520	species	48698463	11	8	0.0
Bordetella avium	521	species	3732255	2	0	0.0
Acidiphilium cryptum	524	species	3963080	2	0	0.0
Ochrobactrum anthropi	529	species	5053471	3	3	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Chromobacterium violaceum	536	species	4751080	10	3	0
Zymomonas mobilis	542	species	2426073	60	28	1.11628e-45
Enterobacteriaceae	543	family	0	197	21	0.0
Citrobacter	544	genus	0	16	0	0.0
Citrobacter koseri	545	species	4735357	11	2	0
Citrobacter freundii	546	species	16193243	252	107	1.02818e-71
Enterobacter	547	genus	0	224	0	0.0
[Enterobacter] aerogenes	548	species	10750562	377	31	3.45283e-06
Pantoea agglomerans	549	species	9924054	32	8	0
Enterobacter cloacae	550	species	10083180	345	47	1.91965e-05
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3869718	5	2	0.0
Pantoea ananatis	553	species	4842757	19	10	0.0
Pectobacterium carotovorum	554	species	4852842	34	18	0
Escherichia	561	genus	0	7	0	0.0
Escherichia coli	562	species	12319210	684	270	6.63764e-05
Shimwellia blattae	563	species	4158725	12	4	0
Escherichia fergusonii	564	species	4643861	12	1	0
Hafnia	568	genus	0	5	0	0.0
Hafnia alvei	569	species	6928293	97	0	2.79599e-12
Klebsiella	570	genus	0	505	20	0.0
Klebsiella oxytoca	571	species	16779606	650	61	1.74531e-05
Klebsiella pneumoniae	573	species	15713353	48049	41648	0.0280863
Morganella	581	genus	0	4	0	0.0
Morganella morganii	582	species	3853791	50	14	0.0
Proteus	583	genus	0	6	0	0.0
Proteus mirabilis	584	species	5337360	17	0	0
Providencia stuartii	588	species	6521015	5	4	0.0
Salmonella	590	genus	0	2	0	0.0
Serratia	613	genus	0	72	0	0.0
Serratia liquefaciens	614	species	7946985	4	0	0.0
Serratia marcescens	615	species	8465231	506	5	0
Shigella	620	genus	0	9	0	0.0
Shigella boydii	621	species	4698475	3	0	0
Shigella dysenteriae	622	species	4560911	5	1	0.0
Shigella flexneri	623	species	4763519	8	2	0.0
Shigella sonnei	624	species	6798914	3	1	0.0
Xenorhabdus nematophila	628	species	4586662	4	2	0.0
Yersinia	629	genus	0	19	0	0.0
Yersinia enterocolitica	630	species	14308813	40	15	2.07469e-06
Yersinia intermedia	631	species	4859749	3	3	0.0
Yersinia pestis	632	species	7124135	57	21	6.59732e-06
Yersinia pseudotuberculosis	633	species	9565781	18	11	0.0
Edwardsiella	635	genus	0	7	0	0.0
Edwardsiella tarda	636	species	3717889	10	3	6.21386e-78
Aeromonas	642	genus	0	16	0	0.0
Aeromonas hydrophila	644	species	7739252	44	28	0.0
Aeromonas salmonicida	645	species	5040536	2	0	0.0
Aeromonas media	651	species	4788430	24	14	1.81744e-05
Aeromonas schubertii	652	species	4400034	1	0	0.0
Aeromonas veronii	654	species	7214925	6	2	0.0
