name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	619958	1	1	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Shewanella	22	genus	0	1	0	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	3	2	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Chondromyces crocatus	52	species	11388132	1	1	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Isosphaera pallida	128	species	5529304	14	4	0.0
Spirochaetales	136	order	0	1	0	0.0
Spirochaetaceae	137	family	0	4	0	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	3	1	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Azospirillum brasilense	192	species	13978806	4	2	3.82484e-64
Azospirillum lipoferum	193	species	7223069	6	0	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Campylobacter lari	201	species	1576113	2	2	0.0
Xanthobacter autotrophicus	280	species	5625098	2	0	1.79266e-62
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	70	51	4.29825e-05
Pseudomonas	286	genus	0	248	60	0.0
Pseudomonas aeruginosa	287	species	22457305	110590	109069	0.421552
Burkholderia cepacia	292	species	13365495	14	3	3.16058e-69
Pseudomonas fluorescens	294	species	14826544	217	21	5.95335e-12
Pseudomonas mendocina	300	species	5293211	92	7	3.04623e-24
Pseudomonas putida	303	species	6888188	68	29	0.000144708
Ralstonia solanacearum	305	species	11186335	43	32	5.58696e-15
Pseudomonas stutzeri	316	species	7755802	85	16	0.000143363
Pseudomonas syringae	317	species	6129101	9	4	5.04612e-29
Ralstonia pickettii	329	species	6378979	1	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	20	9	6.21819e-27
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas	338	genus	0	5	0	0.0
Xanthomonas campestris	339	species	7063896	4	1	2.13478e-51
Xanthomonas oryzae	347	species	17545599	1	0	0.0
Azotobacter chroococcum	353	species	5192286	78	2	2.00873e-35
Azotobacter vinelandii	354	species	5351632	31	3	3.00936e-44
Rhizobiales	356	order	0	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	4	4	0.0
Mesorhizobium loti	381	species	7539018	1	1	0.0
Rhizobium leguminosarum	384	species	7369497	2	1	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Methylobacterium extorquens	408	species	6163878	4	4	0.0
Acetobacter pasteurianus	438	species	3216979	2	2	0.0
Legionella pneumophila	446	species	15688009	2	1	0.0
Legionella longbeachae	450	species	4149158	2	1	0.0
Moraxellaceae	468	family	0	5	0	0.0
Acinetobacter	469	genus	0	11	0	0.0
Acinetobacter baumannii	470	species	11595472	4	3	2.11235e-05
Neisseria lactamica	486	species	2220606	3	2	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Thermomicrobium roseum	500	species	2920744	1	1	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Alcaligenes faecalis	511	species	4248684	9	8	1.22146e-13
Bordetella bronchiseptica	518	species	6491145	3	1	0.0
Bordetella pertussis	520	species	48698463	5	3	0.0
Bordetella avium	521	species	3732255	2	2	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Zymomonas mobilis	542	species	2426073	5	2	8.04843e-15
