abundance,pct,reads,sample,tax_name
1.20E-19,9.42E-05,641,Patient2,Azorhizobium caulinodans
0,1.41E-05,96,Patient2,Buchnera aphidicola
8.18E-21,0.000231056,1573,Patient2,Cellulomonas gilvus
0,8.81E-07,6,Patient2,Dictyoglomus thermophilum
0,9.55E-06,65,Patient2,Pelobacter carbinolicus
4.21E-12,4.11E-06,28,Patient2,Shewanella putrefaciens
0,0.000147182,1002,Patient2,Myxococcus fulvus
0,4.89E-05,333,Patient2,Myxococcus xanthus
0,7.51E-05,511,Patient2,Stigmatella aurantiaca
6.70E-18,0.000115161,784,Patient2,Archangium gephyra
0,8.70E-05,592,Patient2,Chondromyces crocatus
7.51E-48,0.000275123,1873,Patient2,Sorangium cellulosum
0,1.35E-05,92,Patient2,Cyclobacterium marinum
0,2.89E-05,197,Patient2,Runella slithyformis
0,1.23E-05,84,Patient2,Rubinisphaera brasiliensis
0,8.81E-06,60,Patient2,Planctopirus limnophila
0,1.23E-05,84,Patient2,Pirellula staleyi
0,1.95E-05,133,Patient2,Isosphaera pallida
0,1.47E-07,1,Patient2,Borreliella burgdorferi
0,1.47E-07,1,Patient2,Borrelia hermsii
0,2.94E-07,2,Patient2,Borrelia parkeri
0,4.41E-07,3,Patient2,Borrelia turicatae
0,1.35E-05,92,Patient2,Spirochaeta thermophila
0,2.20E-06,15,Patient2,Treponema denticola
0,4.11E-06,28,Patient2,Brachyspira hyodysenteriae
4.16E-18,5.43E-06,37,Patient2,Treponema succinifaciens
0,1.04E-05,71,Patient2,Leptospira biflexa
0,4.70E-06,32,Patient2,Leptospira interrogans
0,2.06E-06,14,Patient2,Leptospira borgpetersenii
0,1.47E-06,10,Patient2,Leptospirillum ferrooxidans
1.84E-20,0.000221067,1505,Patient2,Azospirillum brasilense
0,0.000177001,1205,Patient2,Azospirillum lipoferum
0,6.76E-06,46,Patient2,Campylobacter coli
0,4.41E-06,30,Patient2,Campylobacter fetus
0,5.58E-06,38,Patient2,Campylobacter jejuni
0,1.18E-06,8,Patient2,Campylobacter hyointestinalis
0,1.07E-05,73,Patient2,Campylobacter concisus
0,3.97E-06,27,Patient2,Campylobacter curvus
0,2.20E-06,15,Patient2,Campylobacter lari
0,1.35E-05,92,Patient2,Helicobacter pylori
0,1.47E-07,1,Patient2,Helicobacter acinonychis
0,2.06E-06,14,Patient2,Helicobacter cinaedi
0,5.88E-07,4,Patient2,Helicobacter felis
0,1.03E-06,7,Patient2,Helicobacter mustelae
0,2.94E-06,20,Patient2,Pseudoalteromonas haloplanktis
0,2.94E-07,2,Patient2,Brucella abortus
0,8.81E-07,6,Patient2,Brucella ovis
0,5.73E-06,39,Patient2,Francisella tularensis
3.09E-07,0.000431412,2937,Patient2,Paracoccus denitrificans
3.17E-08,1.37E-05,93,Patient2,Thermus aquaticus
2.72E-07,3.44E-05,234,Patient2,Thermus thermophilus
3.16E-06,0.000134844,918,Patient2,Meiothermus ruber
1.47E-08,0.000125884,857,Patient2,Xanthobacter autotrophicus
1.51E-06,0.000181261,1234,Patient2,Comamonas testosteroni
3.88E-06,0.00077425,5271,Patient2,Pseudomonas aeruginosa
0,6.61E-06,45,Patient2,Pseudoalteromonas atlantica
5.20E-08,0.000383673,2612,Patient2,Burkholderia cepacia
1.77E-06,0.000661734,4505,Patient2,Pseudomonas fluorescens
1.88E-07,2.61E-05,178,Patient2,Pseudomonas fragi
2.22E-07,0.000163487,1113,Patient2,Pseudomonas mendocina
1.10E-06,0.00045653,3108,Patient2,Pseudomonas putida
2.44E-36,0.000295393,2011,Patient2,Ralstonia solanacearum
8.19E-07,0.000511907,3485,Patient2,Pseudomonas stutzeri
2.57E-08,0.000101647,692,Patient2,Pseudomonas syringae
4.33E-07,0.000185227,1261,Patient2,Ralstonia pickettii
1.70E-06,9.09E-05,619,Patient2,Pseudomonas pseudoalcaligenes
3.65E-08,9.71E-05,661,Patient2,Burkholderia glumae
3.37E-06,0.000316545,2155,Patient2,Xanthomonas campestris
1.82E-06,0.000204616,1393,Patient2,Xanthomonas translucens
4.39E-09,3.30E-05,225,Patient2,Xanthomonas citri
4.52E-09,0.000132934,905,Patient2,Xanthomonas oryzae
5.27E-63,8.33E-05,567,Patient2,Azotobacter chroococcum
0,8.62E-05,587,Patient2,Azotobacter vinelandii
3.01E-07,8.11E-05,552,Patient2,Agrobacterium tumefaciens
0,2.23E-05,152,Patient2,Agrobacterium vitis
3.97E-08,0.000254705,1734,Patient2,Bradyrhizobium japonicum
7.18E-08,0.00014542,990,Patient2,Bradyrhizobium sp.
0,6.21E-05,423,Patient2,Sinorhizobium fredii
2.95E-08,0.000169069,1151,Patient2,Mesorhizobium loti
0,8.06E-05,549,Patient2,Sinorhizobium meliloti
0,0.000180232,1227,Patient2,Rhizobium leguminosarum
0,3.47E-05,236,Patient2,Rhizobium phaseoli
0,3.25E-05,221,Patient2,Rhizobium tropici
0,8.01E-05,545,Patient2,Neorhizobium galegae
2.48E-07,2.31E-05,157,Patient2,Methylobacillus flagellatus
5.25E-07,0.000187871,1279,Patient2,Methylobacterium extorquens
2.24E-08,6.61E-05,450,Patient2,Methylococcus capsulatus
0,9.40E-06,64,Patient2,Methylomonas methanica
0,9.84E-06,67,Patient2,Acetobacter pasteurianus
1.69E-22,2.51E-05,171,Patient2,Gluconobacter oxydans
1.80E-08,1.29E-05,88,Patient2,Legionella pneumophila
0,4.11E-06,28,Patient2,Legionella hackeliae
7.52E-17,5.29E-06,36,Patient2,Legionella longbeachae
8.27E-09,2.20E-06,15,Patient2,Tatlockia micdadei
2.83E-06,0.000471953,3213,Patient2,Acinetobacter baumannii
7.51E-58,1.41E-05,96,Patient2,Moraxella catarrhalis
3.45E-18,2.47E-05,168,Patient2,Neisseria gonorrhoeae
1.06E-07,1.82E-05,124,Patient2,Neisseria lactamica
6.75E-08,9.12E-05,621,Patient2,Neisseria meningitidis
1.63E-07,4.55E-05,310,Patient2,Neisseria elongata
0,1.23E-05,84,Patient2,Thermomicrobium roseum
1.81E-18,9.25E-06,63,Patient2,Kingella kingae
1.59E-07,2.60E-05,177,Patient2,Alcaligenes faecalis
4.62E-08,7.65E-05,521,Patient2,Bordetella bronchiseptica
4.76E-43,6.90E-06,47,Patient2,Bordetella parapertussis
0,2.76E-05,188,Patient2,Bordetella pertussis
0,2.94E-05,200,Patient2,Bordetella avium
4.46E-22,2.39E-05,163,Patient2,Acidiphilium cryptum
2.89E-07,4.17E-05,284,Patient2,Ochrobactrum anthropi
0,1.44E-05,98,Patient2,Beijerinckia indica
4.61E-16,7.59E-05,517,Patient2,Chromobacterium violaceum
4.52E-07,1.76E-05,120,Patient2,Zymomonas mobilis
0,7.64E-06,52,Patient2,Citrobacter koseri
2.04E-07,3.36E-05,229,Patient2,Citrobacter freundii
0,1.22E-05,83,Patient2,[Enterobacter] aerogenes
2.85E-07,9.64E-05,656,Patient2,Pantoea agglomerans
2.91E-07,4.00E-05,272,Patient2,Enterobacter cloacae
0,6.17E-06,42,Patient2,Erwinia amylovora
1.55E-08,1.25E-05,85,Patient2,Pantoea ananatis
0,9.55E-06,65,Patient2,Pectobacterium carotovorum
3.21E-06,0.000131906,898,Patient2,Escherichia coli
0,7.93E-06,54,Patient2,Shimwellia blattae
6.50E-24,4.70E-06,32,Patient2,Escherichia fergusonii
2.00E-37,1.54E-05,105,Patient2,Hafnia alvei
8.50E-07,9.59E-05,653,Patient2,Klebsiella oxytoca
9.69E-07,0.000145273,989,Patient2,Klebsiella pneumoniae
0,4.26E-06,29,Patient2,Morganella morganii
3.54E-17,1.18E-06,8,Patient2,Proteus mirabilis
0,7.49E-06,51,Patient2,Providencia stuartii
1.64E-07,4.02E-05,274,Patient2,Serratia liquefaciens
7.35E-08,8.65E-05,589,Patient2,Serratia marcescens
1.60E-17,1.76E-06,12,Patient2,Shigella boydii
1.91E-15,2.79E-06,19,Patient2,Shigella dysenteriae
2.60E-16,2.35E-06,16,Patient2,Shigella flexneri
3.01E-16,8.81E-07,6,Patient2,Shigella sonnei
