abundance,pct,reads,sample,tax_name,technique
0,7.05E-05,186,Patient2,Buchnera aphidicola,database exclusion
7.91E-21,0.000287875,759,Patient2,Archangium gephyra,database exclusion
0,0.000199123,525,Patient2,Chondromyces crocatus,database exclusion
0,1.90E-06,5,Patient2,Borreliella burgdorferi,database exclusion
0,1.06E-05,28,Patient2,Leptospira interrogans,database exclusion
9.87E-23,0.000383833,1012,Patient2,Azospirillum brasilense,database exclusion
0,1.63E-05,43,Patient2,Campylobacter coli,database exclusion
0,8.34E-06,22,Patient2,Campylobacter fetus,database exclusion
0,3.94E-05,104,Patient2,Campylobacter jejuni,database exclusion
0,3.11E-05,82,Patient2,Campylobacter concisus,database exclusion
0,1.56E-05,41,Patient2,Campylobacter lari,database exclusion
0,5.35E-05,141,Patient2,Helicobacter pylori,database exclusion
0,7.59E-07,2,Patient2,Brucella abortus,database exclusion
0,1.44E-05,38,Patient2,Elizabethkingia meningoseptica,database exclusion
7.14E-08,3.45E-05,91,Patient2,Chryseobacterium indologenes,database exclusion
0,5.39E-05,142,Patient2,Francisella tularensis,database exclusion
1.64E-05,0.001760625,4642,Patient2,Pseudomonas aeruginosa,database exclusion
1.03E-07,0.000639848,1687,Patient2,Burkholderia cepacia,database exclusion
4.12E-06,0.001191323,3141,Patient2,Pseudomonas fluorescens,database exclusion
4.04E-07,0.000227948,601,Patient2,Pseudomonas fragi,database exclusion
1.23E-06,0.000952376,2511,Patient2,Pseudomonas putida,database exclusion
7.06E-08,0.00047524,1253,Patient2,Ralstonia solanacearum,database exclusion
1.46E-06,0.000982718,2591,Patient2,Pseudomonas stutzeri,database exclusion
3.92E-08,0.000194192,512,Patient2,Pseudomonas syringae,database exclusion
3.16E-06,0.000383074,1010,Patient2,Xanthomonas campestris,database exclusion
1.47E-08,5.99E-05,158,Patient2,Xanthomonas citri,database exclusion
0,0.000273841,722,Patient2,Xanthomonas oryzae,database exclusion
4.70E-07,6.90E-05,182,Patient2,Agrobacterium tumefaciens,database exclusion
1.67E-119,0.000114543,302,Patient2,Agrobacterium rhizogenes,database exclusion
5.06E-08,0.000288633,761,Patient2,Bradyrhizobium japonicum,database exclusion
7.30E-08,0.000334906,883,Patient2,Bradyrhizobium sp.,database exclusion
0,0.000259049,683,Patient2,Sinorhizobium meliloti,database exclusion
0,0.000399763,1054,Patient2,Rhizobium leguminosarum,database exclusion
0,0.000104302,275,Patient2,Sinorhizobium fredii,database exclusion
0,2.73E-05,72,Patient2,Rhizobium phaseoli,database exclusion
5.18E-07,0.000433139,1142,Patient2,Methylobacterium extorquens,database exclusion
0,2.24E-05,59,Patient2,Acetobacter aceti,database exclusion
0,7.40E-05,195,Patient2,Acetobacter pasteurianus,database exclusion
1.27E-24,4.67E-05,123,Patient2,Gluconobacter oxydans,database exclusion
3.05E-08,7.24E-05,191,Patient2,Legionella pneumophila,database exclusion
0,1.25E-05,33,Patient2,Legionella hackeliae,database exclusion
0,1.56E-05,41,Patient2,Legionella longbeachae,database exclusion
0,5.31E-06,14,Patient2,Tatlockia micdadei,database exclusion
9.89E-06,0.000716842,1890,Patient2,Acinetobacter baumannii,database exclusion
3.15E-31,7.93E-05,209,Patient2,Acinetobacter calcoaceticus,database exclusion
6.04E-181,1.06E-05,28,Patient2,Moraxella catarrhalis,database exclusion
2.61E-07,0.00075477,1990,Patient2,Neisseria gonorrhoeae,database exclusion
4.26E-08,4.97E-05,131,Patient2,Neisseria lactamica,database exclusion
2.59E-07,0.000136921,361,Patient2,Neisseria meningitidis,database exclusion
3.29E-07,0.000182814,482,Patient2,Neisseria sicca,database exclusion
8.04E-08,6.11E-05,161,Patient2,Alcaligenes faecalis,database exclusion
5.70E-08,0.000125921,332,Patient2,Bordetella bronchiseptica,database exclusion
0,2.28E-05,60,Patient2,Bordetella pertussis,database exclusion
2.87E-07,8.08E-05,213,Patient2,Ochrobactrum anthropi,database exclusion
3.32E-07,4.78E-05,126,Patient2,Zymomonas mobilis,database exclusion
5.91E-07,5.92E-05,156,Patient2,Citrobacter freundii,database exclusion
0,2.09E-05,55,Patient2,Klebsiella aerogenes,database exclusion
2.86E-07,0.000248429,655,Patient2,Pantoea agglomerans,database exclusion
1.21E-06,0.000149058,393,Patient2,Enterobacter cloacae,database exclusion
3.09E-08,1.18E-05,31,Patient2,Pantoea ananatis,database exclusion
9.09E-06,0.000401659,1059,Patient2,Escherichia coli,database exclusion
2.02E-163,2.28E-05,60,Patient2,Hafnia alvei,database exclusion
2.00E-06,6.49E-05,171,Patient2,Klebsiella oxytoca,database exclusion
2.23E-06,0.060456336,159397,Patient2,Klebsiella pneumoniae,database exclusion
0,3.41E-06,9,Patient2,Morganella morganii,database exclusion
4.81E-76,1.18E-05,31,Patient2,Proteus mirabilis,database exclusion
3.19E-07,3.19E-05,84,Patient2,Providencia rettgeri,database exclusion
0,1.14E-05,30,Patient2,Providencia stuartii,database exclusion
5.06E-07,6.33E-05,167,Patient2,Serratia liquefaciens,database exclusion
1.20E-07,0.000165367,436,Patient2,Serratia marcescens,database exclusion
0,3.03E-06,8,Patient2,Shigella flexneri,database exclusion
3.20E-08,0.00012668,334,Patient2,Yersinia enterocolitica,database exclusion
2.22E-72,1.63E-05,43,Patient2,Yersinia intermedia,database exclusion
0,1.14E-06,3,Patient2,Yersinia pestis,database exclusion
0,3.03E-06,8,Patient2,Yersinia pseudotuberculosis,database exclusion
0,3.45E-05,91,Patient2,Edwardsiella tarda,database exclusion
1.05E-07,0.000328458,866,Patient2,Aeromonas hydrophila,database exclusion
0,7.17E-05,189,Patient2,Aeromonas schubertii,database exclusion
2.04E-07,8.38E-05,221,Patient2,Aeromonas veronii,database exclusion
0,2.54E-05,67,Patient2,Vibrio alginolyticus,database exclusion
8.06E-300,2.50E-05,66,Patient2,Vibrio cholerae,database exclusion
0,9.48E-06,25,Patient2,Vibrio harveyi,database exclusion
0,3.15E-05,83,Patient2,Vibrio parahaemolyticus,database exclusion
0,3.41E-05,90,Patient2,Vibrio vulnificus,database exclusion
0,1.67E-05,44,Patient2,Grimontia hollisae,database exclusion
0,1.52E-05,40,Patient2,Vibrio mimicus,database exclusion
6.10E-08,2.73E-05,72,Patient2,Vibrio fluvialis,database exclusion
0,1.59E-05,42,Patient2,Vibrio campbellii,database exclusion
0,2.20E-05,58,Patient2,Vibrio gazogenes,database exclusion
0,2.01E-05,53,Patient2,Vibrio natriegens,database exclusion
0,1.90E-05,50,Patient2,Plesiomonas shigelloides,database exclusion
0,1.18E-05,31,Patient2,Aggregatibacter actinomycetemcomitans,database exclusion
6.66E-07,0.000117198,309,Patient2,Haemophilus influenzae,database exclusion
0,2.43E-05,64,Patient2,[Haemophilus] ducreyi,database exclusion
0,7.59E-06,20,Patient2,Histophilus somni,database exclusion
1.59E-08,2.35E-05,62,Patient2,Aggregatibacter aphrophilus,database exclusion
4.09E-202,1.29E-05,34,Patient2,[Haemophilus] parasuis,database exclusion
0,4.51E-05,119,Patient2,Pasteurella multocida,database exclusion
0,2.88E-05,76,Patient2,Coxiella burnetii,database exclusion
0,4.55E-06,12,Patient2,Rickettsia prowazekii,database exclusion
0,1.52E-06,4,Patient2,Rickettsia rickettsii,database exclusion
0,9.10E-06,24,Patient2,Chlamydia trachomatis,database exclusion
7.56E-07,4.44E-05,117,Patient2,Bacteroides fragilis,database exclusion
3.26E-07,3.79E-05,100,Patient2,Bacteroides thetaiotaomicron,database exclusion
0,1.21E-05,32,Patient2,Campylobacter gracilis,database exclusion
0,1.33E-05,35,Patient2,Porphyromonas gingivalis,database exclusion
1.79E-06,0.00017409,459,Patient2,Fusobacterium nucleatum,database exclusion
6.03E-08,9.48E-05,250,Patient2,Desulfovibrio vulgaris,database exclusion
0,3.11E-05,82,Patient2,Desulfovibrio piger,database exclusion
1.25E-55,0.000350456,924,Patient2,Thiomonas intermedia,database exclusion
0,1.52E-06,4,Patient2,Ehrlichia chaffeensis,database exclusion
4.89E-08,4.32E-05,114,Patient2,Bdellovibrio bacteriovorus,database exclusion
1.74E-08,3.34E-05,88,Patient2,Herbaspirillum seropedicae,database exclusion
0,1.48E-05,39,Patient2,Cellulophaga lytica,database exclusion
6.41E-18,0.000313287,826,Patient2,Flavobacterium johnsoniae,database exclusion
1.40E-22,0.00010051,265,Patient2,Flavobacterium columnare,database exclusion
1.67E-08,0.000431243,1137,Patient2,Rhodobacter sphaeroides,database exclusion
1.62E-07,0.001283868,3385,Patient2,Rhodopseudomonas palustris,database exclusion
6.62E-09,0.000136162,359,Patient2,Blastochloris viridis,database exclusion
1.70E-31,0.000171815,453,Patient2,Porphyrobacter neustonensis,database exclusion
0,8.34E-06,22,Patient2,Synechococcus elongatus,database exclusion
0,1.14E-05,30,Patient2,Synechocystis sp. PCC 6714,database exclusion
0,3.41E-06,9,Patient2,Synechocystis sp. PCC 6803,database exclusion
0,2.65E-05,70,Patient2,Piscirickettsia salmonis,database exclusion
1.16E-06,7.51E-05,198,Patient2,Leuconostoc mesenteroides,database exclusion
1.32E-05,0.000648192,1709,Patient2,Leuconostoc lactis,database exclusion
5.04E-19,2.28E-06,6,Patient2,Pediococcus acidilactici,database exclusion
1.93E-247,4.17E-06,11,Patient2,Pediococcus pentosaceus,database exclusion
1.44E-06,0.001088159,2869,Patient2,Dermacoccus nishinomiyaensis,database exclusion
1.28E-06,0.000199123,525,Patient2,Staphylococcus aureus,database exclusion
0,3.49E-05,92,Patient2,Staphylococcus carnosus,database exclusion
3.01E-05,0.001421168,3747,Patient2,Staphylococcus epidermidis,database exclusion
5.76E-06,0.00031139,821,Patient2,Staphylococcus haemolyticus,database exclusion
0,2.24E-05,59,Patient2,Staphylococcus hyicus,database exclusion
1.32E-06,8.42E-05,222,Patient2,Staphylococcus simulans,database exclusion
2.60E-08,3.22E-05,85,Patient2,Staphylococcus xylosus,database exclusion
2.05E-08,8.72E-06,23,Patient2,Staphylococcus schleiferi,database exclusion
4.09E-06,0.000407348,1074,Patient2,Streptococcus gordonii,database exclusion
3.73E-07,0.000451724,1191,Patient2,Streptococcus oralis,database exclusion
4.30E-06,0.000372075,981,Patient2,Streptococcus salivarius,database exclusion
6.95E-49,3.07E-05,81,Patient2,Streptococcus suis,database exclusion
0.000189862,0.003830364,10099,Patient2,Streptococcus thermophilus,database exclusion
1.11E-07,2.24E-05,59,Patient2,Streptococcus mutans,database exclusion
3.36E-07,4.40E-05,116,Patient2,Streptococcus agalactiae,database exclusion
2.27E-06,0.00055413,1461,Patient2,Streptococcus pneumoniae,database exclusion
1.91E-07,2.16E-05,57,Patient2,Streptococcus pyogenes,database exclusion
2.56E-07,3.45E-05,91,Patient2,Streptococcus anginosus,database exclusion
8.22E-07,5.23E-05,138,Patient2,Streptococcus intermedius,database exclusion
0,3.79E-07,1,Patient2,Streptococcus iniae,database exclusion
1.40E-16,3.07E-05,81,Patient2,Enterococcus faecalis,database exclusion
7.54E-08,5.46E-05,144,Patient2,Enterococcus faecium,database exclusion
0,1.18E-05,31,Patient2,Enterococcus gallinarum,database exclusion
1.89E-201,1.52E-05,40,Patient2,Enterococcus hirae,database exclusion
1.31E-05,0.000938342,2474,Patient2,Lactococcus lactis,database exclusion
0,1.52E-05,40,Patient2,Planococcus kocurii,database exclusion
1.80E-155,9.48E-06,25,Patient2,Aerococcus urinae,database exclusion
1.01E-07,3.45E-05,91,Patient2,Aerococcus viridans,database exclusion
0,8.34E-06,22,Patient2,Bacillus amyloliquefaciens,database exclusion
2.94E-23,4.17E-06,11,Patient2,Bacillus anthracis,database exclusion
6.97E-07,7.66E-05,202,Patient2,Bacillus cereus,database exclusion
3.58E-07,1.59E-05,42,Patient2,Bacillus coagulans,database exclusion
0,1.21E-05,32,Patient2,Bacillus licheniformis,database exclusion
