abundance,pct,reads,sample,tax_name
1.81729e-16,0.0002664813076458102,641,IonXpress_001_NF002-centrifuge_report,Azorhizobium caulinodans
0.0,4.1572746902622495e-05,100,IonXpress_001_NF002-centrifuge_report,Buchnera aphidicola
1.11779e-22,0.0006539393087782517,1573,IonXpress_001_NF002-centrifuge_report,Cellulomonas gilvus
0.0,3.7415472212360242e-06,9,IonXpress_001_NF002-centrifuge_report,Dictyoglomus thermophilum
0.0,2.702228548670462e-05,65,IonXpress_001_NF002-centrifuge_report,Pelobacter carbinolicus
7.74781e-11,1.2056096601760522e-05,29,IonXpress_001_NF002-centrifuge_report,Shewanella putrefaciens
0.0,0.0004173903789023298,1004,IonXpress_001_NF002-centrifuge_report,Myxococcus fulvus
0.0,0.0001384372471857329,333,IonXpress_001_NF002-centrifuge_report,Myxococcus xanthus
0.0,0.00021243673667240093,511,IonXpress_001_NF002-centrifuge_report,Stigmatella aurantiaca
8.82391e-17,0.0003267617906546128,786,IonXpress_001_NF002-centrifuge_report,Archangium gephyra
0.0,0.00024611066166352514,592,IonXpress_001_NF002-centrifuge_report,Chondromyces crocatus
1.14304e-47,0.0007811519143002767,1879,IonXpress_001_NF002-centrifuge_report,Sorangium cellulosum
0.0,3.9078382088465143e-05,94,IonXpress_001_NF002-centrifuge_report,Cyclobacterium marinum
0.0,8.231403886719253e-05,198,IonXpress_001_NF002-centrifuge_report,Runella slithyformis
0.0,3.492110739820289e-05,84,IonXpress_001_NF002-centrifuge_report,Rubinisphaera brasiliensis
0.0,2.4943648141573494e-05,60,IonXpress_001_NF002-centrifuge_report,Planctopirus limnophila
0.0,3.5336834867229116e-05,85,IonXpress_001_NF002-centrifuge_report,Pirellula staleyi
0.0,5.5291753380487914e-05,133,IonXpress_001_NF002-centrifuge_report,Isosphaera pallida
0.0,1.2471824070786747e-06,3,IonXpress_001_NF002-centrifuge_report,Borreliella burgdorferi
0.0,4.1572746902622494e-07,1,IonXpress_001_NF002-centrifuge_report,Borrelia hermsii
0.0,1.6629098761048998e-06,4,IonXpress_001_NF002-centrifuge_report,Borrelia parkeri
0.0,1.2471824070786747e-06,3,IonXpress_001_NF002-centrifuge_report,Borrelia turicatae
0.0,3.866265461943892e-05,93,IonXpress_001_NF002-centrifuge_report,Spirochaeta thermophila
0.0,8.314549380524499e-06,20,IonXpress_001_NF002-centrifuge_report,Treponema denticola
0.0,1.2887551539812972e-05,31,IonXpress_001_NF002-centrifuge_report,Brachyspira hyodysenteriae
2.29694e-16,1.5797643822996548e-05,38,IonXpress_001_NF002-centrifuge_report,Treponema succinifaciens
0.0,3.034810523891442e-05,73,IonXpress_001_NF002-centrifuge_report,Leptospira biflexa
0.0,1.5797643822996548e-05,38,IonXpress_001_NF002-centrifuge_report,Leptospira interrogans
0.0,6.651639504419599e-06,16,IonXpress_001_NF002-centrifuge_report,Leptospira borgpetersenii
0.0,4.157274690262249e-06,10,IonXpress_001_NF002-centrifuge_report,Leptospirillum ferrooxidans
7.17634e-19,0.000626501295822521,1507,IonXpress_001_NF002-centrifuge_report,Azospirillum brasilense
0.0,0.000500951600176601,1205,IonXpress_001_NF002-centrifuge_report,Azospirillum lipoferum
0.0,2.203355585838992e-05,53,IonXpress_001_NF002-centrifuge_report,Campylobacter coli
0.0,1.2887551539812972e-05,31,IonXpress_001_NF002-centrifuge_report,Campylobacter fetus
0.0,1.9123463575206345e-05,46,IonXpress_001_NF002-centrifuge_report,Campylobacter jejuni
0.0,6.651639504419599e-06,16,IonXpress_001_NF002-centrifuge_report,Campylobacter hyointestinalis
0.0,3.1179560176966866e-05,75,IonXpress_001_NF002-centrifuge_report,Campylobacter concisus
0.0,1.1640369132734298e-05,28,IonXpress_001_NF002-centrifuge_report,Campylobacter curvus
0.0,7.898821911498274e-06,19,IonXpress_001_NF002-centrifuge_report,Campylobacter lari
0.0,4.406711171677984e-05,106,IonXpress_001_NF002-centrifuge_report,Helicobacter pylori
0.0,4.1572746902622494e-07,1,IonXpress_001_NF002-centrifuge_report,Helicobacter acinonychis
0.0,6.2359120353933736e-06,15,IonXpress_001_NF002-centrifuge_report,Helicobacter cinaedi
0.0,4.988729628314699e-06,12,IonXpress_001_NF002-centrifuge_report,Helicobacter felis
0.0,3.3258197522097995e-06,8,IonXpress_001_NF002-centrifuge_report,Helicobacter mustelae
0.0,8.314549380524499e-06,20,IonXpress_001_NF002-centrifuge_report,Pseudoalteromonas haloplanktis
0.0,8.314549380524499e-07,2,IonXpress_001_NF002-centrifuge_report,Brucella abortus
0.0,2.4943648141573493e-06,6,IonXpress_001_NF002-centrifuge_report,Brucella ovis
0.0,1.7460553699101447e-05,42,IonXpress_001_NF002-centrifuge_report,Francisella tularensis
3.43651e-07,0.001221407303999049,2938,IonXpress_001_NF002-centrifuge_report,Paracoccus denitrificans
3.52974e-08,3.866265461943892e-05,93,IonXpress_001_NF002-centrifuge_report,Thermus aquaticus
3.03424e-07,9.728022775213663e-05,234,IonXpress_001_NF002-centrifuge_report,Thermus thermophilus
3.51781e-06,0.00038246927150412693,920,IonXpress_001_NF002-centrifuge_report,Meiothermus ruber
1.63439e-08,0.000356694168424501,858,IonXpress_001_NF002-centrifuge_report,Xanthobacter autotrophicus
1.67428e-06,0.0005134234242473878,1235,IonXpress_001_NF002-centrifuge_report,Comamonas testosteroni
4.32167e-06,0.002192130944175284,5273,IonXpress_001_NF002-centrifuge_report,Pseudomonas aeruginosa
0.0,1.9123463575206345e-05,46,IonXpress_001_NF002-centrifuge_report,Pseudoalteromonas atlantica
5.78946e-08,0.001090868878724814,2624,IonXpress_001_NF002-centrifuge_report,Burkholderia cepacia
1.97672e-06,0.0018749308853082743,4510,IonXpress_001_NF002-centrifuge_report,Pseudomonas fluorescens
2.09109e-07,7.399948948666803e-05,178,IonXpress_001_NF002-centrifuge_report,Pseudomonas fragi
2.46965e-07,0.0004635361279642408,1115,IonXpress_001_NF002-centrifuge_report,Pseudomonas mendocina
1.22638e-06,0.0012970697033618218,3120,IonXpress_001_NF002-centrifuge_report,Pseudomonas putida
2.14811e-36,0.0008376908500878432,2015,IonXpress_001_NF002-centrifuge_report,Ralstonia solanacearum
9.12268e-07,0.00144922595702542,3486,IonXpress_001_NF002-centrifuge_report,Pseudomonas stutzeri
2.86404e-08,0.0002880991360351739,693,IonXpress_001_NF002-centrifuge_report,Pseudomonas syringae
4.81389e-07,0.0005242323384420696,1261,IonXpress_001_NF002-centrifuge_report,Ralstonia pickettii
1.89743e-06,0.00025775103079625944,620,IonXpress_001_NF002-centrifuge_report,Pseudomonas pseudoalcaligenes
4.05378e-08,0.00027479585702633465,661,IonXpress_001_NF002-centrifuge_report,Burkholderia glumae
3.75707e-06,0.0008958926957515147,2155,IonXpress_001_NF002-centrifuge_report,Xanthomonas campestris
2.02848e-06,0.0005791083643535313,1393,IonXpress_001_NF002-centrifuge_report,Xanthomonas translucens
4.89066e-09,9.603304534505796e-05,231,IonXpress_001_NF002-centrifuge_report,Xanthomonas citri
5.03722e-09,0.00037623335946873355,905,IonXpress_001_NF002-centrifuge_report,Xanthomonas oryzae
3.05733e-63,0.00023571747493786953,567,IonXpress_001_NF002-centrifuge_report,Azotobacter chroococcum
0.0,0.0002448634792564465,589,IonXpress_001_NF002-centrifuge_report,Azotobacter vinelandii
3.34943e-07,0.00022948156290247614,552,IonXpress_001_NF002-centrifuge_report,Agrobacterium tumefaciens
0.0,6.360630276101241e-05,153,IonXpress_001_NF002-centrifuge_report,Agrobacterium vitis
4.41805e-08,0.0007212871587605002,1735,IonXpress_001_NF002-centrifuge_report,Bradyrhizobium japonicum
