abundance,pct,reads,sample,tax_name
2.16E-20,0.000299685,640,Patient2,Azorhizobium caulinodans
0,4.35E-05,93,Patient2,Buchnera aphidicola
2.19E-17,0.000715967,1529,Patient2,Cellulomonas gilvus
0,2.81E-06,6,Patient2,Dictyoglomus thermophilum
0,3.04E-05,65,Patient2,Pelobacter carbinolicus
4.51E-16,1.31E-05,28,Patient2,Shewanella putrefaciens
0,0.000466854,997,Patient2,Myxococcus fulvus
0,0.00015593,333,Patient2,Myxococcus xanthus
0,0.00023647,505,Patient2,Stigmatella aurantiaca
6.14E-20,0.00036571,781,Patient2,Archangium gephyra
0,0.000271122,579,Patient2,Chondromyces crocatus
2.17E-55,0.000875175,1869,Patient2,Sorangium cellulosum
0,4.21E-05,90,Patient2,Cyclobacterium marinum
0,9.18E-05,196,Patient2,Runella slithyformis
0,3.93E-05,84,Patient2,Rubinisphaera brasiliensis
0,2.76E-05,59,Patient2,Planctopirus limnophila
0,3.89E-05,83,Patient2,Pirellula staleyi
0,6.18E-05,132,Patient2,Isosphaera pallida
0,4.68E-07,1,Patient2,Borreliella burgdorferi
0,9.37E-07,2,Patient2,Borrelia parkeri
0,1.40E-06,3,Patient2,Borrelia turicatae
0,4.31E-05,92,Patient2,Spirochaeta thermophila
0,6.56E-06,14,Patient2,Treponema denticola
0,1.26E-05,27,Patient2,Brachyspira hyodysenteriae
4.01E-17,1.69E-05,36,Patient2,Treponema succinifaciens
0,3.32E-05,71,Patient2,Leptospira biflexa
0,1.45E-05,31,Patient2,Leptospira interrogans
0,6.56E-06,14,Patient2,Leptospira borgpetersenii
0,4.68E-06,10,Patient2,Leptospirillum ferrooxidans
5.28E-20,0.000700515,1496,Patient2,Azospirillum brasilense
0,0.000562847,1202,Patient2,Azospirillum lipoferum
0,2.01E-05,43,Patient2,Campylobacter coli
0,1.40E-05,30,Patient2,Campylobacter fetus
0,1.78E-05,38,Patient2,Campylobacter jejuni
0,3.28E-06,7,Patient2,Campylobacter hyointestinalis
0,3.00E-05,64,Patient2,Campylobacter concisus
0,1.26E-05,27,Patient2,Campylobacter curvus
0,6.09E-06,13,Patient2,Campylobacter lari
0,4.03E-05,86,Patient2,Helicobacter pylori
0,4.68E-07,1,Patient2,Helicobacter acinonychis
0,6.56E-06,14,Patient2,Helicobacter cinaedi
0,1.87E-06,4,Patient2,Helicobacter felis
0,3.28E-06,7,Patient2,Helicobacter mustelae
0,9.37E-06,20,Patient2,Pseudoalteromonas haloplanktis
0,9.37E-07,2,Patient2,Brucella abortus
0,2.81E-06,6,Patient2,Brucella ovis
0,1.78E-05,38,Patient2,Francisella tularensis
3.16E-07,0.001368719,2923,Patient2,Paracoccus denitrificans
3.24E-08,4.35E-05,93,Patient2,Thermus aquaticus
2.79E-07,0.000108636,232,Patient2,Thermus thermophilus
3.23E-06,0.000428925,916,Patient2,Meiothermus ruber
1.50E-08,0.000399893,854,Patient2,Xanthobacter autotrophicus
1.54E-06,0.000576426,1231,Patient2,Comamonas testosteroni
3.95E-06,0.002459293,5252,Patient2,Pseudomonas aeruginosa
0,2.11E-05,45,Patient2,Pseudoalteromonas atlantica
5.29E-08,0.001211384,2587,Patient2,Burkholderia cepacia
1.81E-06,0.002102012,4489,Patient2,Pseudomonas fluorescens
1.92E-07,8.33E-05,178,Patient2,Pseudomonas fragi
2.11E-07,0.000517426,1105,Patient2,Pseudomonas mendocina
1.13E-06,0.001450665,3098,Patient2,Pseudomonas putida
2.74E-41,0.000940731,2009,Patient2,Ralstonia solanacearum
8.28E-07,0.001627666,3476,Patient2,Pseudomonas stutzeri
2.63E-08,0.000324035,692,Patient2,Pseudomonas syringae
4.43E-07,0.000590006,1260,Patient2,Ralstonia pickettii
