name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	11	8	0.0
Buchnera aphidicola	9	species	619958	13	8	0.0
Cellulomonas gilvus	11	species	3526441	12	3	0.0
Dictyoglomus thermophilum	14	species	1959987	5	0	0.0
Pelobacter carbinolicus	19	species	3665893	4	1	0.0
Shewanella	22	genus	0	2	0	0.0
Shewanella putrefaciens	24	species	4749735	4	1	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	2	2	0.0
Stigmatella aurantiaca	41	species	10260756	2	2	0.0
Archangium gephyra	48	species	12489432	3	1	0.0
Chondromyces crocatus	52	species	11388132	8	2	0.0
Sorangium cellulosum	56	species	13907952	11	5	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Pirellula staleyi	125	species	6196199	3	2	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera	127	genus	0	1	0	0.0
Isosphaera pallida	128	species	5529304	4	2	0.0
Borrelia	138	genus	0	2	0	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Spirochaeta thermophila	154	species	2516433	3	1	0.0
Treponema denticola	158	species	2843201	2	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Treponema pallidum	160	species	1138607	1	0	0.0
Treponema succinifaciens	167	species	2897425	4	3	0.0
Leptospira interrogans	173	species	5395453	5	3	0.0
Leptospira borgpetersenii	174	species	3948532	5	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	4	2	0.0
Azospirillum brasilense	192	species	13978806	7	4	0.0
Azospirillum lipoferum	193	species	7223069	19	9	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	1	0	0.0
Campylobacter jejuni	197	species	6156435	3	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter	209	genus	0	42	0	0.0
Helicobacter pylori	210	species	2044699	5	4	0.0
Helicobacter acinonychis	212	species	1557588	1	1	0.0
Helicobacter cinaedi	213	species	2170766	2	0	0.0
Helicobacter mustelae	217	species	1578097	46	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	2	1	0.0
Brucella	234	genus	0	2	0	0.0
Francisella	262	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	3	2	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	6	3	0.0
Thermus	270	genus	0	4	0	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	4	2	0.0
Meiothermus ruber	277	species	3097457	13	3	0.0
Xanthobacter autotrophicus	280	species	5625098	19	17	0.0
Comamonas testosteroni	285	species	5695231	5	5	0.0
Pseudomonas	286	genus	0	456	386	0.0
Pseudomonas aeruginosa	287	species	22457305	221	167	0.0
Pseudoalteromonas atlantica	288	species	5187005	4	1	0.0
Burkholderia cepacia	292	species	13365495	25	11	0.0
Pseudomonas fluorescens	294	species	14826544	33720	27186	0.0
Pseudomonas fragi	296	species	5101809	172	63	0.0
Pseudomonas mendocina	300	species	5293211	82	47	0.0
Pseudomonas putida	303	species	6888188	624	389	0.0
Ralstonia solanacearum	305	species	11186335	10	8	0.0
Pseudomonas stutzeri	316	species	7755802	121	79	0.0
