name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	4	4	0.0
Buchnera aphidicola	9	species	619958	8	4	0.0
Cellulomonas gilvus	11	species	3526441	15	3	0.0
Dictyoglomus thermophilum	14	species	1959987	4	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Shewanella	22	genus	0	1	0	0.0
Shewanella putrefaciens	24	species	4749735	6	0	0.0
Myxococcaceae	31	family	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	4	2	0.0
Myxococcus xanthus	34	species	9139763	3	1	0.0
Cystobacteraceae	39	family	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	5	4	0.0
Archangium gephyra	48	species	12489432	3	2	0.0
Chondromyces crocatus	52	species	11388132	4	2	0.0
Sorangium cellulosum	56	species	13907952	10	8	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	0	0.0
Planctopirus limnophila	120	species	5460085	1	1	0.0
Pirellula staleyi	125	species	6196199	1	1	0.0
Isosphaera pallida	128	species	5529304	2	0	0.0
Spirochaetales	136	order	0	1	0	0.0
Borrelia	138	genus	0	1	0	0.0
Borrelia hermsii	140	species	1156143	3	2	0.0
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Treponema	157	genus	0	1	1	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Treponema pallidum	160	species	1138607	1	1	0.0
Leptospira interrogans	173	species	5395453	2	1	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	6	2	0.0
Azospirillum brasilense	192	species	13978806	6	5	0.0
Azospirillum lipoferum	193	species	7223069	9	7	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter jejuni	197	species	6156435	2	2	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter	209	genus	0	22	0	0.0
Helicobacter pylori	210	species	2044699	3	2	0.0
Helicobacter felis	214	species	1672681	1	0	0.0
Helicobacter mustelae	217	species	1578097	51	4	0.0
Francisella tularensis	263	species	2777166	3	1	0.0
Paracoccus denitrificans	266	species	5236194	2	2	0.0
Thermus aquaticus	271	species	2338641	4	0	0.0
Thermus thermophilus	274	species	2214494	3	1	0.0
Meiothermus ruber	277	species	3097457	7	2	0.0
Xanthobacter autotrophicus	280	species	5625098	7	5	0.0
Comamonas testosteroni	285	species	5695231	4	4	0.0
Pseudomonas	286	genus	0	415	336	0.0
Pseudomonas aeruginosa	287	species	22457305	162	122	0.0
Burkholderia cepacia	292	species	13365495	17	4	0.0
Pseudomonas fluorescens	294	species	14826544	27870	22536	0.0
Pseudomonas fragi	296	species	5101809	168	65	0.0
Pseudomonas mendocina	300	species	5293211	109	48	0.0
Pseudomonas putida	303	species	6888188	496	328	0.0
Ralstonia solanacearum	305	species	11186335	6	4	0.0
Pseudomonas stutzeri	316	species	7755802	94	61	0.0
Pseudomonas syringae	317	species	6129101	446	285	0.0
Ralstonia pickettii	329	species	6378979	12	7	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	30	13	0.0
Burkholderia glumae	337	species	7333967	3	1	0.0
Xanthomonas	338	genus	0	4	2	0.0
Xanthomonas campestris	339	species	7063896	10	5	0.0
Xanthomonas translucens	343	species	4638247	1	1	0.0
Xanthomonas citri	346	species	17318955	5	0	0.0
Xanthomonas oryzae	347	species	17545599	4	3	0.0
Azotobacter chroococcum	353	species	5192286	15	7	0.0
Azotobacter vinelandii	354	species	5351632	19	10	0.0
Rhizobiales	356	order	0	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	10	6	0.0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Bradyrhizobium	374	genus	0	3	1	0.0
Bradyrhizobium japonicum	375	species	9215796	99	68	0.0
Bradyrhizobium sp.	376	species	7547693	94	61	0.0
Rhizobium	379	genus	0	4	2	0.0
Sinorhizobium fredii	380	species	6891900	7	5	0.0
Mesorhizobium loti	381	species	7539018	73	60	0.0
Sinorhizobium meliloti	382	species	6962835	8	4	0.0
Rhizobium leguminosarum	384	species	7369497	20	12	0.0
Rhizobium phaseoli	396	species	87841097	13	5	0.0
Rhizobium tropici	398	species	6686334	2	2	0.0
Neorhizobium galegae	399	species	6434105	8	7	0.0
Methylobacillus flagellatus	405	species	2971517	1	1	0.0
Methylobacterium extorquens	408	species	6163878	10	3	0.0
Methylomonas methanica	421	species	5051681	3	3	0.0
Gluconobacter oxydans	442	species	3306867	2	2	0.0
Legionella pneumophila	446	species	15688009	4	2	0.0
Legionella hackeliae	449	species	3570857	2	1	0.0
Legionella longbeachae	450	species	4149158	3	1	0.0
Tatlockia micdadei	451	species	3310028	3	1	0.0
Acinetobacter baumannii	470	species	11595472	23	15	0.0
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria lactamica	486	species	2220606	3	1	0.0
Neisseria meningitidis	487	species	8508873	4	2	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Thermomicrobium roseum	500	species	2920744	1	0	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenes faecalis	511	species	4248684	11	1	0.0
Bordetella bronchiseptica	518	species	6491145	6	2	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella pertussis	520	species	48698463	5	0	0.0
Bordetella avium	521	species	3732255	1	1	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	5	4	0.0
Chromobacterium violaceum	536	species	4751080	6	2	0.0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	0	110	26	0.0
Citrobacter	544	genus	0	18	0	0.0
Citrobacter koseri	545	species	4735357	399	9	0.0
Citrobacter freundii	546	species	16193243	187	48	0.0
Enterobacter	547	genus	0	44	1	0.0
[Enterobacter] aerogenes	548	species	10750562	99	32	0.0
Pantoea agglomerans	549	species	9924054	16	8	0.0
Enterobacter cloacae	550	species	10083180	192	57	0.0
Erwinia	551	genus	0	6	0	0.0
Erwinia amylovora	552	species	3869718	6	3	0.0
Pantoea ananatis	553	species	4842757	8	6	0.0
Pectobacterium carotovorum	554	species	4852842	30	13	0.0
Escherichia	561	genus	0	31	0	0.0
Escherichia coli	562	species	12319210	234297	142053	0.00255766
Shimwellia blattae	563	species	4158725	17	6	0.0
Escherichia fergusonii	564	species	4643861	3256	524	1.54065e-17
Hafnia alvei	569	species	6928293	26	13	0.0
Klebsiella	570	genus	0	21	0	0.0
Klebsiella oxytoca	571	species	16779606	461	159	3.92278e-25
Klebsiella pneumoniae	573	species	15713353	187	71	0.0
Morganella morganii	582	species	3853791	67	3	0.0
Proteus	583	genus	0	2	0	0.0
Proteus mirabilis	584	species	5337360	2	0	0.0
Proteus vulgaris	585	species	3794983	2	0	0.0
Providencia stuartii	588	species	6521015	1	1	0.0
