name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	31	22	0.0
Buchnera aphidicola	9	species	619958	8	5	0.0
Cellulomonas gilvus	11	species	3526441	169	77	1.36663e-06
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	6	4	0.0
Phenylobacterium	20	genus	0	2	0	0.0
Shewanella	22	genus	0	1	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcales	29	order	0	21	0	0.0
Myxococcaceae	31	family	0	7	0	0.0
Myxococcus fulvus	33	species	10026214	102	58	0.0
Myxococcus xanthus	34	species	9139763	47	16	0.0
Cystobacteraceae	39	family	0	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	22	14	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	41	29	0.0
Polyangiaceae	49	family	0	3	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	20	18	0.0
Sorangium cellulosum	56	species	13907952	96	76	0.0
Lysobacter	68	genus	0	1	0	0.0
Caulobacter	75	genus	0	2	0	0.0
Hyphomicrobium	81	genus	0	2	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Runella slithyformis	106	species	6919729	2	1	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Planctopirus limnophila	120	species	5460085	1	1	0.0
Pirellula staleyi	125	species	6196199	6	3	0.0
Isosphaera pallida	128	species	5529304	9	6	0.0
Spirochaetales	136	order	0	1	0	0.0
Borrelia	138	genus	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	1	1	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Borrelia parkeri	141	species	1030684	2	0	0.0
Borrelia turicatae	142	species	917330	2	0	0.0
Spirochaeta thermophila	154	species	2516433	4	3	0.0
Treponema denticola	158	species	2843201	2	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	3	3	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	4	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum	191	genus	0	10	0	0.0
Azospirillum brasilense	192	species	13978806	74	39	0.0
Azospirillum lipoferum	193	species	7223069	50	30	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	5	3	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter jejuni	197	species	6156435	4	1	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter concisus	199	species	1969727	2	2	0.0
Campylobacter lari	201	species	1576113	13	11	0.0
Helicobacter	209	genus	0	32	12	0.0
Helicobacter pylori	210	species	2044699	159354	158397	0.0682908
Helicobacter acinonychis	212	species	1557588	875	89	1.03616e-06
Helicobacter cinaedi	213	species	2170766	4	0	1.74295e-98
Helicobacter felis	214	species	1672681	14	5	6.07951e-96
Helicobacter mustelae	217	species	1578097	5	0	3.95203e-93
Achromobacter	222	genus	0	115	0	0.0
Brucella	234	genus	0	7	2	0.0
Brucella abortus	235	species	5108028	2	0	0.0
Brucella ovis	236	species	3275590	2	0	0.0
Flavobacterium	237	genus	0	1	0	0.0
Francisella	262	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	5	3	0.0
Paracoccus	265	genus	0	2	0	0.0
Paracoccus denitrificans	266	species	5236194	131	27	1.4397e-85
Thermus	270	genus	0	10	0	0.0
Thermus aquaticus	271	species	2338641	18	4	0.0
Thermus thermophilus	274	species	2214494	38	5	0.0
Meiothermus ruber	277	species	3097457	67	23	5.18637e-07
Xanthobacter autotrophicus	280	species	5625098	23	15	0.0
Comamonas testosteroni	285	species	5695231	45	33	1.693e-06
Pseudomonas	286	genus	0	102	50	0.0
Pseudomonas aeruginosa	287	species	22457305	46622	45933	0.00131998
Pseudoalteromonas atlantica	288	species	5187005	2	1	0.0
Burkholderia cepacia	292	species	13365495	79	33	0.0
Pseudomonas fluorescens	294	species	14826544	126	41	2.20816e-76
Pseudomonas fragi	296	species	5101809	7	3	0.0
Pseudomonas mendocina	300	species	5293211	67	16	2.93991e-60
Pseudomonas putida	303	species	6888188	131	35	5.93349e-46
Ralstonia solanacearum	305	species	11186335	73	48	0.0
Pseudomonas stutzeri	316	species	7755802	132	44	2.66693e-68
Pseudomonas syringae	317	species	6129101	19	11	0.0
Ralstonia pickettii	329	species	6378979	49	35	1.25983e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	23	7	0.0
Burkholderia glumae	337	species	7333967	51	21	0.0
Xanthomonas	338	genus	0	14	1	0.0
Xanthomonas campestris	339	species	7063896	69	29	4.06226e-49
Xanthomonas translucens	343	species	4638247	59	41	0.0
Xanthomonas citri	346	species	17318955	25	6	0.0
Xanthomonas oryzae	347	species	17545599	31	11	6.34155e-62
Azotobacter chroococcum	353	species	5192286	60	8	2.49464e-69
Azotobacter vinelandii	354	species	5351632	47	14	7.74061e-75
Rhizobiales	356	order	0	26	0	0.0
Agrobacterium	357	genus	0	3	0	0.0
Agrobacterium tumefaciens	358	species	9211775	38	16	5.35322e-19
Agrobacterium vitis	373	species	6320946	15	7	3.28918e-138
Bradyrhizobium	374	genus	0	6	0	0.0
Bradyrhizobium japonicum	375	species	9215796	28	13	0.0
Bradyrhizobium sp.	376	species	7547693	22	12	0.0
Rhizobium	379	genus	0	19	9	0.0
Sinorhizobium fredii	380	species	6891900	12	5	0.0
Mesorhizobium loti	381	species	7539018	55	32	0.0
Sinorhizobium meliloti	382	species	6962835	18	8	0.0
Rhizobium leguminosarum	384	species	7369497	50	22	0.0
Rhizobium phaseoli	396	species	87841097	23	8	0.0
Rhizobium tropici	398	species	6686334	10	2	0.0
Neorhizobium galegae	399	species	6434105	39	25	0.0
Methylobacillus flagellatus	405	species	2971517	5	2	0.0
Methylobacterium	407	genus	0	9	0	0.0
Methylobacterium extorquens	408	species	6163878	55	25	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	3304561	12	8	0.0
Methylomonas methanica	421	species	5051681	4	4	0.0
Acetobacteraceae	433	family	0	2	0	0.0
Acetobacter pasteurianus	438	species	3216979	1	0	0.0
Gluconobacter oxydans	442	species	3306867	13	5	0.0
Legionella	445	genus	0	1	0	0.0
Legionella pneumophila	446	species	15688009	8	5	0.0
Legionella hackeliae	449	species	3570857	1	0	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Tatlockia micdadei	451	species	3310028	1	0	0.0
Moraxellaceae	468	family	0	2070	0	0.0
Acinetobacter	469	genus	0	204	198	0.0
Acinetobacter baumannii	470	species	11595472	759463	687412	0.0558966
Moraxella catarrhalis	480	species	2846413	64	4	3.25605e-42
Neisseriaceae	481	family	0	1	0	0.0
Neisseria	482	genus	0	18	0	0.0
Neisseria gonorrhoeae	485	species	4967431	21044	465	3.65696e-05
Neisseria lactamica	486	species	2220606	13967	267	2.40948e-05
Neisseria meningitidis	487	species	8508873	154137	123549	0.0142305
Neisseria elongata	495	species	2256647	723	20	7.27918e-07
Thermomicrobium roseum	500	species	2920744	2	1	0.0
Kingella kingae	504	species	2140065	58	11	1.50242e-06
Alcaligenaceae	506	family	0	2074	0	0.0
Alcaligenes faecalis	511	species	4248684	2	2	0.0
Bordetella	517	genus	0	7	0	0.0
Bordetella bronchiseptica	518	species	6491145	30	10	0.0
Bordetella parapertussis	519	species	4815611	14	1	0.0
Bordetella pertussis	520	species	48698463	16	4	0.0
Bordetella avium	521	species	3732255	7	5	0.0
Acidiphilium cryptum	524	species	3963080	19	2	0.0
Ochrobactrum	528	genus	0	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	6	2	0.0
Beijerinckia indica	533	species	4418616	3	3	0.0
Chromobacterium violaceum	536	species	4751080	23	12	5.96702e-95
Zymomonas mobilis	542	species	2426073	13	10	0.0
Enterobacteriaceae	543	family	0	265	39	0.0
Citrobacter	544	genus	0	61	0	0.0
Citrobacter koseri	545	species	4735357	111	4	4.76705e-43
