name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	6	4	0.0
Buchnera aphidicola	9	species	619958	2	0	0.0
Shewanella	22	genus	0	3	1	0.0
Shewanella putrefaciens	24	species	4749735	9	0	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	4	1	0.0
Myxococcus xanthus	34	species	9139763	2	0	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Leptothrix	88	genus	0	1	0	0.0
Borrelia	138	genus	0	2	0	0.0
Borreliella burgdorferi	139	species	1329613	22	3	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Treponema denticola	158	species	2843201	1885	1812	0.00538822
Leptospira biflexa	172	species	3953768	2859	2812	0.00968684
Leptospira interrogans	173	species	5395453	3	0	0.0
Leptospira borgpetersenii	174	species	3948532	2	0	0.0
Azospirillum brasilense	192	species	13978806	2	1	0.0
Helicobacter pylori	210	species	2044699	122	60	0.0
Helicobacter acinonychis	212	species	1557588	1043	966	0.0221301
Helicobacter cinaedi	213	species	2170766	5	4	0.0
Helicobacter mustelae	217	species	1578097	1077	1063	0.00242694
Thermus aquaticus	271	species	2338641	11	3	0.0
Thermus thermophilus	274	species	2214494	1376	1177	0.00864746
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Comamonas testosteroni	285	species	5695231	29	10	0.0
Pseudomonas	286	genus	0	7	1	0.0
Pseudomonas aeruginosa	287	species	22457305	74	5	4.01438e-57
Burkholderia cepacia	292	species	13365495	379	81	1.19335e-16
Pseudomonas fluorescens	294	species	14826544	6	4	0.0
Pseudomonas fragi	296	species	5101809	1	1	0.0
Pseudomonas mendocina	300	species	5293211	3	1	0.0
Pseudomonas putida	303	species	6888188	7	2	0.0
Ralstonia solanacearum	305	species	11186335	46	22	0.0
Pseudomonas stutzeri	316	species	7755802	32	4	0.0
Pseudomonas syringae	317	species	6129101	2	0	0.0
Ralstonia pickettii	329	species	6378979	4201	3983	0.0108072
Pseudomonas pseudoalcaligenes	330	species	4691662	3	2	0.0
Burkholderia glumae	337	species	7333967	6	1	0.0
Xanthomonas	338	genus	0	11	7	0.0
Xanthomonas campestris	339	species	7063896	3717	3578	0.0119281
Xanthomonas translucens	343	species	4638247	8	3	0.0
Xanthomonas citri	346	species	17318955	33	9	1.59291e-42
Xanthomonas oryzae	347	species	17545599	26	8	0.0
Azotobacter chroococcum	353	species	5192286	77	44	9.26457e-26
Azotobacter vinelandii	354	species	5351632	3978	3883	0.0114506
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	3	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	0	1	0	0.0
Mesorhizobium loti	381	species	7539018	2	0	0.0
Sinorhizobium meliloti	382	species	6962835	1	1	0.0
Rhizobium leguminosarum	384	species	7369497	2	0	0.0
Neorhizobium galegae	399	species	6434105	2	1	0.0
Methylobacillus	404	genus	0	1	0	0.0
Methylobacillus flagellatus	405	species	2971517	3	0	0.0
Methylobacterium extorquens	408	species	6163878	3956	3534	0.00497083
Methylococcus capsulatus	414	species	3304561	2499	2456	0.0127489
Gluconobacter oxydans	442	species	3306867	1	1	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Bordetella bronchiseptica	518	species	6491145	1	1	0.0
Bordetella avium	521	species	3732255	1	0	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Enterobacteriaceae	543	family	0	5	1	0.0
Citrobacter koseri	545	species	4735357	3	1	0.0
Citrobacter freundii	546	species	16193243	10	2	0.0
Enterobacter	547	genus	0	1	0	0.0
[Enterobacter] aerogenes	548	species	10750562	63	8	1.33751e-35
Pantoea agglomerans	549	species	9924054	955	55	0.000492853
Enterobacter cloacae	550	species	10083180	8	1	0.0
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3869718	2	0	0.0
Pantoea ananatis	553	species	4842757	3286	3197	0.00869948
Escherichia coli	562	species	12319210	27	6	0.0
Shimwellia blattae	563	species	4158725	1	0	0.0
Hafnia alvei	569	species	6928293	2	0	0.0
Klebsiella	570	genus	0	9	0	0.0
Klebsiella oxytoca	571	species	16779606	19	1	0.0
Klebsiella pneumoniae	573	species	15713353	2963	259	6.92136e-14
Serratia	613	genus	0	15	9	0.0
Serratia liquefaciens	614	species	7946985	103	65	0.0
Serratia marcescens	615	species	8465231	26	5	0.0
Shigella flexneri	623	species	4763519	2	0	0.0
Shigella sonnei	624	species	6798914	1	0	0.0
Yersinia	629	genus	0	3	1	0.0
Yersinia enterocolitica	630	species	14308813	5	1	0.0
Yersinia pestis	632	species	7124135	6	1	0.0
Yersinia pseudotuberculosis	633	species	9565781	1	0	0.0
Edwardsiella	635	genus	0	5	2	0.0
Edwardsiella tarda	636	species	3717889	2580	607	0.00618085
Aeromonas	642	genus	0	1	0	0.0
Aeromonas hydrophila	644	species	7739252	4	1	0.0
Aeromonas media	651	species	4788430	1	0	0.0
Vibrio	662	genus	0	17	14	0.0
Vibrio alginolyticus	663	species	8138835	192	18	0.0
Vibrio cholerae	666	species	6170861	3093	2941	0.00868911
Aliivibrio fischeri	668	species	4273718	3	0	0.0
Vibrio harveyi	669	species	11920371	286	37	1.55396e-26
Vibrio parahaemolyticus	670	species	10344823	3927	3608	0.00407252
Vibrio vulnificus	672	species	10215744	4025	3918	0.00487379
Grimontia hollisae	673	species	3998273	3	1	0.0
Vibrio mimicus	674	species	8922704	119	21	6.26265e-14
Vibrio fluvialis	676	species	4827724	9	1	0.0
Vibrio campbellii	680	species	12090206	4318	3953	0.0050685
Vibrio natriegens	691	species	10692018	40	3	0.0
Plesiomonas shigelloides	703	species	3405979	4	1	0.0
Pasteurellaceae	712	family	0	1	1	0.0
Haemophilus influenzae	727	species	2672708	1311	1287	0.00716492
Haemophilus parainfluenzae	729	species	2086875	2	0	0.0
Histophilus somni	731	species	2138367	1	0	0.0
Aggregatibacter aphrophilus	732	species	3520359	4	3	0.0
[Haemophilus] parasuis	738	species	4546750	1	1	0.0
Pasteurella multocida	747	species	2546987	3	0	0.0
Anaplasma centrale	769	species	1206806	829	762	0.00952088
Anaplasma marginale	770	species	1200061	143	85	4.63012e-24
Ehrlichia ruminantium	779	species	2264626	1	0	0.0
Rickettsia	780	genus	0	20	19	0.0
Rickettsia rickettsii	783	species	1265141	1	0	0.0
Rickettsia typhi	785	species	1112275	1	0	0.0
Rickettsia akari	786	species	1231060	788	724	0.0093333
Rickettsia australis	787	species	1323280	94	51	3.43952e-15
Rickettsia canadensis	788	species	1155000	6	0	0.0
Bacteroides vulgatus	821	species	5163189	1	0	0.0
Parabacteroides distasonis	823	species	4811379	1	0	0.0
Porphyromonas gingivalis	837	species	2343668	1790	1741	0.0114392
Prevotella ruminicola	839	species	3619559	2731	2694	0.0126975
Syntrophomonas wolfei	863	species	2936195	2204	2172	0.00782635
Dichelobacter nodosus	870	species	1389350	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	0	0.0
Desulfovibrio vulgaris	881	species	3802302	1	0	0.0
Desulfobulbus propionicus	894	species	3851869	1	0	0.0
Desulfococcus multivorans	897	species	4455399	1	0	0.0
Desulfomicrobium baculatum	899	species	3942657	2	0	0.0
Megasphaera elsdenii	907	species	2504349	1	0	0.0
Nitrobacter hamburgensis	912	species	5011522	10	3	0.0
Nitrobacter winogradskyi	913	species	3402093	2511	2471	0.0101319
Nitrosomonas europaea	915	species	2812094	2091	2056	0.0136196
Nitrosomonas eutropha	916	species	2781824	2	1	0.0
Starkeya novella	921	species	4765023	4	1	0.0
