name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Shewanella	22	genus	0	1	0	0.0
Shewanella putrefaciens	24	species	4749735	15	9	0.0
Myxococcus fulvus	33	species	10026214	1	0	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Azospirillum brasilense	192	species	13978806	1	1	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	61	35	0.0
Pseudomonas	286	genus	0	10	9	0.0
Pseudomonas aeruginosa	287	species	22457305	4	2	0.0
Burkholderia cepacia	292	species	13365495	1	1	0.0
Pseudomonas fluorescens	294	species	14826544	622	494	0.0
Pseudomonas fragi	296	species	5101809	5	2	0.0
Pseudomonas mendocina	300	species	5293211	2	1	0.0
Pseudomonas putida	303	species	6888188	24	13	0.0
Pseudomonas stutzeri	316	species	7755802	6	1	0.0
Pseudomonas syringae	317	species	6129101	18	11	0.0
Xanthomonas translucens	343	species	4638247	1	0	0.0
Xanthomonas citri	346	species	17318955	1	1	0.0
Xanthomonas oryzae	347	species	17545599	1	1	0.0
Agrobacterium vitis	373	species	6320946	1	1	0.0
Rhizobium leguminosarum	384	species	7369497	2	1	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Acetobacter pasteurianus	438	species	3216979	2	0	0.0
Gluconobacter oxydans	442	species	3306867	1	1	0.0
Legionella pneumophila	446	species	15688009	2	2	0.0
Legionella longbeachae	450	species	4149158	1	1	0.0
Neisseria meningitidis	487	species	8508873	1	0	0.0
Bordetella bronchiseptica	518	species	6491145	2	0	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella avium	521	species	3732255	1	1	0.0
Chromobacterium violaceum	536	species	4751080	4741	4713	0.0
Zymomonas mobilis	542	species	2426073	5789	5782	0.0
Enterobacteriaceae	543	family	0	4	1	0.0
Citrobacter koseri	545	species	4735357	2	0	0.0
Citrobacter freundii	546	species	16193243	8	1	0.0
Enterobacter	547	genus	0	1	0	0.0
Pantoea agglomerans	549	species	9924054	1	1	0.0
Enterobacter cloacae	550	species	10083180	4	1	0.0
Pantoea ananatis	553	species	4842757	1	0	0.0
Pectobacterium carotovorum	554	species	4852842	1	1	0.0
Escherichia	561	genus	0	4	0	0.0
Escherichia coli	562	species	12319210	4028	2289	0.0
Shimwellia blattae	563	species	4158725	1	1	0.0
Escherichia fergusonii	564	species	4643861	90	18	0.0
Hafnia alvei	569	species	6928293	3	2	0.0
Klebsiella oxytoca	571	species	16779606	8	3	0.0
Klebsiella pneumoniae	573	species	15713353	10	4	0.0
Morganella morganii	582	species	3853791	1	0	0.0
Salmonella	590	genus	0	1	0	0.0
Serratia	613	genus	0	2	0	0.0
Serratia marcescens	615	species	8465231	1	0	0.0
Shigella	620	genus	0	116	0	0.0
Shigella boydii	621	species	4698475	556	84	0.0
Shigella dysenteriae	622	species	4560911	283	48	0.0
Shigella flexneri	623	species	4763519	463	35	0.0
Shigella sonnei	624	species	6798914	575	49	0.0
Xenorhabdus	626	genus	0	1	0	0.0
Yersinia	629	genus	0	1	0	0.0
Yersinia enterocolitica	630	species	14308813	3	3	0.0
Yersinia pseudotuberculosis	633	species	9565781	3	3	0.0
Aeromonas hydrophila	644	species	7739252	1	1	0.0
Aeromonas salmonicida	645	species	5040536	1	0	0.0
Vibrio	662	genus	0	1	0	0.0
Vibrio alginolyticus	663	species	8138835	2	2	0.0
Vibrio cholerae	666	species	6170861	2	1	0.0
Vibrio parahaemolyticus	670	species	10344823	9	8	0.0
Vibrio vulnificus	672	species	10215744	4	2	0.0
Grimontia hollisae	673	species	3998273	1	1	0.0
Vibrio campbellii	680	species	12090206	1	1	0.0
Vibrio natriegens	691	species	10692018	1	1	0.0
[Haemophilus] parasuis	738	species	4546750	1	1	0.0
Anaplasma	768	genus	0	1	0	0.0
Fusobacterium nucleatum	851	species	2948417	1	1	0.0
Ehrlichia chaffeensis	945	species	1174554	1	0	0.0
Wolbachia	953	genus	0	1	0	0.0
Herbaspirillum seropedicae	964	species	8221139	1	0	0.0
Cytophaga hutchinsonii	985	species	4433218	1	1	0.0
Marivirga tractuosa	1006	species	4516490	1	0	0.0
Halorhodospira halophila	1053	species	2678452	1	1	0.0
Rhodobacter	1060	genus	0	1	0	0.0
Rhodobacter capsulatus	1061	species	3871920	1	1	0.0
Rhodopseudomonas palustris	1076	species	5408501	1	0	0.0
Blastochloris viridis	1079	species	11174693	1	1	0.0
Rhodospirillum rubrum	1085	species	4379691	1	1	0.0
Chlorobium phaeovibrioides	1094	species	1966858	1	1	0.0
Synechocystis sp. PCC 6803	1148	species	6436711	1	1	0.0
Anabaena cylindrica	1165	species	7063285	1	1	0.0
Gammaproteobacteria	1236	class	0	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	1	0	0.0
Micrococcus luteus	1270	species	2501097	1418	1415	0.0
Kytococcus sedentarius	1276	species	2785024	1	0	0.0
Staphylococcus	1279	genus	0	1	1	0.0
Staphylococcus aureus	1280	species	7252422	63	12	0.0
Staphylococcus epidermidis	1282	species	3296362	1480	1425	0.0
Staphylococcus haemolyticus	1283	species	2629003	4	2	0.0
Staphylococcus simulans	1286	species	2647552	2	0	0.0
Staphylococcus warneri	1292	species	2560716	2	0	0.0
Staphylococcus schleiferi	1295	species	12494798	1	0	0.0
Streptococcus equi	1336	species	2140495	1	1	0.0
Enterococcus faecalis	1351	species	3401628	2081	2078	0.0
Enterococcus faecium	1352	species	5898717	1	0	0.0
Enterococcus hirae	1354	species	2908247	2	2	0.0
Bacillus	1386	genus	0	243	241	0.0
Bacillus amyloliquefaciens	1390	species	5608910	7	2	0.0
Bacillus anthracis	1392	species	17446789	4	4	0.0
Bacillus licheniformis	1402	species	8559910	2	2	0.0
Bacillus mycoides	1405	species	11312355	1	1	0.0
Bacillus pumilus	1408	species	20721195	2	1	0.0
Bacillus sp.	1409	species	4233615	4223	205	0.0
Bacillus cellulosilyticus	1413	species	4681672	1	0	0.0
Bacillus subtilis	1423	species	7550081	5789	1748	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	1	1	0.0
Bacillus thuringiensis	1428	species	10269592	4	3	0.0
Bacillus atrophaeus	1452	species	4171548	1	0	0.0
Paenibacillus larvae	1464	species	4056006	1	1	0.0
Clostridium acetobutylicum	1488	species	4136895	1	1	0.0
Clostridium botulinum	1491	species	4637504	1	1	0.0
Clostridium cellulovorans	1493	species	5262222	1	1	0.0
Clostridioides difficile	1496	species	6297836	1	1	0.0
Clostridium formicaceticum	1497	species	4586755	1	0	0.0
Clostridium perfringens	1502	species	6907798	2	2	0.0
Acetoanaerobium sticklandii	1511	species	2715461	1	0	0.0
Halobacillus halophilus	1570	species	4170008	2528	2527	0.0
Lactobacillus plantarum	1590	species	8684028	1	1	0.0
Listeria monocytogenes	1639	species	5926303	1	1	0.0
Bifidobacterium angulatum	1683	species	2043306	1	1	0.0
Corynebacterium pseudotuberculosis	1719	species	6595197	1	1	0.0
Corynebacterium variabile	1727	species	3433007	1	0	0.0
Peptoclostridium acidaminophilum	1731	species	3055036	1	0	0.0
Propionibacterium freudenreichii	1744	species	2646865	1	1	0.0
Mycobacterium phlei	1771	species	5349645	1	0	0.0
Mycobacterium chubuense	1800	species	6342624	1	0	0.0
Saccharopolyspora erythraea	1836	species	8212805	1	0	0.0
Actinoplanes missouriensis	1866	species	8773466	1	0	0.0
Streptomyces	1883	genus	0	1	0	0.0
Streptomyces glaucescens	1907	species	7623774	1	1	0.0
Streptomyces hygroscopicus	1912	species	10333189	1	1	0.0
Streptomyces noursei	1971	species	9815884	1	1	0.0
Streptosporangium roseum	2001	species	10369518	2	1	0.0
Nocardiopsis dassonvillei	2014	species	6543312	1	0	0.0
Pimelobacter simplex	2045	species	5637360	3	2	0.0
Sphaerobacter thermophilus	2057	species	3993764	1	1	0.0
Mycoplasma pulmonis	2107	species	963879	1	1	0.0
Halobacterium salinarum	2242	species	2619893	1	0	0.0
Haloferax volcanii	2246	species	4012900	238	236	0.0
Desulfobacterium autotrophicum	2296	species	5657782	1	1	0.0
Haliscomenobacter hydrossis	2350	species	8771651	1	1	0.0
Homo sapiens	9606	species	3238442024	5439	5004	0.0
Escherichia virus P1	10678	species	94800	1	0	0.0
Human herpesvirus 4 type 2	12509	leaf	172764	3	3	0.0
Bifidobacterium animalis	28025	species	2054141	1	1	0.0
Staphylococcus lugdunensis	28035	species	3479969	3	2	0.0
Neisseria weaveri	28091	species	2188497	1	1	0.0
Alteromonas macleodii	28108	species	5557691	3	3	0.0
Prevotella melaninogenica	28132	species	3168282	1	1	0.0
Cronobacter sakazakii	28141	species	5648091	1	1	0.0
Desulfobacula toluolica	28223	species	5197905	1	1	0.0
Colwellia	28228	genus	0	1	0	0.0
Colwellia psychrerythraea	28229	species	5373180	6	6	0.0
Marinomonas	28253	genus	0	1	0	0.0
Burkholderia pseudomallei	28450	species	11222453	1	1	0.0
Salmonella enterica	28901	species	6689149	19	9	0.0
Cellulosilyticum lentocellum	29360	species	4714237	1	1	0.0
Staphylococcus capitis	29388	species	2503265	2	1	0.0
Microlunatus phosphovorus	29405	species	5683123	1	1	0.0
Pseudomonas savastanoi	29438	species	6112448	2	1	0.0
Rhizobium etli	29449	species	6784960	1	0	0.0
Pectobacterium atrosepticum	29471	species	7546597	1	0	0.0
Yersinia ruckeri	29486	species	7304941	1	1	0.0
Photorhabdus luminescens	29488	species	5688987	3	1	0.0
Burkholderia	32008	genus	0	1	0	0.0
Synechococcus sp. WH 7803	32051	species	2366980	1	0	0.0
synthetic construct	32630	species	26537524	216	35	0.0
Sphingopyxis macrogoltabida	33050	species	16800329	1	0	0.0
Acidobacterium capsulatum	33075	species	4127356	1	0	0.0
Amycolatopsis mediterranei	33910	species	13655759	1	0	0.0
Acetobacterium woodii	33952	species	4044777	2	1	0.0
Leptothrix cholodnii	34029	species	4909403	1	1	0.0
Rahnella aquatilis	34038	species	5656799	2	1	0.0
Variovorax paradoxus	34073	species	6817856	1	0	0.0
Geobacter sulfurreducens	35554	species	3764200	1	0	0.0
Heliobacterium modesticaldum	35701	species	3075407	1	0	0.0
Citrobacter amalonaticus	35703	species	7931914	5	1	0.0
Haloferax gibbonsii	35746	species	3918454	1	0	0.0
Rhodovulum sulfidophilum	35806	species	6638597	1	1	0.0
Paraburkholderia xenovorans	36873	species	19434089	1	0	0.0
Marichromatium purpuratum	37487	species	3779112	1	1	0.0
Enterococcus casseliflavus	37734	species	3427276	1	1	0.0
Sinomonas atrocyanea	37927	species	4492204	2	2	0.0
Dialister pneumosintes	39950	species	1274073	1	1	0.0
Erythrobacter litoralis	39960	species	3151875	1	0	0.0
Aliivibrio salmonicida	40269	species	4655660	1	0	0.0
Stenotrophomonas maltophilia	40324	species	6512435	2	1	0.0
Actinosynnema mirum	40567	species	8248144	2	1	0.0
Xenorhabdus bovienii	40576	species	4523083	3	2	0.0
Xenorhabdus poinarii	40577	species	3659523	1	1	0.0
Ammonifex degensii	42838	species	2157067	1	0	0.0
Sulfolobus islandicus	43080	species	2647110	1	1	0.0
Pseudomonas alcaligenes	43263	species	4406305	2	0	0.0
Pseudoalteromonas luteoviolacea	43657	species	18666577	1	1	0.0
Pseudoalteromonas rubra	43658	species	5913780	4	3	0.0
Rhodococcus equi	43767	species	5043170	1	1	0.0
Sulfurospirillum barnesii	44674	species	2510109	1	1	0.0
Vibrio scophthalmi	45658	species	9728927	3	1	0.0
Sphingobium chlorophenolicum	46429	species	4573221	1	1	0.0
Streptomyces lydicus	47763	species	8750753	1	0	0.0
Pseudomonas azotoformans	47878	species	6859618	73	41	0.0
Pseudomonas corrugata	47879	species	6124363	2	2	0.0
Pseudomonas fulva	47880	species	4920769	3	1	0.0
Ralstonia	48736	genus	0	1	0	0.0
Wigglesworthia glossinidia	51229	species	711269	1	1	0.0
Aerococcus urinaeequi	51665	species	4067667	1	0	0.0
Pseudoalteromonas	53246	genus	0	1	0	0.0
Pantoea	53335	genus	0	2	0	0.0
