name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pelobacter carbinolicus	19	species	3665893	431	431	0.0
Shewanella	22	genus	0	2	0	0.0
Shewanella putrefaciens	24	species	4749735	522	447	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Paracoccus denitrificans	266	species	5236194	666	666	0.0
Xanthobacter autotrophicus	280	species	5625098	1	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	664	664	0.0
Burkholderia cepacia	292	species	13365495	31	19	0.0
Pseudomonas fluorescens	294	species	14826544	791	777	0.0337959
Pseudomonas putida	303	species	6888188	664	647	0.0
Pseudomonas syringae	317	species	6129101	764	762	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Xanthomonas citri	346	species	17318955	1	0	0.0
Xanthomonas oryzae	347	species	17545599	1	0	0.0
Azotobacter vinelandii	354	species	5351632	641	641	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	329	329	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Methylomonas methanica	421	species	5051681	1	1	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	8	8	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	1	1	0.0
Enterobacteriaceae	543	family	0	1	0	0.0
Citrobacter freundii	546	species	16193243	1	0	0.0
Enterobacter cloacae	550	species	10083180	2	0	0.0
Escherichia coli	562	species	12319210	26	17	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella oxytoca	571	species	16779606	1	0	0.0
Shigella boydii	621	species	4698475	3	0	0.0
Shigella flexneri	623	species	4763519	4	0	0.0
Shigella sonnei	624	species	6798914	4	0	0.0
Aeromonas hydrophila	644	species	7739252	2	0	0.0
Vibrio cholerae	666	species	6170861	1	1	0.0
Histophilus somni	731	species	2138367	246	246	0.0
[Haemophilus] parasuis	738	species	4546750	1	1	0.0
Syntrophomonas wolfei	863	species	2936195	352	352	0.0
Nitrobacter hamburgensis	912	species	5011522	643	643	0.0
Nitrobacter winogradskyi	913	species	3402093	423	423	0.0852207
Nitrosomonas eutropha	916	species	2781824	317	317	0.0
Ehrlichia canis	944	species	1315030	127	127	0.0
Ehrlichia chaffeensis	945	species	1174554	119	119	0.0
Cytophaga hutchinsonii	985	species	4433218	560	560	0.0
Rhodobacter sphaeroides	1063	species	5768316	557	557	0.201049
Rhodopseudomonas palustris	1076	species	5408501	2615	2613	0.0
Rhodospirillum rubrum	1085	species	4379691	503	503	0.0
Chlorobium limicola	1092	species	2763181	325	324	0.0
Chlorobium phaeovibrioides	1094	species	1966858	253	252	0.0
Chlorobium phaeobacteroides	1096	species	2935152	805	803	0.0
Chlorobaculum tepidum	1097	species	2154946	1	0	0.0
Pelodictyon luteolum	1100	species	2364842	307	306	0.0
Prosthecochloris aestuarii	1102	species	2579695	345	345	0.0
Chloroflexus aurantiacus	1108	species	5258541	632	15	0.0
Microcystis aeruginosa	1126	species	4810004	11	6	0.0
Trichormus azollae	1164	species	5486145	1	0	0.0
Anabaena cylindrica	1165	species	7063285	1	1	0.0
Trichodesmium erythraeum	1206	species	7750108	1020	1020	0.0374096
Prochlorococcus marinus	1219	species	1879471	402	401	0.0
Nitrosococcus oceani	1229	species	3522111	430	429	0.0
Nitrosospira multiformis	1231	species	3234309	392	392	0.0
Leuconostoc gelidum	1244	species	1966103	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	223	221	0.0
Oenococcus oeni	1247	species	1780517	199	199	0.0
Leuconostoc carnosum	1252	species	1773468	2	1	0.0
Pediococcus pentosaceus	1255	species	1817384	223	223	0.0
Staphylococcus aureus	1280	species	7252422	1	0	0.0
Staphylococcus epidermidis	1282	species	3296362	1	1	0.0
Streptococcus salivarius	1304	species	3636237	2	0	0.0
Streptococcus sanguinis	1305	species	2388435	1	0	0.0
Streptococcus suis	1307	species	2683756	249	248	0.0
Streptococcus thermophilus	1308	species	3463400	244	241	0.0
Streptococcus agalactiae	1311	species	5721038	2	2	0.0
Enterococcus faecalis	1351	species	3401628	3	1	0.0
Enterococcus faecium	1352	species	5898717	309	301	0.0491512
Enterococcus hirae	1354	species	2908247	2	0	0.0
Lactococcus lactis	1358	species	2704731	286	285	0.107193
Bacillus cereus	1396	species	9676532	1	0	0.0
Clostridioides difficile	1496	species	6297836	2	0	0.0
Clostridium pasteurianum	1501	species	7159922	77	57	0.0
Clostridium tetani	1513	species	2869591	1	0	0.0
Ruminiclostridium thermocellum	1515	species	3634338	477	477	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	1	1	0.0
Clostridium beijerinckii	1520	species	6161692	597	577	0.0
Moorella thermoacetica	1525	species	5377887	353	353	0.0
Lactobacillus brevis	1580	species	2493592	202	198	0.0
Lactobacillus buchneri	1581	species	2575738	1	0	0.0
Lactobacillus casei	1582	species	3039836	86	61	0.0
Lactobacillus delbrueckii	1584	species	1920382	196	194	0.0
Lactobacillus helveticus	1587	species	3148198	3	2	0.0
