name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	246	246	0.0
Shewanella putrefaciens	24	species	4749735	274	223	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Paracoccus denitrificans	266	species	5236194	292	292	0.0
Pseudomonas aeruginosa	287	species	22457305	2	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	295	295	0.0
Burkholderia cepacia	292	species	13365495	13	5	0.0
Pseudomonas fluorescens	294	species	14826544	375	365	0.0
Pseudomonas putida	303	species	6888188	302	297	0.0
Pseudomonas syringae	317	species	6129101	358	356	0.128963
Xanthomonas campestris	339	species	7063896	1	1	0.0
Xanthomonas translucens	343	species	4638247	1	1	0.0
Azotobacter vinelandii	354	species	5351632	339	339	0.0
Rhizobium leguminosarum	384	species	7369497	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	173	173	0.0
Acinetobacter baumannii	470	species	11595472	3	3	0.0
Neisseria elongata	495	species	2256647	1	1	0.0
Ochrobactrum anthropi	529	species	5053471	2	2	0.0
Escherichia coli	562	species	12319210	10	6	0.0
Klebsiella oxytoca	571	species	16779606	1	0	0.0
Shigella boydii	621	species	4698475	2	0	0.0
Shigella flexneri	623	species	4763519	1	0	0.0
Shigella sonnei	624	species	6798914	2	0	0.0
Yersinia pseudotuberculosis	633	species	9565781	1	0	0.0
Aeromonas hydrophila	644	species	7739252	1	0	0.0
Histophilus somni	731	species	2138367	107	107	0.0
Syntrophomonas wolfei	863	species	2936195	151	151	0.0
Nitrobacter hamburgensis	912	species	5011522	316	316	0.0
Nitrobacter winogradskyi	913	species	3402093	210	210	0.0
Nitrosomonas eutropha	916	species	2781824	146	146	0.0
Ehrlichia canis	944	species	1315030	93	93	0.0
Ehrlichia chaffeensis	945	species	1174554	74	74	0.0
Cytophaga hutchinsonii	985	species	4433218	2531	2531	0.178297
Rhodobacter sphaeroides	1063	species	5768316	274	274	0.13703
Rhodopseudomonas palustris	1076	species	5408501	15246	15245	0.0
Rhodospirillum rubrum	1085	species	4379691	259	259	0.0
Chlorobium limicola	1092	species	2763181	182	181	0.0
Chlorobium phaeovibrioides	1094	species	1966858	102	102	0.0
Chlorobium phaeobacteroides	1096	species	2935152	378	378	0.0
Pelodictyon luteolum	1100	species	2364842	130	130	0.0
Prosthecochloris aestuarii	1102	species	2579695	140	140	0.0
Chloroflexus aurantiacus	1108	species	5258541	332	10	0.0
Microcystis aeruginosa	1126	species	4810004	4	2	0.0
