name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pelobacter carbinolicus	19	species	3665893	232	232	0.0
Shewanella putrefaciens	24	species	4749735	208	182	0.0
Myxococcus fulvus	33	species	10026214	1	1	0.0
Lysobacter	68	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	1	1	0.0
Campylobacter coli	195	species	5104439	1	1	0.0
Paracoccus denitrificans	266	species	5236194	325	324	0.0
Pseudoalteromonas atlantica	288	species	5187005	318	318	0.0
Burkholderia cepacia	292	species	13365495	14	8	0.0154231
Pseudomonas fluorescens	294	species	14826544	411	404	0.0
Pseudomonas putida	303	species	6888188	306	303	0.0
Pseudomonas stutzeri	316	species	7755802	1	0	0.0
Pseudomonas syringae	317	species	6129101	343	339	0.0
Xanthomonas translucens	343	species	4638247	1	0	0.0
Xanthomonas oryzae	347	species	17545599	1	1	0.0
Azotobacter vinelandii	354	species	5351632	330	330	0.0
Bradyrhizobium	374	genus	0	1	1	0.0
Methylobacillus flagellatus	405	species	2971517	146	146	0.0
Methylobacterium extorquens	408	species	6163878	1	0	0.0
Acinetobacter baumannii	470	species	11595472	2	2	0.0
Enterobacter cloacae	550	species	10083180	1	0	0.0
Escherichia coli	562	species	12319210	6	3	0.0
Providencia stuartii	588	species	6521015	4	4	0.0
Shigella boydii	621	species	4698475	2	1	0.0
Shigella flexneri	623	species	4763519	2	0	0.0
Shigella sonnei	624	species	6798914	2	0	0.0
Aeromonas veronii	654	species	7214925	2	0	0.0
Vibrio vulnificus	672	species	10215744	1	1	0.0
Histophilus somni	731	species	2138367	111	111	0.0
Syntrophomonas wolfei	863	species	2936195	174	174	0.0
Nitrobacter hamburgensis	912	species	5011522	283	283	0.0411328
Nitrobacter winogradskyi	913	species	3402093	175	175	0.0
Nitrosomonas eutropha	916	species	2781824	168	167	0.0
Ehrlichia canis	944	species	1315030	97	97	0.0
Ehrlichia chaffeensis	945	species	1174554	69	69	0.0
Cytophaga hutchinsonii	985	species	4433218	277	277	0.0
Rhodobacter sphaeroides	1063	species	5768316	257	257	0.0
Rhodopseudomonas palustris	1076	species	5408501	11970	11970	0.0
Rhodospirillum rubrum	1085	species	4379691	2353	2352	0.0
Chlorobium limicola	1092	species	2763181	186	186	0.0746017
Chlorobium phaeovibrioides	1094	species	1966858	136	135	0.0
Chlorobium phaeobacteroides	1096	species	2935152	422	420	0.0
Pelodictyon luteolum	1100	species	2364842	148	147	0.0
Prosthecochloris aestuarii	1102	species	2579695	135	135	0.0
Chloroflexus aurantiacus	1108	species	5258541	333	4	0.0
Microcystis aeruginosa	1126	species	4810004	2	2	0.0
Oscillatoriales	1150	order	0	1	0	0.0
Nostocaceae	1162	family	0	1	0	0.0
Trichormus azollae	1164	species	5486145	1	1	0.0
Anabaena cylindrica	1165	species	7063285	4	3	0.0
Rivulariaceae	1185	family	0	1	0	0.0
Trichodesmium erythraeum	1206	species	7750108	457	457	0.0
Prochlorococcus marinus	1219	species	1879471	210	210	0.0
Nitrosococcus oceani	1229	species	3522111	209	209	0.0
Nitrosospira multiformis	1231	species	3234309	206	206	0.0
Leuconostoc mesenteroides	1245	species	1966146	125	125	0.0
Oenococcus oeni	1247	species	1780517	96	96	0.0
Pediococcus pentosaceus	1255	species	1817384	91	91	0.0
Streptococcus	1301	genus	0	1	0	0.0
Streptococcus salivarius	1304	species	3636237	1	0	0.0
Streptococcus suis	1307	species	2683756	122	122	0.0
Streptococcus thermophilus	1308	species	3463400	94	92	0.0
Streptococcus dysgalactiae	1334	species	2149105	1	1	0.0
Enterococcus faecalis	1351	species	3401628	1	1	0.0
Enterococcus faecium	1352	species	5898717	160	157	0.0
Enterococcus hirae	1354	species	2908247	1	0	0.0
Lactococcus lactis	1358	species	2704731	183	183	0.0762139
Clostridioides difficile	1496	species	6297836	1	0	0.0
Clostridium pasteurianum	1501	species	7159922	36	24	0.0
[Clostridium] stercorarium	1510	species	4042789	1	0	0.0
Ruminiclostridium thermocellum	1515	species	3634338	253	252	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	2	2	0.0
Clostridium beijerinckii	1520	species	6161692	315	303	0.0
Moorella thermoacetica	1525	species	5377887	183	183	0.0
Clostridium ljungdahlii	1538	species	4630065	1	0	0.0
Lactobacillus brevis	1580	species	2493592	117	115	0.0
Lactobacillus buchneri	1581	species	2575738	1	0	0.0
Lactobacillus casei	1582	species	3039836	43	33	0.0
Lactobacillus delbrueckii	1584	species	1920382	91	90	0.0
Lactobacillus helveticus	1587	species	3148198	3	2	0.0
Lactobacillus gasseri	1596	species	1894360	123	122	0.0
Lactobacillus paracasei	1597	species	4200086	136	125	0.0
Lactobacillus salivarius	1624	species	2663133	1	0	0.0
Trueperella pyogenes	1661	species	3453353	1	1	0.0
Bifidobacterium breve	1685	species	2328021	3	2	0.0
Brevibacterium linens	1703	species	8072179	213	212	0.0
Streptomyces hygroscopicus	1912	species	10333189	1	1	0.0
Streptomyces noursei	1971	species	9815884	1	0	0.0
Thermobifida fusca	2021	species	3642249	200	200	0.0565963
Mycoplasma arginini	2094	species	678592	1	1	0.0
Methanospirillum hungatei	2203	species	3544738	232	232	0.0
Methanosarcina barkeri	2208	species	4650840	296	296	0.0
Thermoanaerobacter kivui	2325	species	2397824	2	2	0.0
Thermotoga neapolitana	2337	species	1884562	1	0	0.0
Xylella fastidiosa	2371	species	2609554	5217	5217	0.552955
Marinobacter hydrocarbonoclasticus	2743	species	4384621	292	288	0.0
Homo sapiens	9606	species	3238442024	418	182	0.0
Nostoc sp. PCC 7524	28072	species	6718869	7	7	0.0
Alteromonas macleodii	28108	species	5557691	1	0	0.0
Geobacter metallireducens	28232	species	4011182	265	265	0.0
Salmonella enterica	28901	species	6689149	3	0	0.0
Methanococcoides burtonii	29291	species	2575032	149	149	0.0
Thermoanaerobacter brockii	29323	species	2344824	63	1	0.0
Pseudomonas savastanoi	29438	species	6112448	1	0	0.0
Xanthomonas albilineans	29447	species	3852299	1	0	0.0
Rhizobium etli	29449	species	6784960	1	0	0.0
Pelobacter propionicus	29543	species	4241119	253	251	0.0
Burkholderia	32008	genus	0	1	0	0.0
Synechococcus elongatus	32046	species	2719262	118	46	0.0
Calothrix parietina	32054	species	6960392	1	0	0.0
synthetic construct	32630	species	26537524	345	227	0.0
Lactobacillus johnsonii	33959	species	1958140	1	0	0.0
Leuconostoc citreum	33964	species	1896614	1	1	0.0
Gluconacetobacter diazotrophicus	33996	species	7914538	1	0	0.0
Pelodictyon phaeoclathratiforme	34090	species	3018238	161	161	0.0
Thiobacillus denitrificans	36861	species	2909809	202	202	0.0
Paraburkholderia xenovorans	36873	species	19434089	552	549	0.0
Thiomicrospira crunogena	39765	species	2427734	145	145	0.0
Sulfurimonas denitrificans	39766	species	2201561	154	154	0.0
Stenotrophomonas	40323	genus	0	1	0	0.0
