name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellulomonas gilvus	11	species	3526441	1	1	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Myxococcus fulvus	33	species	10026214	2	2	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Chondromyces crocatus	52	species	11388132	1	1	0.0
Sorangium cellulosum	56	species	13907952	3	2	0.0
Runella slithyformis	106	species	6919729	1	1	0.0
Pirellula staleyi	125	species	6196199	5	5	0.0
Isosphaera pallida	128	species	5529304	1	1	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Azospirillum brasilense	192	species	13978806	1	1	0.0
Azospirillum lipoferum	193	species	7223069	3	3	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Helicobacter pylori	210	species	2044699	1	1	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Brucella	234	genus	0	1	1	0.0
Francisella tularensis	263	species	2777166	2	2	0.0
Paracoccus denitrificans	266	species	5236194	1	1	0.0
Thermus thermophilus	274	species	2214494	1	1	0.0
Meiothermus ruber	277	species	3097457	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	1	1	0.0
Pseudomonas aeruginosa	287	species	22457305	3	2	0.0
Burkholderia cepacia	292	species	13365495	8	6	0.0
Pseudomonas fluorescens	294	species	14826544	12	9	0.0
Pseudomonas mendocina	300	species	5293211	1	1	0.0
Pseudomonas putida	303	species	6888188	9	8	0.0
Ralstonia solanacearum	305	species	11186335	2	1	0.0
Pseudomonas stutzeri	316	species	7755802	2	1	0.0
Pseudomonas syringae	317	species	6129101	1	0	0.0
Ralstonia pickettii	329	species	6378979	1	1	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	1	0.0
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas campestris	339	species	7063896	1	1	0.0
Xanthomonas citri	346	species	17318955	1	1	0.0
Xanthomonas oryzae	347	species	17545599	2	2	0.0
Agrobacterium tumefaciens	358	species	9211775	2	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	2	1	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Sinorhizobium meliloti	382	species	6962835	5	5	0.0
Rhizobium leguminosarum	384	species	7369497	7	7	0.0
Rhizobium phaseoli	396	species	87841097	2	1	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	1	1	0.0
Methylobacterium extorquens	408	species	6163878	1	1	0.0
Acetobacter pasteurianus	438	species	3216979	2	2	0.0
Gluconobacter oxydans	442	species	3306867	1	1	0.0
Legionella pneumophila	446	species	15688009	1	1	0.0
Acinetobacter baumannii	470	species	11595472	2	1	0.0
Neisseria lactamica	486	species	2220606	1	1	0.0
Alcaligenes faecalis	511	species	4248684	1	1	0.0
Ochrobactrum anthropi	529	species	5053471	2	2	0.0
Beijerinckia indica	533	species	4418616	1	1	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Citrobacter freundii	546	species	16193243	4	3	0.0
Escherichia coli	562	species	12319210	5	2	0.0
Escherichia fergusonii	564	species	4643861	2	1	0.0
Hafnia alvei	569	species	6928293	1	1	0.0
Klebsiella oxytoca	571	species	16779606	2	0	0.0
Klebsiella pneumoniae	573	species	15713353	3	1	0.0
Morganella morganii	582	species	3853791	1	1	0.0
Proteus mirabilis	584	species	5337360	1	0	0.0
Proteus vulgaris	585	species	3794983	1	0	0.0
Serratia liquefaciens	614	species	7946985	2	2	0.0
Serratia marcescens	615	species	8465231	5	3	0.0
Shigella flexneri	623	species	4763519	1	0	0.0
Shigella sonnei	624	species	6798914	2	0	0.0
Yersinia pestis	632	species	7124135	2	1	0.0
Yersinia pseudotuberculosis	633	species	9565781	3	2	0.0
Edwardsiella tarda	636	species	3717889	1	1	0.0
Aeromonas hydrophila	644	species	7739252	1	1	0.0
Aeromonas salmonicida	645	species	5040536	1	1	0.0
Aeromonas veronii	654	species	7214925	1	1	0.0
Vibrio alginolyticus	663	species	8138835	1	1	0.0
Vibrio cholerae	666	species	6170861	2	2	0.0
Vibrio mimicus	674	species	8922704	1	1	0.0
Vibrio fluvialis	676	species	4827724	1	1	0.0
[Haemophilus] parasuis	738	species	4546750	1	1	0.0
Pasteurella multocida	747	species	2546987	1	1	0.0
Bacteroides thetaiotaomicron	818	species	6390542	1	1	0.0
Parabacteroides distasonis	823	species	4811379	1	1	0.0
Fibrobacter succinogenes	833	species	7685639	1	1	0.0
Porphyromonas gingivalis	837	species	2343668	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	1	1	0.0
Syntrophomonas wolfei	863	species	2936195	1	1	0.0
