name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	11	6	0.0
Azorhizobium	6	genus	0	9	0	0.0
Azorhizobium caulinodans	7	species	5369772	976	612	0.0
Buchnera aphidicola	9	species	619958	123	85	0.0
Cellulomonas gilvus	11	species	3526441	8902	4680	4.13474e-07
Dictyoglomus thermophilum	14	species	1959987	111	78	0.0
Methylophilus	16	genus	0	1	0	0.0
Pelobacter	18	genus	0	14	0	0.0
Pelobacter carbinolicus	19	species	3665893	356	245	0.0
Phenylobacterium	20	genus	0	10	0	0.0
Shewanella	22	genus	0	46	0	0.0
Shewanella putrefaciens	24	species	4749735	93	33	2.2924e-07
Myxococcales	29	order	0	470	0	0.0
Myxococcaceae	31	family	0	97	0	0.0
Myxococcus	32	genus	0	69	0	0.0
Myxococcus fulvus	33	species	10026214	3849	2346	0.0
Myxococcus xanthus	34	species	9139763	1782	930	0.0
Cystobacteraceae	39	family	0	19	0	0.0
Stigmatella	40	genus	0	8	0	0.0
Stigmatella aurantiaca	41	species	10260756	1551	1169	0.0
Archangium	47	genus	0	11	0	0.0
Archangium gephyra	48	species	12489432	2790	1891	0.0
Polyangiaceae	49	family	0	17	0	0.0
Chondromyces	50	genus	0	2	0	0.0
Chondromyces crocatus	52	species	11388132	1520	1120	0.0
Sorangium cellulosum	56	species	13907952	4055	3077	0.0
Lysobacter	68	genus	0	72	0	0.0
Caulobacter	75	genus	0	61	0	0.0
Hyphomicrobium	81	genus	0	217	0	0.0
Leptothrix	88	genus	0	60	0	0.0
Cyclobacterium marinum	104	species	6221273	94	75	0.0
Runella slithyformis	106	species	6919729	165	99	0.0
Planctomycetales	112	order	0	20	0	0.0
Planctomyces	118	genus	0	4	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	194	161	0.0
Planctopirus limnophila	120	species	5460085	140	125	0.0
Pirellula staleyi	125	species	6196199	351	304	0.0
Planctomycetaceae	126	family	0	11	0	0.0
Isosphaera	127	genus	0	5	0	0.0
Isosphaera pallida	128	species	5529304	305	207	0.0
Methylocystis	133	genus	0	134	0	0.0
Spirochaetales	136	order	0	13	0	0.0
Spirochaetaceae	137	family	0	13	0	0.0
Borrelia	138	genus	0	9	7	0.0
Borreliella burgdorferi	139	species	1329613	16	11	0.0
Borrelia hermsii	140	species	1156143	24	9	0.0
Borrelia parkeri	141	species	1030684	50	9	0.0
Borrelia turicatae	142	species	917330	51	10	0.0
Spirochaeta	146	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	380	324	0.0
Treponema	157	genus	0	1	0	0.0
Treponema denticola	158	species	2843201	84	60	0.0
Brachyspira hyodysenteriae	159	species	3055339	106	80	0.0
Treponema pallidum	160	species	1138607	98	1	0.0
Treponema succinifaciens	167	species	2897425	86	56	0.0
Leptospiraceae	170	family	0	1	0	0.0
Leptospira	171	genus	0	5	0	0.0
Leptospira biflexa	172	species	3953768	112	75	1.09434e-127
Leptospira interrogans	173	species	5395453	89	66	0.0
Leptospira borgpetersenii	174	species	3948532	51	18	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	64	57	0.0
Azospirillum	191	genus	0	88	0	0.0
Azospirillum brasilense	192	species	13978806	3397	2372	0.0
Azospirillum lipoferum	193	species	7223069	3931	2225	0.0
Campylobacter	194	genus	0	5	0	0.0
Campylobacter coli	195	species	5104439	128	76	0
Campylobacter fetus	196	species	1876301	65	54	0.0
Campylobacter jejuni	197	species	6156435	698	140	0.0
Campylobacter hyointestinalis	198	species	1753331	44	30	0.0
Campylobacter concisus	199	species	1969727	49	38	0.0
Campylobacter curvus	200	species	1971270	16	6	0.0
Campylobacter lari	201	species	1576113	165	80	0.0
Helicobacter	209	genus	0	1	0	0.0
Helicobacter pylori	210	species	2044699	226	181	0.0
Helicobacter acinonychis	212	species	1557588	15	7	0.0
Helicobacter cinaedi	213	species	2170766	20	19	0.0
Helicobacter felis	214	species	1672681	21	16	0.0
Helicobacter mustelae	217	species	1578097	29	29	0.0
Achromobacter	222	genus	0	441	0	0.0
Alteromonas	226	genus	0	12	1	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	64	6	0.0
Brucella	234	genus	0	458	208	0.0
Brucella abortus	235	species	5108028	75	2	0.0
Brucella ovis	236	species	3275590	56	2	0.0
Flavobacterium	237	genus	0	1	0	0.0
Francisella	262	genus	0	16	0	0.0
Francisella tularensis	263	species	2777166	207	145	0.0
Paracoccus	265	genus	0	38	0	0.0
Paracoccus denitrificans	266	species	5236194	1467	903	0.0
Thermus	270	genus	0	18	0	0.0
Thermus aquaticus	271	species	2338641	463	283	0.0
Thermus thermophilus	274	species	2214494	535	226	0.0
Meiothermus ruber	277	species	3097457	486	324	1.05071e-07
Xanthobacter	279	genus	0	20	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1307	884	1.1569e-82
Comamonas	283	genus	0	14	0	0.0
Comamonas testosteroni	285	species	5695231	7010	4240	6.36529e-05
Pseudomonas	286	genus	0	6505	2402	0.0
Pseudomonas aeruginosa	287	species	22457305	26447	16160	0.000126352
Pseudoalteromonas atlantica	288	species	5187005	29	20	0.0
Burkholderia cepacia	292	species	13365495	6553	2333	3.31546e-07
Pseudomonas fluorescens	294	species	14826544	10727	4697	2.58541e-07
Pseudomonas fragi	296	species	5101809	463	286	0.0
Pseudomonas mendocina	300	species	5293211	4926	2542	1.32517e-06
Pseudomonas putida	303	species	6888188	16698	7348	4.28434e-05
Ralstonia solanacearum	305	species	11186335	5100	2945	3.81496e-07
Pseudomonas stutzeri	316	species	7755802	603600	592049	0.0115453
Pseudomonas syringae	317	species	6129101	2524	1151	5.37014e-08
Ralstonia pickettii	329	species	6378979	4132	1745	2.89086e-06
Pseudomonas pseudoalcaligenes	330	species	4691662	5899	2150	0.000101992
Burkholderia glumae	337	species	7333967	4176	1267	0.0
Xanthomonas	338	genus	0	697	122	0.0
Xanthomonas campestris	339	species	7063896	4914	2847	1.44573e-05
Xanthomonas translucens	343	species	4638247	3843	2086	3.14465e-07
Xanthomonas citri	346	species	17318955	1791	265	3.33499e-16
Xanthomonas oryzae	347	species	17545599	2461	1281	1.85827e-07
Azotobacter	352	genus	0	43	0	0.0
Azotobacter chroococcum	353	species	5192286	2124	1067	8.44823e-08
Azotobacter vinelandii	354	species	5351632	2358	1362	1.61797e-07
Rhizobiales	356	order	0	1113	0	0.0
Agrobacterium	357	genus	0	36	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1799	715	4.09499e-07
Agrobacterium vitis	373	species	6320946	417	290	1.46637e-18
Bradyrhizobium	374	genus	0	263	1	0.0
Bradyrhizobium japonicum	375	species	9215796	1737	703	0.0
Bradyrhizobium sp.	376	species	7547693	860	430	0.0
Rhizobium	379	genus	0	963	445	0.0
Sinorhizobium fredii	380	species	6891900	877	686	3.93693e-21
Mesorhizobium loti	381	species	7539018	2179	1200	0.0
Sinorhizobium meliloti	382	species	6962835	965	675	1.13519e-29
Rhizobium leguminosarum	384	species	7369497	3843	2396	0.0
Rhizobium phaseoli	396	species	87841097	1720	592	0.0
Rhizobium tropici	398	species	6686334	910	593	4.86748e-08
Neorhizobium galegae	399	species	6434105	1278	778	0.0
Methylococcaceae	403	family	0	16	0	0.0
Methylobacillus	404	genus	0	24	0	0.0
Methylobacillus flagellatus	405	species	2971517	204	106	3.86834e-07
Methylobacterium	407	genus	0	285	0	0.0
Methylobacterium extorquens	408	species	6163878	2909	1456	1.58454e-07
Methylococcus	413	genus	0	3	0	0.0
Methylococcus capsulatus	414	species	3304561	607	347	0.0
Methylomonas	416	genus	0	11	0	0.0
Methylomonas methanica	421	species	5051681	174	120	0.0
Acetobacteraceae	433	family	0	48	0	0.0
Acetobacter	434	genus	0	2	0	0.0
Acetobacter pasteurianus	438	species	3216979	271	183	0.0
Gluconobacter	441	genus	0	6	0	0.0
Gluconobacter oxydans	442	species	3306867	513	392	0.0
Legionellaceae	444	family	0	2	0	0.0
Legionella	445	genus	0	1	0	0.0
Legionella pneumophila	446	species	15688009	449	368	0.0
Legionella hackeliae	449	species	3570857	94	59	0.0
Legionella longbeachae	450	species	4149158	69	55	0.0
Tatlockia micdadei	451	species	3310028	38	27	0.0
Moraxellaceae	468	family	0	44	0	0.0
Acinetobacter	469	genus	0	119	22	0.0
Acinetobacter baumannii	470	species	11595472	16574	10893	5.97243e-05
Moraxella	475	genus	0	1	0	0.0
Moraxella catarrhalis	480	species	2846413	44	37	0.0
Neisseriaceae	481	family	0	2	0	0.0
Neisseria	482	genus	0	9	0	0.0
Neisseria gonorrhoeae	485	species	4967431	133	19	3.90786e-08
Neisseria lactamica	486	species	2220606	167	80	0.0
Neisseria meningitidis	487	species	8508873	438	179	9.19568e-08
Neisseria elongata	495	species	2256647	149	78	0.0
Psychrobacter	497	genus	0	10	0	0.0
Thermomicrobium roseum	500	species	2920744	335	274	0.0
Kingella kingae	504	species	2140065	33	11	0.0
Alcaligenaceae	506	family	0	200	0	0.0
Alcaligenes	507	genus	0	2	0	0.0
Alcaligenes faecalis	511	species	4248684	641	381	2.30226e-07
Bordetella	517	genus	0	490	2	0.0
Bordetella bronchiseptica	518	species	6491145	3830	1387	0.0
Bordetella parapertussis	519	species	4815611	2026	125	2.30499e-07
Bordetella pertussis	520	species	48698463	1801	318	0.0
Bordetella avium	521	species	3732255	536	367	0.0
Acidiphilium	522	genus	0	28	0	0.0
Acidiphilium cryptum	524	species	3963080	1277	455	0.0
Ochrobactrum	528	genus	0	13	0	0.0
Ochrobactrum anthropi	529	species	5053471	1268	1105	7.79706e-06
Beijerinckia	532	genus	0	2	0	0.0
Beijerinckia indica	533	species	4418616	227	157	0.0
Chromobacterium	535	genus	0	78	0	0.0
Chromobacterium violaceum	536	species	4751080	1601	736	0.0
Zymomonas mobilis	542	species	2426073	233	185	1.60773e-07
Enterobacteriaceae	543	family	0	951	87	0.0
Citrobacter	544	genus	0	129	0	0.0
Citrobacter koseri	545	species	4735357	636	331	9.6228e-08
Citrobacter freundii	546	species	16193243	2274	1057	2.99858e-06
Enterobacter	547	genus	0	1850	447	0.0
[Enterobacter] aerogenes	548	species	10750562	992	412	3.09698e-07
Pantoea agglomerans	549	species	9924054	1121	553	7.86999e-07
Enterobacter cloacae	550	species	10083180	13099	2402	6.65253e-05
Erwinia	551	genus	0	31	0	0.0
Erwinia amylovora	552	species	3869718	421	316	2.18607e-233
Pantoea ananatis	553	species	4842757	417	262	6.21372e-07
Pectobacterium carotovorum	554	species	4852842	545	333	6.88594e-08
Escherichia	561	genus	0	30	0	0.0
Escherichia coli	562	species	12319210	2622	796	1.30115e-06
Shimwellia blattae	563	species	4158725	592	383	1.21128e-28
Escherichia fergusonii	564	species	4643861	336	119	7.44046e-30
Hafnia	568	genus	0	12	0	0.0
Hafnia alvei	569	species	6928293	564	241	9.45947e-08
Klebsiella	570	genus	0	795	20	0.0
Klebsiella oxytoca	571	species	16779606	4614	1089	3.20264e-06
Klebsiella pneumoniae	573	species	15713353	35001	27612	0.000475188
Morganella	581	genus	0	3	0	0.0
Morganella morganii	582	species	3853791	253	176	0.0
Proteus	583	genus	0	54	0	0.0
Proteus mirabilis	584	species	5337360	257	11	0
Proteus vulgaris	585	species	3794983	152	0	2.57831e-07
Providencia	586	genus	0	4	0	0.0
Providencia stuartii	588	species	6521015	114	66	0.0
Salmonella	590	genus	0	13	0	0.0
Serratia	613	genus	0	511	12	0.0
Serratia liquefaciens	614	species	7946985	722	491	4.10886e-08
Serratia marcescens	615	species	8465231	4852	1804	3.26923e-07
Shigella	620	genus	0	113	0	0.0
Shigella boydii	621	species	4698475	175	16	0
Shigella dysenteriae	622	species	4560911	148	13	6.30011e-20
Shigella flexneri	623	species	4763519	225	34	7.12358e-25
Shigella sonnei	624	species	6798914	162	7	0
Xenorhabdus	626	genus	0	5	0	0.0
Xenorhabdus nematophila	628	species	4586662	68	29	0.0
Yersinia	629	genus	0	131	0	0.0
Yersinia enterocolitica	630	species	14308813	566	366	3.84425e-22
Yersinia intermedia	631	species	4859749	285	119	6.71663e-08
Yersinia pestis	632	species	7124135	275	23	1.45284e-07
Yersinia pseudotuberculosis	633	species	9565781	438	136	0.0
Edwardsiella	635	genus	0	97	0	0.0
