name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	4	0	0.0
Azorhizobium caulinodans	7	species	5369772	183	119	0.0
Buchnera aphidicola	9	species	619958	22	14	0
Cellulomonas gilvus	11	species	3526441	149	86	5.46014e-06
Methylophilus	16	genus	0	2	0	0.0
Pelobacter	18	genus	0	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	21	9	0.0
Phenylobacterium	20	genus	0	2	0	0.0
Shewanella	22	genus	0	509	0	0.0
Shewanella putrefaciens	24	species	4749735	323	178	0
Myxococcales	29	order	0	16	0	0.0
Myxococcaceae	31	family	0	7	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	293	188	0.0
Myxococcus xanthus	34	species	9139763	100	52	0.0
Cystobacteraceae	39	family	0	5	0	0.0
Stigmatella	40	genus	0	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	98	65	0.0
Archangium gephyra	48	species	12489432	172	128	0.0
Polyangiaceae	49	family	0	3	0	0.0
Chondromyces crocatus	52	species	11388132	78	68	0.0
Sorangium cellulosum	56	species	13907952	171	122	0.0
Lysobacter	68	genus	0	51	0	0.0
Caulobacter	75	genus	0	3	0	0.0
Hyphomonas	85	genus	0	1	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Runella slithyformis	106	species	6919729	16	9	0.0
Planctomycetales	112	order	0	1	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	9	8	0.0
Planctopirus limnophila	120	species	5460085	7	5	0.0
Pirellula staleyi	125	species	6196199	35	29	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera pallida	128	species	5529304	13	7	0.0
Spirochaetales	136	order	0	20	0	0.0
Spirochaetaceae	137	family	0	3	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta	146	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	7	4	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Treponema succinifaciens	167	species	2897425	1	0	0.0
Leptospira biflexa	172	species	3953768	3	2	0.0
Leptospira interrogans	173	species	5395453	8	6	0.0
Leptospira borgpetersenii	174	species	3948532	3	2	0.0
Leptospirillum ferrooxidans	180	species	2559538	2	1	0.0
Azospirillum	191	genus	0	22	0	0.0
Azospirillum brasilense	192	species	13978806	350	198	0.0
Azospirillum lipoferum	193	species	7223069	366	202	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	6	3	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter jejuni	197	species	6156435	8	4	0.0
