name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	1	1	0.0
Shewanella	22	genus	0	2	0	0.0
Shewanella putrefaciens	24	species	4749735	11	4	0.0
Myxococcus fulvus	33	species	10026214	2	2	0.0
Archangium gephyra	48	species	12489432	1	0	0.0
Sorangium cellulosum	56	species	13907952	3	3	0.0
Lysobacter	68	genus	0	4	0	0.0
Leptothrix	88	genus	0	3	0	0.0
Planctopirus limnophila	120	species	5460085	2	2	0.0
Treponema denticola	158	species	2843201	12	3	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Leptospira interrogans	173	species	5395453	3	2	0.0
Azospirillum lipoferum	193	species	7223069	6	5	0.0
Campylobacter coli	195	species	5104439	14	3	0.0
Campylobacter fetus	196	species	1876301	1	1	0.0
Campylobacter jejuni	197	species	6156435	22	6	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Campylobacter lari	201	species	1576113	11	3	0.0
Helicobacter pylori	210	species	2044699	17	16	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	0	0.0
Brucella	234	genus	0	1	1	0.0
Francisella tularensis	263	species	2777166	2	2	0.0
Comamonas testosteroni	285	species	5695231	15	13	0.0
Pseudomonas	286	genus	0	7	4	0.0
Pseudomonas aeruginosa	287	species	22457305	1	0	0.0
Pseudoalteromonas atlantica	288	species	5187005	9	7	0.0
Pseudomonas fluorescens	294	species	14826544	58	30	0.0
Pseudomonas fragi	296	species	5101809	7	3	0.0
Pseudomonas mendocina	300	species	5293211	1	1	0.0
Pseudomonas putida	303	species	6888188	33	26	0.0
Ralstonia solanacearum	305	species	11186335	12	3	0.0
Pseudomonas stutzeri	316	species	7755802	8	6	0.0
Pseudomonas syringae	317	species	6129101	8	5	0.0
Ralstonia pickettii	329	species	6378979	3	2	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Azotobacter chroococcum	353	species	5192286	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	1	0.0
Agrobacterium vitis	373	species	6320946	2	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Rhizobium	379	genus	0	2	0	0.0
Sinorhizobium meliloti	382	species	6962835	2	2	0.0
Rhizobium leguminosarum	384	species	7369497	5	2	0.0
Rhizobium tropici	398	species	6686334	4	0	0.0
Gluconobacter oxydans	442	species	3306867	2	1	0.0
Legionella pneumophila	446	species	15688009	2	2	0.0
Legionella hackeliae	449	species	3570857	5	1	0.0
Tatlockia micdadei	451	species	3310028	4	3	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	10	8	0.0
Moraxella catarrhalis	480	species	2846413	9	9	0.0
Neisseria	482	genus	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	1657	923	0.0
Neisseria lactamica	486	species	2220606	1820	1240	0.0
Neisseria meningitidis	487	species	8508873	4871	3832	0.0
Neisseria elongata	495	species	2256647	1077	886	0.0
Thermomicrobium roseum	500	species	2920744	2	0	0.0
Kingella kingae	504	species	2140065	76	63	0.0
Alcaligenes faecalis	511	species	4248684	4	2	0.0
Ochrobactrum anthropi	529	species	5053471	2	2	0.0
Zymomonas mobilis	542	species	2426073	5	4	0.0
Enterobacteriaceae	543	family	0	5	0	0.0
Citrobacter koseri	545	species	4735357	7	7	0.0
Citrobacter freundii	546	species	16193243	12	1	0.0
Enterobacter	547	genus	0	4	0	0.0
[Enterobacter] aerogenes	548	species	10750562	2	2	0.0
