name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	5	1	0.0
Cellulomonas gilvus	11	species	3526441	6	6	0.0
Myxococcus fulvus	33	species	10026214	24825	24813	0.0134881
Myxococcus xanthus	34	species	9139763	57	47	0.0
Stigmatella aurantiaca	41	species	10260756	7	6	0.0
Archangium gephyra	48	species	12489432	20	8	0.0
Chondromyces crocatus	52	species	11388132	3	2	0.0
Sorangium cellulosum	56	species	13907952	24505	24483	0.00862984
Hyphomicrobium	81	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	24961	24957	0.0202279
Rubinisphaera brasiliensis	119	species	6006602	24995	24995	0.022374
Planctopirus limnophila	120	species	5460085	24996	24996	0.0245769
Isosphaera pallida	128	species	5529304	24975	24974	0.0237542
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Azospirillum brasilense	192	species	13978806	33	13	0.0
Azospirillum lipoferum	193	species	7223069	16	9	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter pylori	210	species	2044699	24121	24104	0.0544914
Helicobacter acinonychis	212	species	1557588	23	8	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Achromobacter	222	genus	0	3	0	0.0
Brucella	234	genus	0	3	2	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Francisella tularensis	263	species	2777166	1	1	0.0
Paracoccus denitrificans	266	species	5236194	4	2	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	9	5	0.0
Comamonas	283	genus	0	5	0	0.0
Comamonas testosteroni	285	species	5695231	89	57	0.0
Pseudomonas	286	genus	0	86	55	0.0
Pseudomonas aeruginosa	287	species	22457305	25119	25029	0.00480453
Pseudoalteromonas atlantica	288	species	5187005	2	2	0.0
Burkholderia cepacia	292	species	13365495	2255	590	0.0
Pseudomonas fluorescens	294	species	14826544	3411	1523	0.0
Pseudomonas fragi	296	species	5101809	28	16	0.0
