name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	2	0.0
Buchnera aphidicola	9	species	619958	2	2	0.0
Cellulomonas gilvus	11	species	3526441	2	2	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus fulvus	33	species	10026214	9983	9978	0.000264586
Myxococcus xanthus	34	species	9139763	13	8	0.0
Stigmatella aurantiaca	41	species	10260756	1	1	0.0
Archangium gephyra	48	species	12489432	7	7	0.0
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	13907952	60	60	0.0
Leptothrix	88	genus	0	4	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Planctomycetales	112	order	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	1	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Pirellula staleyi	125	species	6196199	4	2	0.0
Isosphaera pallida	128	species	5529304	10003	10001	0.000269272
Borreliella burgdorferi	139	species	1329613	2	2	0.0
Borrelia parkeri	141	species	1030684	1	1	0.0
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	1	0.0
Leptospira biflexa	172	species	3953768	2	2	0.0
Leptospira interrogans	173	species	5395453	3	2	0.0
Azospirillum	191	genus	0	4	0	0.0
Azospirillum brasilense	192	species	13978806	10	6	0.0
Azospirillum lipoferum	193	species	7223069	9	4	0.0
Campylobacter coli	195	species	5104439	49	30	0.0
Campylobacter fetus	196	species	1876301	55	49	0.0
Campylobacter jejuni	197	species	6156435	46	28	0.0
Campylobacter hyointestinalis	198	species	1753331	74	65	0.0
Campylobacter concisus	199	species	1969727	207	198	0.0
Campylobacter curvus	200	species	1971270	89	81	0.0
Campylobacter lari	201	species	1576113	47	23	0.0
Helicobacter pylori	210	species	2044699	9	8	0.0
Helicobacter acinonychis	212	species	1557588	2	2	0.0
Helicobacter cinaedi	213	species	2170766	13	8	0.0
Helicobacter felis	214	species	1672681	10003	10002	0.00106751
Helicobacter mustelae	217	species	1578097	1	1	0.0
Achromobacter	222	genus	0	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	2	2	0.0
Brucella	234	genus	0	1	1	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Francisella tularensis	263	species	2777166	4	3	0.0
Paracoccus denitrificans	266	species	5236194	18	3	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Thermus thermophilus	274	species	2214494	1	1	0.0
Meiothermus ruber	277	species	3097457	3	1	0.0
Xanthobacter autotrophicus	280	species	5625098	5	4	0.0
Comamonas testosteroni	285	species	5695231	5	2	0.0
Pseudomonas	286	genus	0	10	8	0.0
Pseudomonas aeruginosa	287	species	22457305	34	32	0.0
Pseudoalteromonas atlantica	288	species	5187005	8	7	0.0
Burkholderia cepacia	292	species	13365495	21	6	0.0
Pseudomonas fluorescens	294	species	14826544	28	11	0.0
Pseudomonas fragi	296	species	5101809	6	2	0.0
Pseudomonas mendocina	300	species	5293211	10011	10006	0.00057224
Pseudomonas putida	303	species	6888188	10024	9829	0.000593067
Ralstonia solanacearum	305	species	11186335	10	3	0.0
Pseudomonas stutzeri	316	species	7755802	9699	9678	0.000216337
Pseudomonas syringae	317	species	6129101	32	21	0.0
Ralstonia pickettii	329	species	6378979	5	2	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	3	1	0.0
Burkholderia glumae	337	species	7333967	4	0	0.0
Xanthomonas campestris	339	species	7063896	6	5	0.0
Xanthomonas translucens	343	species	4638247	8	1	0.0
Xanthomonas citri	346	species	17318955	1	0	0.0
Xanthomonas oryzae	347	species	17545599	3	1	0.0
Azotobacter chroococcum	353	species	5192286	3	1	0.0
Azotobacter vinelandii	354	species	5351632	5	2	0.0
Rhizobiales	356	order	0	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	4	1	0.0
Agrobacterium vitis	373	species	6320946	4	3	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	5323	3350	1.72482e-06
Bradyrhizobium sp.	376	species	7547693	105	81	0.0
Rhizobium	379	genus	0	3	1	0.0
Sinorhizobium fredii	380	species	6891900	1	1	0.0
Mesorhizobium loti	381	species	7539018	26	25	0.0
Rhizobium leguminosarum	384	species	7369497	5	4	0.0
Rhizobium tropici	398	species	6686334	3	3	0.0
Neorhizobium galegae	399	species	6434105	3	3	0.0
Methylobacillus flagellatus	405	species	2971517	3	1	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	11	0	0.0
Methylococcus capsulatus	414	species	3304561	1	0	0.0
Methylomonas methanica	421	species	5051681	4	2	0.0
Acetobacter pasteurianus	438	species	3216979	4	1	0.0
Gluconobacter oxydans	442	species	3306867	1	1	0.0
Legionella pneumophila	446	species	15688009	6	6	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Legionella longbeachae	450	species	4149158	2	2	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Acinetobacter baumannii	470	species	11595472	4	3	0.0
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria	482	genus	0	3	0	0.0
Neisseria gonorrhoeae	485	species	4967431	11120	9976	0.00075199
Neisseria lactamica	486	species	2220606	1194	118	0.0
Neisseria meningitidis	487	species	8508873	1987	584	0.0
Neisseria elongata	495	species	2256647	401	361	0.0
Kingella kingae	504	species	2140065	19	13	0.0
Alcaligenes faecalis	511	species	4248684	3	2	0.0
Bordetella	517	genus	0	2	0	0.0
Bordetella bronchiseptica	518	species	6491145	10	2	0.0
Bordetella parapertussis	519	species	4815611	8	0	0.0
Bordetella pertussis	520	species	48698463	7	1	0.0
Bordetella avium	521	species	3732255	3	2	0.0
Acidiphilium cryptum	524	species	3963080	5	0	0.0
Ochrobactrum anthropi	529	species	5053471	1	0	0.0
Chromobacterium violaceum	536	species	4751080	7	5	0.0
Zymomonas mobilis	542	species	2426073	1	1	0.0
Enterobacteriaceae	543	family	0	4	0	0.0
Citrobacter koseri	545	species	4735357	1	0	0.0
Citrobacter freundii	546	species	16193243	35	19	0.0
Enterobacter	547	genus	0	24	17	0.0
[Enterobacter] aerogenes	548	species	10750562	35	13	0.0
Pantoea agglomerans	549	species	9924054	6	2	0.0
Enterobacter cloacae	550	species	10083180	4775	595	0
Erwinia	551	genus	0	2	0	0.0
Pantoea ananatis	553	species	4842757	5	4	0.0
Pectobacterium carotovorum	554	species	4852842	3	0	0.0
Escherichia	561	genus	0	11	0	0.0
Escherichia coli	562	species	12319210	10018	9329	0.000343541
Escherichia fergusonii	564	species	4643861	24	3	0.0
Hafnia alvei	569	species	6928293	7	3	0.0
Klebsiella oxytoca	571	species	16779606	24	9	0.0
Klebsiella pneumoniae	573	species	15713353	101	52	2.33463e-27
Morganella morganii	582	species	3853791	4	3	0.0
Proteus mirabilis	584	species	5337360	2	0	0.0
Proteus vulgaris	585	species	3794983	2	0	0.0
Providencia stuartii	588	species	6521015	9	7	0.0
Salmonella	590	genus	0	4	0	0.0
Serratia liquefaciens	614	species	7946985	2	2	0.0
Serratia marcescens	615	species	8465231	22	13	0.0
Shigella	620	genus	0	36	0	0.0
Shigella boydii	621	species	4698475	289	5	0.0
Shigella dysenteriae	622	species	4560911	79	1	0.0
Shigella flexneri	623	species	4763519	193	6	0.0
Shigella sonnei	624	species	6798914	304	11	0.0
Yersinia enterocolitica	630	species	14308813	8	6	0.0
Yersinia intermedia	631	species	4859749	3	2	0.0
Yersinia pestis	632	species	7124135	2	0	0.0
Yersinia pseudotuberculosis	633	species	9565781	4	2	0.0
Edwardsiella	635	genus	0	2	0	0.0
