name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellulomonas gilvus	11	species	3526441	8	4	0.0
Myxococcales	29	order	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	7	5	0.0
Myxococcus xanthus	34	species	9139763	3	3	0.0
Stigmatella aurantiaca	41	species	10260756	4	4	0.0
Archangium gephyra	48	species	12489432	2	2	0.0
Sorangium cellulosum	56	species	13907952	6	5	0.0
Runella slithyformis	106	species	6919729	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Azospirillum brasilense	192	species	13978806	9	1	0.0
Azospirillum lipoferum	193	species	7223069	5	5	0.0
Campylobacter coli	195	species	5104439	2	2	0.0
Campylobacter jejuni	197	species	6156435	108	53	0.0
Brucella	234	genus	0	3	3	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Thermus thermophilus	274	species	2214494	4	3	0.0
Xanthobacter autotrophicus	280	species	5625098	8	7	0.0
Comamonas testosteroni	285	species	5695231	6	5	0.0
Pseudomonas	286	genus	0	7	0	0.0
Pseudomonas aeruginosa	287	species	22457305	4	4	0.0
Burkholderia cepacia	292	species	13365495	9	6	0.0
Pseudomonas fluorescens	294	species	14826544	15	10	0.0
Pseudomonas fragi	296	species	5101809	2	2	0.0
Pseudomonas mendocina	300	species	5293211	5	5	0.0
Pseudomonas putida	303	species	6888188	19	12	0.0
Ralstonia solanacearum	305	species	11186335	8	7	0.0
Pseudomonas stutzeri	316	species	7755802	12	3	0.0
Pseudomonas syringae	317	species	6129101	5	3	0.0
Ralstonia pickettii	329	species	6378979	4	1	0.0
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas campestris	339	species	7063896	19	9	0.0
Xanthomonas translucens	343	species	4638247	1	1	0.0
Xanthomonas oryzae	347	species	17545599	4	0	0.0
Azotobacter chroococcum	353	species	5192286	2	1	0.0
Azotobacter vinelandii	354	species	5351632	8	5	0.0
Agrobacterium tumefaciens	358	species	9211775	3	1	0.0
Bradyrhizobium japonicum	375	species	9215796	1	1	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	0	2	2	0.0
Mesorhizobium loti	381	species	7539018	15	14	0.0
Rhizobium leguminosarum	384	species	7369497	4	4	0.0
Rhizobium phaseoli	396	species	87841097	2	2	0.0
Rhizobium tropici	398	species	6686334	5	4	0.0
Neorhizobium galegae	399	species	6434105	9	3	0.0
Methylococcus capsulatus	414	species	3304561	4	0	0.0
Acinetobacter baumannii	470	species	11595472	24359	24296	0.0189115
Neisseria	482	genus	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	4	0	0.0
Neisseria lactamica	486	species	2220606	5	0	0.0
Neisseria meningitidis	487	species	8508873	8	1	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Bordetella bronchiseptica	518	species	6491145	2	1	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella pertussis	520	species	48698463	1	1	0.0
Bordetella avium	521	species	3732255	1	0	0.0
Chromobacterium violaceum	536	species	4751080	3	1	0.0
Citrobacter koseri	545	species	4735357	5	1	0.0
Citrobacter freundii	546	species	16193243	5	4	0.0
Enterobacter	547	genus	0	1	0	0.0
[Enterobacter] aerogenes	548	species	10750562	2	1	0.0
Enterobacter cloacae	550	species	10083180	1	0	0.0
Pantoea ananatis	553	species	4842757	2	0	0.0
Pectobacterium carotovorum	554	species	4852842	1	1	0.0
Escherichia coli	562	species	12319210	2	2	0.0
Hafnia alvei	569	species	6928293	7	5	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella pneumoniae	573	species	15713353	13	9	0.0
Proteus mirabilis	584	species	5337360	1	0	0.0
Proteus vulgaris	585	species	3794983	1	0	0.0
Serratia marcescens	615	species	8465231	2	0	0.0
Xenorhabdus	626	genus	0	1	0	0.0
Yersinia	629	genus	0	1	0	0.0
Yersinia enterocolitica	630	species	14308813	2	2	0.0
Yersinia pseudotuberculosis	633	species	9565781	1	1	0.0
Aeromonas hydrophila	644	species	7739252	2	0	0.0
Aeromonas salmonicida	645	species	5040536	8	8	0.0
Aeromonas media	651	species	4788430	6	4	0.0
Aeromonas schubertii	652	species	4400034	2	0	0.0
Vibrio alginolyticus	663	species	8138835	2	2	0.0
Vibrio cholerae	666	species	6170861	1	1	0.0
Vibrio vulnificus	672	species	10215744	2	2	0.0
Vibrio mimicus	674	species	8922704	1	0	0.0
Chlamydia trachomatis	813	species	1376168	1	1	0.0
Campylobacter gracilis	824	species	2281652	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	2	2	0.0
Desulfovibrio vulgaris	881	species	3802302	4	3	0.0
Desulfococcus multivorans	897	species	4455399	1	1	0.0
Desulfomicrobium baculatum	899	species	3942657	1	1	0.0
Nitrosomonas europaea	915	species	2812094	1	1	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	1	0.0
Starkeya novella	921	species	4765023	3	3	0.0
Thiomonas intermedia	926	species	3462095	1	1	0.0
Bdellovibrio bacteriovorus	959	species	3652240	2	2	0.0
Herbaspirillum seropedicae	964	species	8221139	1	1	0.0
Halorhodospira halophila	1053	species	2678452	1	1	0.0
Rhodobacter sphaeroides	1063	species	5768316	2	2	0.0
Rhodopseudomonas palustris	1076	species	5408501	16	15	0.0
Pararhodospirillum photometricum	1084	species	3876289	4	1	0.0
Anabaena cylindrica	1165	species	7063285	2	2	0.0
Trichodesmium erythraeum	1206	species	7750108	2	0	0.0
Proteobacteria	1224	phylum	0	2	0	0.0
Nitrosospira multiformis	1231	species	3234309	2	2	0.0
Gammaproteobacteria	1236	class	0	2	0	0.0
Leuconostoc lactis	1246	species	1788069	1	0	0.0
Leuconostoc carnosum	1252	species	1773468	1	0	0.0
Ruminococcus albus	1264	species	4482087	1	1	0.0
Micrococcaceae	1268	family	0	5	0	0.0
Micrococcus luteus	1270	species	2501097	18	3	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	9	3	0.0
Kytococcus sedentarius	1276	species	2785024	18	5	0.0
Staphylococcus	1279	genus	0	3	0	0.0
Staphylococcus aureus	1280	species	7252422	25046	24883	0.0231042
Staphylococcus carnosus	1281	species	2605765	4	1	0.0
Staphylococcus epidermidis	1282	species	3296362	20859	20810	0.00255541
Staphylococcus haemolyticus	1283	species	2629003	34	19	0.0
Staphylococcus hyicus	1284	species	2472129	4	2	0.0
Staphylococcus simulans	1286	species	2647552	3	1	0.0
Staphylococcus xylosus	1288	species	8411206	17	9	0.0
Staphylococcus warneri	1292	species	2560716	45	31	0.0
Staphylococcus schleiferi	1295	species	12494798	6	6	0.0
