name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	39	34	0.0
Cellulomonas gilvus	11	species	3526441	12	5	0.0
Pelobacter carbinolicus	19	species	3665893	5	1	0.0
Myxococcales	29	order	0	2	0	0.0
Myxococcaceae	31	family	0	1	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	49767	49708	0.0123121
Myxococcus xanthus	34	species	9139763	108	85	0.0
Stigmatella aurantiaca	41	species	10260756	24	16	0.0
Archangium gephyra	48	species	12489432	39	31	0.0
Chondromyces crocatus	52	species	11388132	18	17	0.0
Sorangium cellulosum	56	species	13907952	48974	48955	0.00790231
Lysobacter	68	genus	0	1	0	0.0
Caulobacter	75	genus	0	1	0	0.0
Hyphomonas	85	genus	0	6	0	0.0
Leptothrix	88	genus	0	4	0	0.0
Cyclobacterium marinum	104	species	6221273	49945	49937	0.0186354
Runella slithyformis	106	species	6919729	78	70	0.0
Planctomycetales	112	order	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	3	2	0.0
Planctopirus limnophila	120	species	5460085	6	6	0.0
Pirellula staleyi	125	species	6196199	5	3	0.0
Isosphaera pallida	128	species	5529304	7	3	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	3	3	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Azospirillum brasilense	192	species	13978806	166	135	0.0
Azospirillum lipoferum	193	species	7223069	72	40	0.0
Campylobacter lari	201	species	1576113	2	2	0.0
Helicobacter pylori	210	species	2044699	48264	48243	0.0497545
Helicobacter acinonychis	212	species	1557588	28	9	0.0
Helicobacter cinaedi	213	species	2170766	1	0	0.0
Achromobacter	222	genus	0	11	0	0.0
Alteromonas	226	genus	0	1	1	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	1	0.0
Brucella	234	genus	0	22	6	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Flavobacterium	237	genus	0	1	1	0.0
Paracoccus	265	genus	0	2	0	0.0
Paracoccus denitrificans	266	species	5236194	35	28	0.0
Thermus aquaticus	271	species	2338641	2	0	0.0
Thermus thermophilus	274	species	2214494	2	2	0.0
Meiothermus ruber	277	species	3097457	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	41	33	0.0
Comamonas testosteroni	285	species	5695231	93	54	0.0
Pseudomonas	286	genus	0	264	116	0.0
Pseudomonas aeruginosa	287	species	22457305	44448	42998	0.00261527
Pseudoalteromonas atlantica	288	species	5187005	4	4	0.0
Burkholderia cepacia	292	species	13365495	3512	871	0.0
Pseudomonas fluorescens	294	species	14826544	5245	2741	0.0
Pseudomonas fragi	296	species	5101809	82	45	0.0
Pseudomonas mendocina	300	species	5293211	161	89	0.0
Pseudomonas putida	303	species	6888188	50611	45629	0.0190225
Ralstonia solanacearum	305	species	11186335	158	98	0.0
Pseudomonas stutzeri	316	species	7755802	373	248	0.0
Pseudomonas syringae	317	species	6129101	539	341	0.0
Ralstonia pickettii	329	species	6378979	176	78	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	70	46	0.0
Burkholderia glumae	337	species	7333967	569	73	0.0
Xanthomonas	338	genus	0	26	1	0.0
Xanthomonas campestris	339	species	7063896	334	195	0.0
Xanthomonas translucens	343	species	4638247	287	191	0.0
Xanthomonas citri	346	species	17318955	159	17	0.0
Xanthomonas oryzae	347	species	17545599	122	80	0.0
Azotobacter chroococcum	353	species	5192286	53	29	0.0
Azotobacter vinelandii	354	species	5351632	52	23	0.0
Rhizobiales	356	order	0	9	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	122	76	0.0
Agrobacterium vitis	373	species	6320946	16	15	0.0
Bradyrhizobium	374	genus	0	9	0	0.0
Bradyrhizobium japonicum	375	species	9215796	101	63	0.0
Bradyrhizobium sp.	376	species	7547693	51	35	0.0
Rhizobium	379	genus	0	439	399	0.0
Sinorhizobium fredii	380	species	6891900	47	26	0.0
Mesorhizobium loti	381	species	7539018	87	54	0.0
Sinorhizobium meliloti	382	species	6962835	62	45	0.0
Rhizobium leguminosarum	384	species	7369497	43633	42883	0.00240068
Rhizobium phaseoli	396	species	87841097	691	201	0.0
Rhizobium tropici	398	species	6686334	33	15	0.0
Neorhizobium galegae	399	species	6434105	97	59	0.0
Methylobacillus flagellatus	405	species	2971517	5	3	0.0
Methylobacterium	407	genus	0	4	0	0.0
Methylobacterium extorquens	408	species	6163878	87	48	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	3304561	23	22	0.0
Methylomonas methanica	421	species	5051681	3	3	0.0
Acetobacteraceae	433	family	0	2	0	0.0
Acetobacter pasteurianus	438	species	3216979	2	2	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella pneumophila	446	species	15688009	3	3	0.0
Legionella longbeachae	450	species	4149158	2	2	0.0
Tatlockia micdadei	451	species	3310028	1	0	0.0
Acinetobacter baumannii	470	species	11595472	8	4	0.0
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	8508873	8	5	3.3498e-07
Neisseria elongata	495	species	2256647	1	0	0.0
Thermomicrobium roseum	500	species	2920744	6	4	0.0
Alcaligenaceae	506	family	0	2	0	0.0
Alcaligenes faecalis	511	species	4248684	2	2	0.0
Bordetella	517	genus	0	13	0	0.0
Bordetella bronchiseptica	518	species	6491145	386	114	0.0
Bordetella parapertussis	519	species	4815611	211	0	0.0
Bordetella pertussis	520	species	48698463	58	6	0.0
Bordetella avium	521	species	3732255	24	9	0.0
Acidiphilium cryptum	524	species	3963080	18	1	0.0
Ochrobactrum anthropi	529	species	5053471	4	0	0.0
Beijerinckia indica	533	species	4418616	7	7	0.0
Chromobacterium violaceum	536	species	4751080	146	96	0.0
Zymomonas mobilis	542	species	2426073	2	2	0.0
Enterobacteriaceae	543	family	0	6	0	0.0
Citrobacter koseri	545	species	4735357	6	0	0.0
Citrobacter freundii	546	species	16193243	22	7	4.55737e-30
Enterobacter	547	genus	0	8	0	0.0
[Enterobacter] aerogenes	548	species	10750562	6	5	0.0
Pantoea agglomerans	549	species	9924054	12	9	0.0
Enterobacter cloacae	550	species	10083180	20	7	0.0
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3869718	7	0	0.0
Pantoea ananatis	553	species	4842757	5	4	0.0
Pectobacterium carotovorum	554	species	4852842	8	6	0.0
Escherichia	561	genus	0	31	0	0.0
Escherichia coli	562	species	12319210	49316	42723	0.00829071
Escherichia fergusonii	564	species	4643861	332	8	0.0
Hafnia alvei	569	species	6928293	4	3	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella oxytoca	571	species	16779606	41	7	0.0
Klebsiella pneumoniae	573	species	15713353	77	22	6.31362e-25
Morganella morganii	582	species	3853791	1	0	0.0
Salmonella	590	genus	0	4	0	0.0
Serratia	613	genus	0	1	0	0.0
Serratia liquefaciens	614	species	7946985	8	5	0.0
Serratia marcescens	615	species	8465231	57	33	0.0
Shigella	620	genus	0	642	0	0.0
Shigella boydii	621	species	4698475	3081	28	0.0
Shigella dysenteriae	622	species	4560911	1024	7	0.0
Shigella flexneri	623	species	4763519	2234	24	6.98698e-27
Shigella sonnei	624	species	6798914	3342	25	0.0
Yersinia	629	genus	0	1	0	0.0
Yersinia enterocolitica	630	species	14308813	5	3	0.0
Yersinia pestis	632	species	7124135	2	0	0.0
Yersinia pseudotuberculosis	633	species	9565781	2	0	0.0
Edwardsiella	635	genus	0	1	0	0.0
Edwardsiella tarda	636	species	3717889	13	2	0.0
Aeromonas hydrophila	644	species	7739252	57	49	0.0
Aeromonas salmonicida	645	species	5040536	4	2	0.0
Aeromonas media	651	species	4788430	6	2	0.0
Aeromonas schubertii	652	species	4400034	11	11	0.0
Aeromonas veronii	654	species	7214925	12	3	0.0
Vibrio cholerae	666	species	6170861	1	0	0.0
Vibrio vulnificus	672	species	10215744	2	0	0.0
Grimontia hollisae	673	species	3998273	6	4	0.0
Vibrio fluvialis	676	species	4827724	2	0	0.0
Vibrio campbellii	680	species	12090206	1	1	0.0
Vibrio natriegens	691	species	10692018	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	4	4	0.0
Actinobacillus equuli	718	species	2431533	1	1	0.0
Anaplasma centrale	769	species	1206806	49995	49989	0.101498
Anaplasma marginale	770	species	1200061	10	4	0.0
Rickettsia australis	787	species	1323280	2	2	0.0
Rickettsia canadensis	788	species	1155000	3	3	0.0
Bartonella quintana	803	species	1584515	1	1	0.0
Bacteroides	816	genus	0	28	0	0.0
