name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	32	23	0.0
Buchnera aphidicola	9	species	619958	4	4	0.0
Cellulomonas gilvus	11	species	3526441	26	12	0.0
Pelobacter carbinolicus	19	species	3665893	15	7	0.0
Shewanella	22	genus	0	4	0	0.0
Shewanella putrefaciens	24	species	4749735	7	4	3.69646e-05
Myxococcales	29	order	0	3	0	0.0
Myxococcaceae	31	family	0	1	0	0.0
Myxococcus	32	genus	0	2	0	0.0
Myxococcus fulvus	33	species	10026214	70	39	0.0
Myxococcus xanthus	34	species	9139763	30	16	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	23	15	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	48	33	0.0
Chondromyces crocatus	52	species	11388132	27	19	0.0
Sorangium cellulosum	56	species	13907952	90	74	0.0
Lysobacter	68	genus	0	4	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	6	6	0.0
Runella slithyformis	106	species	6919729	7	5	0.0
Rubinisphaera brasiliensis	119	species	6006602	4	3	0.0
Planctopirus limnophila	120	species	5460085	7	7	0.0
Pirellula staleyi	125	species	6196199	11	8	0.0
Isosphaera pallida	128	species	5529304	13	12	0.0
Borreliella burgdorferi	139	species	1329613	1	1	0.0
Borrelia hermsii	140	species	1156143	2	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	4	2	0.0
Leptospira biflexa	172	species	3953768	5	5	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum	191	genus	0	2	0	0.0
Azospirillum brasilense	192	species	13978806	83	52	0.0
Azospirillum lipoferum	193	species	7223069	106	46	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	3	2	0.0
Campylobacter fetus	196	species	1876301	3	3	0.0
Campylobacter jejuni	197	species	6156435	4	3	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	4	2	0.0
Helicobacter	209	genus	0	1	0	0.0
Helicobacter pylori	210	species	2044699	2	2	0.0
Achromobacter	222	genus	0	21	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	1	0.0
Brucella	234	genus	0	12	5	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Flavobacterium	237	genus	0	1	0	0.0
Francisella tularensis	263	species	2777166	10	9	0.0
Paracoccus denitrificans	266	species	5236194	183	154	2.41713e-46
Thermus aquaticus	271	species	2338641	2	1	0.0
Thermus thermophilus	274	species	2214494	11	8	0.0
Meiothermus ruber	277	species	3097457	12	7	5.66827e-05
Xanthobacter autotrophicus	280	species	5625098	44	28	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	689	580	0.00667084
Pseudomonas	286	genus	0	2485	2179	0.0
Pseudomonas aeruginosa	287	species	22457305	2688	1434	0.000196021
Burkholderia cepacia	292	species	13365495	446	149	4.34982e-05
Pseudomonas fluorescens	294	species	14826544	425677	391626	0.254641
Pseudomonas fragi	296	species	5101809	1068	588	0.000104914
Pseudomonas mendocina	300	species	5293211	888	491	2.06084e-34
Pseudomonas putida	303	species	6888188	7838	4639	0.0015198
Ralstonia solanacearum	305	species	11186335	211	127	0
Pseudomonas stutzeri	316	species	7755802	1459	890	0.000435074
Pseudomonas syringae	317	species	6129101	3268	1997	0.000975473
Ralstonia pickettii	329	species	6378979	318	195	0.00096447
Pseudomonas pseudoalcaligenes	330	species	4691662	323	113	0.000477097
Burkholderia glumae	337	species	7333967	152	34	0.0
Xanthomonas	338	genus	0	38	2	0.0
Xanthomonas campestris	339	species	7063896	593	479	0.00449195
Xanthomonas translucens	343	species	4638247	111	64	0.0
Xanthomonas citri	346	species	17318955	106	22	0.0
Xanthomonas oryzae	347	species	17545599	90	52	0.0
Azotobacter	352	genus	0	4	0	0.0
Azotobacter chroococcum	353	species	5192286	305	156	1.05053e-106
Azotobacter vinelandii	354	species	5351632	270	141	0.0
Rhizobiales	356	order	0	20	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	104	40	1.47038e-53
Agrobacterium vitis	373	species	6320946	37	26	0.0
Bradyrhizobium	374	genus	0	5	0	0.0
Bradyrhizobium japonicum	375	species	9215796	88	45	0.0
Bradyrhizobium sp.	376	species	7547693	67	35	0.0
Rhizobium	379	genus	0	25	9	0.0
Sinorhizobium fredii	380	species	6891900	21	12	0.0
Mesorhizobium loti	381	species	7539018	73	33	0.0
Sinorhizobium meliloti	382	species	6962835	26	18	0.0
Rhizobium leguminosarum	384	species	7369497	123	73	0.0
Rhizobium phaseoli	396	species	87841097	44	16	0.0
Rhizobium tropici	398	species	6686334	20	12	0.0
Neorhizobium galegae	399	species	6434105	80	51	2.72878e-05
Methylococcaceae	403	family	0	2	0	0.0
Methylobacillus	404	genus	0	2	0	0.0
Methylobacillus flagellatus	405	species	2971517	16	8	0.000208422
Methylobacterium	407	genus	0	6	0	0.0
Methylobacterium extorquens	408	species	6163878	130	71	5.69681e-05
Methylococcus capsulatus	414	species	3304561	20	14	5.31303e-05
Methylomonas methanica	421	species	5051681	1	0	0.0
Acetobacteraceae	433	family	0	2	0	0.0
Gluconobacter oxydans	442	species	3306867	23	17	0.0
Legionella pneumophila	446	species	15688009	4	4	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Moraxellaceae	468	family	0	3	0	0.0
Acinetobacter	469	genus	0	2	0	0.0
Acinetobacter baumannii	470	species	11595472	418	337	0.00177834
Moraxella catarrhalis	480	species	2846413	28	26	0.000493521
Neisseria	482	genus	0	1	0	0.0
Neisseria gonorrhoeae	485	species	4967431	19	3	0.0
Neisseria lactamica	486	species	2220606	23	14	0.0
Neisseria meningitidis	487	species	8508873	58	38	0
Neisseria elongata	495	species	2256647	30	26	0.0
Thermomicrobium roseum	500	species	2920744	7	2	0.0
Kingella kingae	504	species	2140065	3	2	0.0
Alcaligenaceae	506	family	0	16	0	0.0
Alcaligenes faecalis	511	species	4248684	10	6	0.0
Bordetella	517	genus	0	51	0	0.0
Bordetella bronchiseptica	518	species	6491145	140	51	0.0
Bordetella parapertussis	519	species	4815611	92	4	0.0
Bordetella pertussis	520	species	48698463	49	10	0.0
Bordetella avium	521	species	3732255	28	8	0.0
Acidiphilium cryptum	524	species	3963080	44	15	0.0
Ochrobactrum anthropi	529	species	5053471	22	9	2.19552e-28
Beijerinckia indica	533	species	4418616	23	16	0.0
Chromobacterium	535	genus	0	4	0	0.0
Chromobacterium violaceum	536	species	4751080	71	29	0.0
Zymomonas mobilis	542	species	2426073	5	3	0.0
Enterobacteriaceae	543	family	0	33	0	0.0
Citrobacter koseri	545	species	4735357	12	10	3.71247e-05
Citrobacter freundii	546	species	16193243	55	32	3.77569e-26
Enterobacter	547	genus	0	26	3	0.0
[Enterobacter] aerogenes	548	species	10750562	59	38	0.000124077
Pantoea agglomerans	549	species	9924054	75	52	0.000336167
Enterobacter cloacae	550	species	10083180	263	57	0.000422418
Erwinia	551	genus	0	2	0	0.0
Erwinia amylovora	552	species	3869718	17	3	0.0
Pantoea ananatis	553	species	4842757	32	25	0.000108781
Pectobacterium carotovorum	554	species	4852842	27	15	0.0
Escherichia coli	562	species	12319210	112	30	6.94094e-05
Shimwellia blattae	563	species	4158725	15	8	0.0
Escherichia fergusonii	564	species	4643861	5	0	0
Hafnia alvei	569	species	6928293	47	30	0.0
Klebsiella	570	genus	0	18	0	0.0
Klebsiella oxytoca	571	species	16779606	444	218	0.000749072
Klebsiella pneumoniae	573	species	15713353	198	80	0.000313076
Morganella morganii	582	species	3853791	1	1	0.0
Proteus mirabilis	584	species	5337360	6	0	0.0
Proteus vulgaris	585	species	3794983	3	0	0.0
Providencia stuartii	588	species	6521015	2	1	0.0
Serratia	613	genus	0	14	1	0.0
Serratia liquefaciens	614	species	7946985	52	31	4.4188e-05
Serratia marcescens	615	species	8465231	258	108	0
Shigella	620	genus	0	11	0	0.0
Shigella boydii	621	species	4698475	13	0	3.96561e-206
Shigella dysenteriae	622	species	4560911	2	0	6.52061e-56
Shigella flexneri	623	species	4763519	10	0	2.82996e-30
Shigella sonnei	624	species	6798914	9	0	3.56627e-32
Xenorhabdus nematophila	628	species	4586662	7	3	0.0
Yersinia	629	genus	0	1	0	0.0
Yersinia enterocolitica	630	species	14308813	15	11	0.0
Yersinia intermedia	631	species	4859749	19	18	0.000216784
Yersinia pestis	632	species	7124135	6	0	0.0
Yersinia pseudotuberculosis	633	species	9565781	11	5	0.0
Edwardsiella	635	genus	0	2	0	0.0
Edwardsiella tarda	636	species	3717889	20	4	0.0
Vibrionaceae	641	family	0	1	0	0.0
Aeromonas	642	genus	0	6	0	0.0
Aeromonas hydrophila	644	species	7739252	140	97	9.07438e-05
Aeromonas salmonicida	645	species	5040536	19	14	0.0
Aeromonas media	651	species	4788430	36	17	0.0
Aeromonas schubertii	652	species	4400034	10	4	0.0
Aeromonas veronii	654	species	7214925	54	32	2.42578e-30
Vibrio	662	genus	0	5	0	0.0
Vibrio alginolyticus	663	species	8138835	7	1	0.0
Vibrio cholerae	666	species	6170861	9	5	0.0
Aliivibrio fischeri	668	species	4273718	1	0	0.0
Vibrio harveyi	669	species	11920371	4	2	0.0
Vibrio parahaemolyticus	670	species	10344823	8	4	0
Vibrio vulnificus	672	species	10215744	4	2	0.0
Grimontia hollisae	673	species	3998273	6	6	0.0
Vibrio mimicus	674	species	8922704	5	1	0.0
Vibrio fluvialis	676	species	4827724	9	5	0.0
Vibrio natriegens	691	species	10692018	5	1	0.0
Plesiomonas shigelloides	703	species	3405979	3	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	10	7	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	10	6	0.0
Actinobacillus suis	716	species	2501598	1	1	0.0
Actinobacillus equuli	718	species	2431533	4	4	0.0
Haemophilus influenzae	727	species	2672708	26	23	0.0
Haemophilus parainfluenzae	729	species	2086875	28	27	8.41317e-05
[Haemophilus] ducreyi	730	species	10121291	7	7	0.0
Histophilus somni	731	species	2138367	9	9	0.0
Aggregatibacter aphrophilus	732	species	3520359	9	6	0.0
[Haemophilus] parasuis	738	species	4546750	2	1	0.0
Pasteurella multocida	747	species	2546987	6	4	0.0
Gallibacterium anatis	750	species	2694139	3	2	0.0
Bartonella	773	genus	0	1	0	0.0
Bartonella bacilliformis	774	species	1444212	1	0	0.0
Coxiella burnetii	777	species	2076694	1	0	0.0
Ehrlichia ruminantium	779	species	2264626	1	1	0.0
Orientia tsutsugamushi	784	species	2068019	4	1	0.0
Rickettsia australis	787	species	1323280	1	1	0.0
Rickettsia canadensis	788	species	1155000	1	1	0.0
Bartonella quintana	803	species	1584515	3	2	0.0
Chlamydia trachomatis	813	species	1376168	3	0	0.0
Bacteroides fragilis	817	species	7824806	16	16	0.000134627
Bacteroides thetaiotaomicron	818	species	6390542	9	9	2.74738e-05
Bacteroides vulgatus	821	species	5163189	11	7	3.40046e-05
Campylobacter gracilis	824	species	2281652	2	1	7.69496e-05
Fibrobacter succinogenes	833	species	7685639	5	4	0.0
